original_ligand_id,prepared_ligand_id,challenge_smiles,prepared_smiles,formal_charge,estimated_population,selected_index,selection_reason,smiles_changed_from_challenge,source_sets,source_files
OADMET-0000927,OADMET-0000927__pxr_prep,CC(=O)C1=NNC(C(=O)N[C@@H]2CCOC[C@H]2OC2=CC=C(C(=O)O)C=C2)=C1,CC(=O)c1cc(C(=O)N[C@@H]2CCOC[C@H]2Oc2ccc(C(=O)[O-])cc2)[nH]n1,-1,0.512617,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000928,OADMET-0000928,CC(CN1C=NC=N1)C(=O)N1CCCN(C(=O)C2=CNC(=O)N2)CC1,CC(Cn1cncn1)C(=O)N1CCCN(C(=O)c2c[nH]c(=O)[nH]2)CC1,0,0.986667,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000929,OADMET-0000929,O=C(NCC1=NNC(=O)N1)NC1=CC(OCC(=O)N2CCOCC2)=CC=C1,O=C(NCc1n[nH]c(=O)[nH]1)Nc1cccc(OCC(=O)N2CCOCC2)c1,0,0.992562,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000930,OADMET-0000930,CCN1C=NN=C1CCNC(=O)C1=CC2=C(N=C1)N(CC)C(N)=N2,CCn1cnnc1CCNC(=O)c1cnc2c(c1)nc(N)n2CC,0,0.974098,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000931,OADMET-0000931,CC1=NC(CNC(=O)NC2=CC=CC(S(N)(=O)=O)=C2)=NC2=C1CCCC2,Cc1nc(CNC(=O)Nc2cccc(S(N)(=O)=O)c2)nc2c1CCCC2,0,0.985797,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000932,OADMET-0000932__pxr_prep,COCCC1=NOC(CN(C)CC2=CNN=C2C(=O)O)=N1,COCCc1noc(CN(C)Cc2c[nH]nc2C(=O)[O-])n1,-1,0.473474,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000933,OADMET-0000933,CC1=CC=C(C2=CC=NO2)C=C1S(=O)(=O)NCCN1C(=O)N=C(C)C=C1C,Cc1cc(C)n(CCNS(=O)(=O)c2cc(-c3ccno3)ccc2C)c(=O)n1,0,0.985806,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000934,OADMET-0000934__pxr_prep,COCC1=NC([C@@H]2C[C@H](N)C2)=CC(NCC2=CC=C(S(N)(=O)=O)C=C2)=N1,COCc1nc(NCc2ccc(S(N)(=O)=O)cc2)cc([C@H]2C[C@@H]([NH3+])C2)n1,1,0.619076,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000935,OADMET-0000935,CC1=CC(=O)NC(SC(C)C(=O)N2CCN(C(=O)C3=CC=CN3)CC2)=N1,Cc1cc(=O)[nH]c(SC(C)C(=O)N2CCN(C(=O)c3ccc[nH]3)CC2)n1,0,0.511007,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000936,OADMET-0000936,CC1=NC(N(C)C)=NC=C1C(=O)NCC1=NOC(C2=CC=CO2)=N1,Cc1nc(N(C)C)ncc1C(=O)NCc1noc(-c2ccco2)n1,0,0.611713,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
