x,y,controls,n,rho
MW,Emax_ratio,native,3344,-0.09261460687349654
MW,Emax_ratio,"native,pEC50",3344,-0.017166508764047888
MW,pEC50_standard_error,native,3344,-0.2467006903134053
MW,pEC50_standard_error,"native,pEC50",3344,-0.09025305122106789
downward_head_only_100,Emax_ratio,,3344,0.19268987312404762
downward_head_only_100,Emax_ratio,"MW,native,pEC50",3344,0.09541205446255774
downward_head_only_100,pEC50_standard_error,,3344,0.26563185662100336
downward_head_only_100,pEC50_standard_error,"MW,native,pEC50",3344,-0.046279273538073415
downward_head_plus_lora_100,Emax_ratio,,3344,0.20112222977404928
downward_head_plus_lora_100,Emax_ratio,"MW,native,pEC50",3344,0.03898243089149877
downward_head_plus_lora_100,pEC50_standard_error,,3344,0.40814219201621366
downward_head_plus_lora_100,pEC50_standard_error,"MW,native,pEC50",3344,-0.06332791070068532
downward_head_only_500,Emax_ratio,,3344,0.11897936823475787
downward_head_only_500,Emax_ratio,"MW,native,pEC50",3344,0.009927348717266242
downward_head_only_500,pEC50_standard_error,,3344,0.2787191884796257
downward_head_only_500,pEC50_standard_error,"MW,native,pEC50",3344,0.013101157719323514
downward_head_plus_lora_500,Emax_ratio,,3344,0.15114736946553384
downward_head_plus_lora_500,Emax_ratio,"MW,native,pEC50",3344,-0.04297277517225414
downward_head_plus_lora_500,pEC50_standard_error,,3344,0.4596174490093735
downward_head_plus_lora_500,pEC50_standard_error,"MW,native,pEC50",3344,1.8441741513568618e-05
