scope,x,y,n,rho
full,MW,native,3344,0.37446424067752565
full,MW,pEC50,3344,0.3477510055022199
full,MW,Emax_ratio,3344,-0.134288855709965
full,MW,Emax_log2FC,3344,0.1063863659842482
full,MW,pEC50_standard_error,3344,-0.3422992453042591
full,MW,Emax_ratio_SE,3344,-0.3187838621266615
full,MW,Emax_log2FC_SE,3344,-0.2939453813535652
full,MW,native_binary_probability,3344,0.18616852609112017
full,native,pEC50,3344,0.38687161269746456
full,native,Emax_ratio,3344,-0.13126988094627876
full,native,Emax_log2FC,3344,-0.053465688280395475
full,native,pEC50_standard_error,3344,-0.3395136426802672
full,native,Emax_ratio_SE,3344,-0.33636110269807373
full,native,Emax_log2FC_SE,3344,-0.35460791324556473
full,native,native_binary_probability,3344,0.664681107068986
full,pEC50,Emax_ratio,3344,-0.34681322020233507
full,pEC50,Emax_log2FC,3344,-0.12411677181545276
full,pEC50,pEC50_standard_error,3344,-0.8583699307077911
full,pEC50,Emax_ratio_SE,3344,-0.8450622734651073
full,pEC50,Emax_log2FC_SE,3344,-0.8723938348611916
full,pEC50,native_binary_probability,3344,0.33956425511775673
full,Emax_ratio,Emax_log2FC,3344,0.6184718804823581
full,Emax_ratio,pEC50_standard_error,3344,0.20224357304157864
full,Emax_ratio,Emax_ratio_SE,3344,0.6220925713289449
full,Emax_ratio,Emax_log2FC_SE,3344,0.3058479360539729
full,Emax_ratio,native_binary_probability,3344,-0.020240834195052813
full,Emax_log2FC,pEC50_standard_error,3344,-0.06908243423924161
full,Emax_log2FC,Emax_ratio_SE,3344,0.29572566641679787
full,Emax_log2FC,Emax_log2FC_SE,3344,0.21097625681058596
full,Emax_log2FC,native_binary_probability,3344,-0.05799064563599121
full,pEC50_standard_error,Emax_ratio_SE,3344,0.8011817644727544
full,pEC50_standard_error,Emax_log2FC_SE,3344,0.8795293853899334
full,pEC50_standard_error,native_binary_probability,3344,-0.3148580643928792
full,Emax_ratio_SE,Emax_log2FC_SE,3344,0.9010051397806675
full,Emax_ratio_SE,native_binary_probability,3344,-0.2597319946704486
full,Emax_log2FC_SE,native_binary_probability,3344,-0.32795772617921953
small,MW,native,237,0.3636768884176861
small,MW,pEC50,237,0.17092616684512715
small,MW,Emax_ratio,237,0.05847274050797447
small,MW,Emax_log2FC,237,0.1866589518792461
small,MW,pEC50_standard_error,237,-0.1792081988579441
small,MW,Emax_ratio_SE,237,0.07089121085809688
small,MW,Emax_log2FC_SE,237,0.14201665499295352
small,MW,native_binary_probability,237,0.39658517534723614
small,native,pEC50,237,0.027688678116217252
small,native,Emax_ratio,237,0.08100734532833707
small,native,Emax_log2FC,237,0.048646439860820775
small,native,pEC50_standard_error,237,-0.004132828356542664
small,native,Emax_ratio_SE,237,0.07208996877148899
small,native,Emax_log2FC_SE,237,-0.02774013358333072
small,native,native_binary_probability,237,0.4054743545133136
small,pEC50,Emax_ratio,237,0.23507106469736616
small,pEC50,Emax_log2FC,237,0.6523506473841254
small,pEC50,pEC50_standard_error,237,-0.7318846514263067
small,pEC50,Emax_ratio_SE,237,0.21132697056119878
small,pEC50,Emax_log2FC_SE,237,0.3866976914314262
small,pEC50,native_binary_probability,237,0.04346248445543139
small,Emax_ratio,Emax_log2FC,237,0.3771202693901658
small,Emax_ratio,pEC50_standard_error,237,-0.11919422756670757
small,Emax_ratio,Emax_ratio_SE,237,0.963648689475914
small,Emax_ratio,Emax_log2FC_SE,237,0.30079982312778014
small,Emax_ratio,native_binary_probability,237,-0.03186029742773577
small,Emax_log2FC,pEC50_standard_error,237,-0.5134693069818391
small,Emax_log2FC,Emax_ratio_SE,237,0.35776814420322234
small,Emax_log2FC,Emax_log2FC_SE,237,0.637683938687151
small,Emax_log2FC,native_binary_probability,237,0.04577601041969951
small,pEC50_standard_error,Emax_ratio_SE,237,-0.10400533189355092
small,pEC50_standard_error,Emax_log2FC_SE,237,-0.28611700051467703
small,pEC50_standard_error,native_binary_probability,237,-0.16938736651329223
small,Emax_ratio_SE,Emax_log2FC_SE,237,0.44677316647199744
small,Emax_ratio_SE,native_binary_probability,237,-0.029767442788559872
small,Emax_log2FC_SE,native_binary_probability,237,0.04358706323706979
large,MW,native,3107,0.2699880054559656
large,MW,pEC50,3107,0.22188376757514047
large,MW,Emax_ratio,3107,-0.030162327748621872
large,MW,Emax_log2FC,3107,0.028631747586017414
large,MW,pEC50_standard_error,3107,-0.21282975933152337
large,MW,Emax_ratio_SE,3107,-0.18955161029475442
large,MW,Emax_log2FC_SE,3107,-0.21576659356018654
large,MW,native_binary_probability,3107,0.10906898323898047
large,native,pEC50,3107,0.3080708264337624
large,native,Emax_ratio,3107,-0.05786846967470995
large,native,Emax_log2FC,3107,-0.12927822085257573
large,native,pEC50_standard_error,3107,-0.25121176320913097
large,native,Emax_ratio_SE,3107,-0.25141132394065613
large,native,Emax_log2FC_SE,3107,-0.3006728860184641
large,native,native_binary_probability,3107,0.668622829026367
large,pEC50,Emax_ratio,3107,-0.2978586904952869
large,pEC50,Emax_log2FC,3107,-0.22076063542946897
large,pEC50,pEC50_standard_error,3107,-0.8299757261001057
large,pEC50,Emax_ratio_SE,3107,-0.8365978134906237
large,pEC50,Emax_log2FC_SE,3107,-0.874222359274834
large,pEC50,native_binary_probability,3107,0.3023047779944187
large,Emax_ratio,Emax_log2FC,3107,0.7068031469300168
large,Emax_ratio,pEC50_standard_error,3107,0.13508457402639773
large,Emax_ratio,Emax_ratio_SE,3107,0.5882816705009748
large,Emax_ratio,Emax_log2FC_SE,3107,0.28297495510452564
large,Emax_ratio,native_binary_probability,3107,0.031133439396205928
large,Emax_log2FC,pEC50_standard_error,3107,0.004366120989549763
large,Emax_log2FC,Emax_ratio_SE,3107,0.40083370330212725
large,Emax_log2FC,Emax_log2FC_SE,3107,0.2593004588239135
large,Emax_log2FC,native_binary_probability,3107,-0.11136081917960357
large,pEC50_standard_error,Emax_ratio_SE,3107,0.7902442963456934
large,pEC50_standard_error,Emax_log2FC_SE,3107,0.8929060801642659
large,pEC50_standard_error,native_binary_probability,3107,-0.2718645751709737
large,Emax_ratio_SE,Emax_log2FC_SE,3107,0.9176877931663295
large,Emax_ratio_SE,native_binary_probability,3107,-0.21247469092700688
large,Emax_log2FC_SE,native_binary_probability,3107,-0.2995578655696228
common_support,MW,native,3218,0.356193668478803
common_support,MW,pEC50,3218,0.3472000385269877
common_support,MW,Emax_ratio,3218,-0.13374292341816674
common_support,MW,Emax_log2FC,3218,0.11321314963273302
common_support,MW,pEC50_standard_error,3218,-0.34264771650576975
common_support,MW,Emax_ratio_SE,3218,-0.3180486212815394
common_support,MW,Emax_log2FC_SE,3218,-0.2912771666872077
common_support,MW,native_binary_probability,3218,0.1650067671451044
common_support,native,pEC50,3218,0.37697371781634437
common_support,native,Emax_ratio,3218,-0.12583014108377283
common_support,native,Emax_log2FC,3218,-0.046315718545546385
common_support,native,pEC50_standard_error,3218,-0.3321294778989435
common_support,native,Emax_ratio_SE,3218,-0.3279919017697572
common_support,native,Emax_log2FC_SE,3218,-0.34644950701532645
common_support,native,native_binary_probability,3218,0.6410161383641721
common_support,pEC50,Emax_ratio,3218,-0.34693700006740097
common_support,pEC50,Emax_log2FC,3218,-0.1371113784288565
common_support,pEC50,pEC50_standard_error,3218,-0.856696132031355
