score_bin,small,n,groups,Emax_median,SE_median,MW_median
3.5,True,4,4,1.3050000000000002,0.3325,104.145
4.0,False,75,69,1.03,0.223,305.338
4.0,True,104,56,1.24,0.5635,154.8745
4.5,False,1418,955,0.992,0.1655,343.28099999999995
4.5,True,111,70,1.25,0.564,182.175
5.0,False,1365,1049,0.947,0.119,353.3940000000001
5.0,True,17,14,1.23,0.412,187.286
5.5,False,216,199,0.972,0.109,365.97400000000005
5.5,True,1,1,1.39,0.623,212.20499999999998
6.0,False,30,29,0.9955,0.1225,402.95750000000027
6.5,False,2,2,0.9085000000000001,0.1045,388.0355000000002
7.0,False,1,1,1.0,0.0032536748543859,481.33599999999996
