method,budget,n,unique_ids,weighted_mae,mae,spearman,bias,effective_n,invalid_se,sd_ratio,iqr_ratio,descriptive_calibration_slope,descriptive_calibration_intercept,coverage_80,width_80,coverage_90,width_90
head_only,100,3344,3344,0.5894197050700019,0.790666107582848,0.44362407343041005,0.44173845876446577,2782.3431885649925,0,0.4287666054688728,0.31947700662286205,1.0941730331726205,-0.8879501428825431,0.777511961722488,2.5118189015913233,0.8914473684210527,3.947578213705401
native_remote,100,3344,3344,0.627224618325401,0.914124081293506,0.38687161269746456,0.7126681308379852,2782.3431885649925,0,0.30529509703475377,0.26581757998194233,1.2467045995149066,-1.9484461282439218,,,,
head_plus_lora,100,3344,3344,0.5831049200163235,0.7635094853099186,0.49427391570382956,0.3931617019517267,2782.3431885649925,0,0.5166663295884598,0.4040123004508835,0.9838953993588218,-0.3176370183156001,0.7888755980861244,2.3941116553174253,0.8974282296650717,3.833045623142754
head_only,500,3344,3344,0.577255604876789,0.7932207027253083,0.47263051257899164,0.4698594803540598,2782.3431885649925,0,0.3607976370440249,0.27622071992709235,1.3731260048834202,-2.2483018359276077,0.7616626794258373,2.322703125978771,0.8905502392344498,3.8139178870739547
native_remote,500,3344,3344,0.627224618325401,0.914124081293506,0.38687161269746456,0.7126681308379852,2782.3431885649925,0,0.30529509703475377,0.26581757998194233,1.2467045995149066,-1.9484461282439218,,,,
head_plus_lora,500,3344,3344,0.5610158981704035,0.7565352583634528,0.5292908557846769,0.42068885922246396,2782.3431885649925,0,0.4530408012507422,0.3627204583869672,1.187314220502147,-1.3042802349969174,0.7595693779904307,2.1647931799820164,0.8935406698564593,3.5526077555583426
descriptor_lightgbm_rdkit_mordred,100,3344,3344,0.6102662645055483,0.745000612973059,0.5005957956381644,0.20569772292405983,2782.3431885649925,0,0.48257475170931297,0.4843334670906864,1.0731533934486222,-0.535046741987296,0.7601674641148325,2.2969265513946135,0.8447966507177034,2.872857272689386
native_continuous,100,3344,3344,0.6272246217981062,0.9141240809370189,0.38687161269746456,0.7126681299111186,2782.3431885649925,0,0.30529509745603123,0.2658177355568716,1.2467046572017055,-1.9484464160496726,0.8005382775119617,3.3472146509024516,0.8932416267942583,4.586329761829102
repr_ridge_stable,100,3344,3344,0.6186101546473791,0.7662503089572238,0.4604780782076697,0.24146230335984958,2782.3431885649925,0,0.6710674495899006,0.40629237579961314,0.5818718669135894,1.6559758432953462,0.8038277511961722,2.4600804271208028,0.8971291866028708,3.5637141854818126
descriptor_lightgbm_rdkit_mordred,500,3344,3344,0.5005882644475288,0.5996355491166773,0.6568631517488387,0.1696963755822231,2782.3431885649925,0,0.6051278954862559,0.5508168985977995,1.164439189582523,-0.9041095421335585,0.7787081339712919,1.725293845831351,0.8785885167464115,2.3917960031300156
native_continuous,500,3344,3344,0.6272246217981062,0.9141240809370189,0.38687161269746456,0.7126681299111186,2782.3431885649925,0,0.30529509745603123,0.2658177355568716,1.2467046572017055,-1.9484464160496726,0.756578947368421,2.7720282290312666,0.8842703349282297,4.437035978445026
repr_ridge_stable,500,3344,3344,0.5344679183218226,0.6666029104416206,0.6084392250204703,0.23655010479982502,2782.3431885649925,0,0.6484922267413181,0.5035303090954337,0.9514812732872192,-0.016613626903004608,0.7831937799043063,1.9701546352565922,0.8791866028708134,2.7311143047274555
