record_id,fold,smiles,y_true,MW,heavy_atoms,identity_formal_charge,feature_array_row,source_feature_row,row_id,prepared_smiles,prepared_formal_charge,prepared_is_charged,native_cached,norm_l2,centered_norm_l2,member1_norm_l2,member2_norm_l2,PC1,PC2,PC3,PC4,PC5
nesso_00185e17d4a7bef0f788,3,COC1CCC(CC(=O)N(C)CC(C)(O)c2ccccc2)CC1,4.36,319.44500000000005,23,0,0,1,OADMET-0005789,COC1CCC(CC(=O)N(C)CC(C)(O)c2ccccc2)CC1,0,0,4.734938621520996,20.41407065527995,5.048845835126876,18.944452701086583,7.6053923353798885,-1.332354008012548,-1.3516180135638758,-0.7699112825473207,4.217169700037273,-0.24201034973799276
nesso_00439432fbc3d5cd82f9,1,FC(F)(F)c1ccc(N2CCC[C@H]2COc2ccccc2)nn1,5.41,323.3179999999999,23,0,1,3,OADMET-0002785,FC(F)(F)c1ccc(N2CCC[C@H]2COc2ccccc2)nn1,0,0,5.024440288543701,15.96940309957049,5.170062364907716,15.446611902889002,4.052655435402743,-4.4953644056229445,1.5310055587427698,-1.257685053445317,-0.5472257815194272,-0.9240804233200108
nesso_004fa1ed5b05a82c5fe2,1,COc1ccccc1CCC(=O)N1CCC(Oc2ncccc2C(=O)N2CCCCC2)C1,5.01,437.5400000000003,32,0,2,4,OADMET-0001399,COc1ccccc1CCC(=O)N1CCC(Oc2ncccc2C(=O)N2CCCCC2)C1,0,0,4.894853115081787,15.887081731580642,4.206024060863278,14.841698233903708,5.667747302029521,1.1139955718517887,-2.541958579694857,-2.3916567155626343,-1.063527969157527,-0.38876018112976235
nesso_005ba886a4b27089d816,4,CCCN1Cc2cccc(NS(=O)(=O)c3ccc(OC)c(F)c3C)c2C1,5.07,378.46900000000016,26,0,3,5,OADMET-0003066,CCC[NH+]1Cc2cccc(NS(=O)(=O)c3ccc(OC)c(F)c3C)c2C1,1,1,5.104174613952637,16.27715102227556,3.2535196639891137,15.131326884514332,5.999049267670678,0.4138109585836064,-2.1377712453362614,-1.345096525054541,-0.3305552904510163,1.1210276321134232
nesso_005ea597edb009619d89,4,CC(C)N1CCC(n2cc(COc3ccccc3Cl)nn2)C1=O,5.03,334.8070000000001,23,0,4,6,OADMET-0005495,CC(C)N1CCC(n2cc(COc3ccccc3Cl)nn2)C1=O,0,0,4.910054683685303,16.103357814529573,2.605242579662977,15.157062526552863,5.4388958869367565,-1.2501255557036872,-1.206420625600106,-1.7272176856373687,-0.2274545273952127,0.24415869140195912
nesso_007d94f2c6c76f78f154,3,COc1cc(-c2ccc(C(C)N3CCCC3)cc2)nc(N)n1,3.62,298.39,22,0,5,7,OADMET-0001354,COc1cc(-c2ccc(C(C)[NH+]3CCCC3)cc2)nc(N)n1,1,1,5.351618766784668,17.354513413650466,4.073303969934543,16.474635602787327,5.455778366094625,0.43494732141225134,-1.2140010341981158,1.140131779412762,-0.8430152414067953,3.1031088980685726
nesso_00886301e66a6b65117c,2,NC(=O)C1(N2CCCCC2)CCN(C(=O)c2ccc(-n3cnnn3)cc2)CC1,2.34,383.45600000000013,28,0,6,8,OADMET-0002003,NC(=O)C1([NH+]2CCCCC2)CCN(C(=O)c2ccc(-n3cnnn3)cc2)CC1,1,1,4.587523460388184,23.540522660339306,12.844596180129267,21.507594776585588,9.56972173305665,10.745682970214343,-5.924073040639694,0.05962474507720217,0.24200771420333067,-1.6102890000687224
nesso_00acab1e8db124595e65,3,Cc1ccc2cccc(S(=O)(=O)N3CCC=C(c4cnn(C)c4)C3)c2n1,5.915,368.4620000000001,26,0,7,9,OADMET-0002946,Cc1ccc2cccc(S(=O)(=O)N3CCC=C(c4cnn(C)c4)C3)c2n1,0,0,5.016941070556641,14.672076377779302,3.6908250431676914,14.003177933753568,4.379592788265432,-0.6595271477977215,-1.121365841758768,-1.67792106913643,-2.6523376276865864,0.30173443933313787
nesso_00d6af6adb2d7cb2038c,4,Cc1n[nH]c(SCC(=O)N(C)Cc2nc(-c3ccncc3)no2)n1,3.73,345.38800000000003,24,0,8,12,OADMET-0001252,Cc1n[nH]c(SCC(=O)N(C)Cc2nc(-c3ccncc3)no2)n1,0,0,4.6320600509643555,18.117297905894702,4.122122505389166,16.72982231605902,6.953382535430521,1.6254739583594056,-2.7792625380957063,-1.7600752335550538,0.7752953134917646,-0.8914607450079705
nesso_00dce94c2ecb99cae04c,0,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,4.73,397.298,23,0,9,13,OADMET-0002654,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,0,0,5.327427864074707,15.948726255477892,6.817298226955761,15.374578929419298,4.240777277248352,-5.671336581194394,2.805977193903138,-0.07180088478811009,0.15149444532971046,0.2664343601022051
nesso_00e9be39e7ebc5483a43,2,COC(=O)c1cnn(C)c1NC(=O)C(=O)NC1(Cc2ccc(Cl)cc2Cl)CCC1,5.48,439.2990000000002,29,0,10,14,OADMET-0003107,COC(=O)c1cnn(C)c1NC(=O)C(=O)NC1(Cc2ccc(Cl)cc2Cl)CCC1,0,0,5.582679271697998,14.117650021072341,5.5152390069801065,13.702597903150483,3.3980660414506185,-3.81866966451875,1.0290477824185549,-0.36551274694499813,-2.373733121692721,2.6814222609037985
nesso_00ec3e82ea411a0f366b,1,Cc1ccccc1C1(C(=O)N2CCCC(O)(c3c[nH]nn3)C2)CCCC1,5.21,354.4540000000002,26,0,11,15,OADMET-0005931,Cc1ccccc1C1(C(=O)N2CCCC(O)(c3c[nH]nn3)C2)CCCC1,0,0,4.804683685302734,18.751029708123554,3.472333474025826,17.331863660563275,7.155949773899909,-0.5652912244922851,-1.846577556411245,-0.95198143682229,2.36976424642635,0.5505490443205996
nesso_00f69ffdf14cd14dd163,3,CC(C)(NS(C)(=O)=O)c1cn(-c2cc(Cl)cc(Cl)c2)nn1,4.84,349.24300000000005,21,0,12,16,OADMET-0003052,CC(C)(NS(C)(=O)=O)c1cn(-c2cc(Cl)cc(Cl)c2)nn1,0,0,5.396252155303955,21.00191876738232,12.34310069579963,20.723919798028827,3.4058391207739884,-8.483213297339116,7.361559938515536,4.239596376265615,1.4089943289999176,-1.655755424240665
