PC,eigenvalue,explained_variance_fraction
1,75.30659112580537,0.6675789220601255
2,18.623151617098692,0.1650907748716938
3,5.240425847885744,0.04645540033571889
4,4.3419059133911775,0.038490188255977414
5,3.2544288490248707,0.028849906369071
6,1.8428700723601237,0.01633670038719177
7,0.8438593327207029,0.0074806560127911904
8,0.4637330537407209,0.004110907259401856
9,0.33579939204095915,0.002976799146208221
10,0.2691396207539446,0.002385872673567626
11,0.2399424799058283,0.0021270454510996578
12,0.1846986803304387,0.0016373194441232693
13,0.1470760754158457,0.0013038020499815041
14,0.12598562197802698,0.00111683910342803
15,0.09603770672315164,0.0008513564055005866
16,0.08227281370593499,0.0007293331894004812
17,0.08022980660458683,0.0007112223114801044
18,0.07570565013140616,0.0006711165059132084
19,0.057936643238067666,0.0005135975651326182
20,0.05437446272653014,0.0004820194975222663
21,0.05041382121096244,0.0004469091472315169
22,0.04765367379765801,0.0004224409538455942
23,0.04426441646652412,0.00039239581806295204
24,0.04162926379477074,0.00036903567980979237
25,0.038170373229469055,0.0003383732583591847
26,0.035694117567455545,0.00031642171253989986
27,0.033494166442339025,0.00029691955504299803
28,0.03080334112656517,0.00027306588915662844
29,0.028975680077555153,0.00025686401393230576
30,0.027277263512554804,0.0002418078670171194
31,0.02585242638024737,0.00022917695088246127
32,0.02478987753253146,0.0002197576529991005
33,0.023408672769410326,0.00020751352970093735
34,0.022942686532842645,0.00020338264839490374
35,0.020259618338810112,0.00017959774794981814
36,0.019457444493460426,0.00017248662602838166
37,0.018954412172007988,0.0001680273380710285
38,0.0177710160320519,0.0001575367514215515
39,0.016633732109766233,0.0001474549410040884
40,0.01621515610508019,0.00014374434258459907
41,0.0152607693028003,0.00013528388111410113
42,0.014698433981784213,0.00013029888309695395
43,0.014120525105496376,0.00012517582840926127
44,0.013850250537901941,0.00012277989464307156
45,0.012731315915592909,0.00011286074735662839
46,0.01224558025215212,0.00010855479105508436
47,0.011548069891239054,0.00010237149145404119
48,0.010801327791427244,9.575176164557748e-05
49,0.010558156520172085,9.359609355977454e-05
50,0.010506541414269039,9.313853524720649e-05
51,0.010168422649032597,9.014117528906205e-05
52,0.009673986832115077,8.575809374531909e-05
53,0.009212701540979272,8.166888544608553e-05
54,0.008812279067216093,7.811921470137071e-05
55,0.008462636279440256,7.501969642707312e-05
56,0.008151790266175142,7.226410434197203e-05
57,0.007867774479771234,6.974635722713008e-05
58,0.0075663074138757344,6.707390776582147e-05
59,0.00728268915990545,6.455968470205597e-05
60,0.007141700535102402,6.330984676939053e-05
61,0.006944452549037552,6.156128006430991e-05
62,0.006632778403383117,5.8798346739623804e-05
63,0.006588857675796849,5.840899765955252e-05
64,0.0064292514796517345,5.699411842011552e-05
65,0.006096802290490964,5.404701819924709e-05
66,0.005917559989292697,5.245806854115386e-05
67,0.00586492548768458,5.199147347528481e-05
68,0.005634019213440878,4.994453230649635e-05
69,0.005553383044241914,4.922970766620725e-05
70,0.0054034813397199144,4.7900856939813386e-05
71,0.005261033672427773,4.6638084866888144e-05
72,0.0051635464865385505,4.577387909820741e-05
73,0.0049506313249412974,4.388642579638553e-05
74,0.00490429800784432,4.347568955908331e-05
75,0.004613423173796527,4.0897138262774485e-05
76,0.004537895538563919,4.0227599825825416e-05
77,0.004428653646672788,3.925919077500728e-05
78,0.004327482587634874,3.836232815612467e-05
79,0.004286046227188366,3.799500252861402e-05
80,0.004188918443680681,3.713398279519084e-05
81,0.00406030588226138,3.599385636227005e-05
82,0.004000655658060448,3.5465068220656006e-05
83,0.0038103965814000195,3.377845689739297e-05
84,0.003690186849138147,3.271281998188773e-05
85,0.0036576107391012515,3.242403882610533e-05
86,0.003610367111765213,3.200523285786658e-05
87,0.0035383222005192193,3.1366568121214634e-05
88,0.0034064056171315272,3.0197152148146735e-05
89,0.0033716247275888877,2.988882603217133e-05
90,0.0031938035249027383,2.8312474148040216e-05
91,0.0031220955420494865,2.7676796218915684e-05
92,0.0030704723349451986,2.7219166090705593e-05
93,0.003031933627460217,2.6877527617687547e-05
94,0.003001309637761948,2.6606051645580437e-05
95,0.0029298294656814328,2.5972393216579646e-05
96,0.002848870667985887,2.5254708534682578e-05
97,0.0027404808789383574,2.429385321706777e-05
98,0.0027056776948287346,2.3985329463903213e-05
99,0.0026660104650788065,2.3633686850930202e-05
100,0.002613450129313676,2.3167749251463156e-05
101,0.0024969985200352755,2.2135427397133436e-05
102,0.002474388824058697,2.193499664807807e-05
103,0.0024304265698453444,2.1545279442182313e-05
104,0.0024173943148795593,2.1429750926125366e-05
105,0.002384592794483849,2.1138971549442124e-05
106,0.00234151745718469,2.075711669700949e-05
107,0.0023008904461269716,2.03969658012781e-05
108,0.0022114331987162757,1.960394394350828e-05
109,0.0021873126199984405,1.9390119500000826e-05
110,0.0021730318983882017,1.926352355937622e-05
111,0.002132133643474712,1.8900968137319253e-05
112,0.002079455144599092,1.8433983043858008e-05
113,0.002027737001839821,1.79755113287261e-05
114,0.0020155074374346485,1.7867098515175273e-05
115,0.00198803317661232,1.7623544303651762e-05
116,0.0019567959085948854,1.734663173332515e-05
117,0.0019144113402867436,1.6970900419503442e-05
118,0.001887672100343177,1.673386203134413e-05
119,0.001873576355432518,1.6608905874752575e-05
120,0.0018026293870372326,1.597997419723665e-05
121,0.0017798987571015802,1.5778471391129812e-05
122,0.0017452381148820222,1.547121124530553e-05
123,0.0017343487015317352,1.537467862156603e-05
124,0.001670385507584508,1.4807656805434716e-05
125,0.0016538331743584315,1.4660923450393e-05
126,0.0016257201130332655,1.4411706391239283e-05
127,0.00161497445636667,1.4316448143759591e-05
128,0.0015842003003927478,1.4043640975552221e-05
129,0.0015509112479451452,1.374853971791797e-05
130,0.0015110218519697668,1.3394927642682932e-05
131,0.00148055230346737,1.3124820763048612e-05
132,0.0014466190739656738,1.2824008995657395e-05
133,0.0014338321373545068,1.2710655181180871e-05
134,0.0014207462432017123,1.2594651163708862e-05
135,0.001390819591097407,1.2329356959655926e-05
136,0.001360761043110003,1.206289352313413e-05
137,0.0013509227796345967,1.1975679147504205e-05
138,0.0013383915373050542,1.186459201527092e-05
139,0.0013152811606350749,1.1659722825003436e-05
140,0.001287026055991976,1.140924657825865e-05
141,0.0012708941398274706,1.126624014226324e-05
142,0.00125058979471657,1.108624589979876e-05
143,0.0012394296041357807,1.0987312886279895e-05
144,0.0012285858673499485,1.0891185176787691e-05
145,0.001193059394906101,1.0576249607083815e-05
146,0.001163865991759759,1.03174555186468e-05
147,0.001141661450501036,1.0120616390799751e-05
148,0.001136360739291112,1.0073626571943637e-05
149,0.0011267376800622037,9.98831994192737e-06
150,0.001107883462716453,9.82118081235322e-06
151,0.0010981481128440435,9.73487874667023e-06
152,0.0010652852001826676,9.443555138971838e-06
153,0.0010618901318449805,9.413458489697044e-06
154,0.0010590465072261347,9.388250286412137e-06
155,0.0010272162447778337,9.106080930762652e-06
156,0.0010053024045846412,8.911818813786329e-06
157,0.0009949804292622092,8.820316422610917e-06
158,0.000990620533992247,8.781666762055252e-06
159,0.0009700449499256787,8.599268036703704e-06
160,0.0009664115036738611,8.567058211562375e-06
161,0.0009608320910363818,8.517597756394054e-06
162,0.0009334358574809841,8.274735242077525e-06
163,0.0009205352988137863,8.160374189209867e-06
164,0.0009039718064485892,8.013541910475631e-06
165,0.0008783714360033492,7.786599388570442e-06
166,0.000869484934200531,7.707822203124614e-06
167,0.0008585860137970674,7.611205301127172e-06
168,0.0008532979486220858,7.56432758701845e-06
169,0.000840167632646213,7.447929778348045e-06
170,0.0008271668204825922,7.332679996883403e-06
171,0.0008131746353947321,7.208641878857124e-06
172,0.0008105506291940578,7.185380551996652e-06
173,0.0008036220349537811,7.1239598528896e-06
174,0.0007836104696080877,6.9465610485818065e-06
175,0.0007779831542323145,6.89667594454921e-06
176,0.0007737443758452014,6.859099962630263e-06
177,0.0007509362460291829,6.656910134500234e-06
178,0.0007484381755464715,6.634765204353379e-06
179,0.0007269696336896865,6.444450574296461e-06
180,0.0007165037939358168,6.351672851697513e-06
181,0.0007046844208421583,6.2468963078209025e-06
182,0.0006937572909755671,6.150029334180261e-06
183,0.000686924669344274,6.089459414399357e-06
184,0.0006818545075647186,6.044513373357457e-06
185,0.0006673017404360181,5.915505799816648e-06
186,0.0006586282608671521,5.838617016849152e-06
187,0.0006492399736463396,5.755391597013181e-06
188,0.0006446103536588058,5.7143508770095015e-06
189,0.0006382814257102019,5.65824610803029e-06
190,0.0006313746218553577,5.597018576636725e-06
191,0.0006208523783287835,5.5037408450847865e-06
192,0.0006149923592740018,5.451792866224508e-06
193,0.0006068198594710454,5.379345175691286e-06
194,0.0005964902789966725,5.2877753662586e-06
195,0.0005923732748823985,5.251278890616346e-06
196,0.000580679771112043,5.147618154877042e-06
197,0.0005762413141387865,5.108272059435451e-06
198,0.0005756351749969626,5.102898748695077e-06
199,0.00056560052337106,5.013943428642442e-06
200,0.0005613425510889832,4.976197296415024e-06
201,0.0005520245085457373,4.893594582579012e-06
202,0.0005432875389385363,4.816142972231871e-06
203,0.000535081497053898,4.743397937383921e-06
204,0.0005336286482711407,4.730518703178654e-06
205,0.0005247967755038901,4.652225793971229e-06
206,0.000513612260779272,4.553077151442015e-06
207,0.0005101011474559166,4.521951784955558e-06
208,0.0004980328309971481,4.414968404454825e-06
209,0.0004964102745756673,4.400584743600699e-06
210,0.0004909389852402389,4.3520827813923375e-06
211,0.0004866096561434227,4.3137040842758014e-06
212,0.00046970430372268984,4.163841279740859e-06
213,0.0004664491453063509,4.134984905893261e-06
214,0.00045589612741653654,4.041434365335738e-06
215,0.0004523989241957458,4.010432309321006e-06
216,0.0004496494227606604,3.986058490551667e-06
217,0.0004469093471207374,3.96176822970309e-06
218,0.00043990336944512185,3.899661540836356e-06
219,0.0004346300365048129,3.8529144252475675e-06
220,0.0004239561112054747,3.7582920629953915e-06
221,0.00041586635950270146,3.6865779189777794e-06
222,0.00041434507607817424,3.673092024403197e-06
223,0.0004104397336489412,3.6384718902262606e-06
224,0.0004048980759234083,3.5893461253293057e-06
225,0.0004033191308991248,3.5753490713988933e-06
226,0.00040019782355462194,3.547679262404611e-06
227,0.0003961327991051889,3.511643576822096e-06
228,0.0003910522157989204,3.46660515088446e-06
229,0.00038326099344884306,3.3975374140471053e-06
230,0.0003815281884366027,3.3821764199439556e-06
231,0.00037434617533300003,3.318509209753614e-06
232,0.0003712744811911655,3.291279212572111e-06
233,0.00036898392446577056,3.2709738532828794e-06
234,0.0003668003481213212,3.251616855170612e-06
235,0.0003553799606571147,3.1503772446811737e-06
236,0.0003537925843588563,3.1363054490753306e-06
237,0.0003507965059212554,3.109745771046088e-06
238,0.0003487494463188569,3.091598968457732e-06
239,0.00034357854577785117,3.045759897034649e-06
240,0.0003419412924305098,3.0312459506666402e-06
