budget,fold,record_id,smiles,y_true,native,head_only,head_plus_lora,weight,fit_similarity,budget_similarity,nearest_fit_id,nearest_fit_smiles,nearest_fit_y,MW,heavy_atoms,cLogP,TPSA,rings,rotatable,formal_charge,nonamide_amine,carboxylic_acid,MW_lt200,pEC50_lt4
100,0,nesso_00dce94c2ecb99cae04c,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,4.73,5.327427864074707,5.432847499847412,5.657762050628662,10.0,0.2093023255813953,0.2093023255813953,nesso_4f2854769365e1e8497d,CCN(CC)C(CNS(=O)(=O)c1ccc2c(c1)CCCC(=O)N2)c1ccco1,4.73,397.298,23,3.748280000000002,98.64,2,6,0,False,False,False,False
100,0,nesso_00ffdeb4a5ae34db60a5,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,4.86,6.276876926422119,6.151637077331543,5.921281814575195,9.25925925925926,0.1168831168831168,0.1168831168831168,nesso_5ed0df5ada6f02997404,Cc1cn(C(C)C)nc1NC(=O)Cc1cn2c(n1)CCCC2,4.49,286.45900000000006,21,5.510300000000006,20.23,1,5,0,False,False,False,False
100,0,nesso_012851a15babc0f24b94,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,4.86,4.773696899414063,4.463110446929932,4.298518180847168,7.8125,0.2105263157894736,0.2105263157894736,nesso_b95113ce43355ef6b9aa,O=C(NC(c1cccc(Cl)c1)C1CCCCC1)c1ccc(=O)[nH]n1,5.18,311.76500000000016,21,2.9426200000000007,64.63,2,3,0,False,False,False,False
100,0,nesso_013e7d360dd9dcf37a34,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,5.74,4.791618347167969,4.7684478759765625,4.6822028160095215,10.0,0.2368421052631578,0.2368421052631578,nesso_9b6f9670504fb9b75a27,O=C(COc1ccc(C(=O)c2ccccc2)cc1)NC1CCN(Cc2ccccc2)CC1,3.6,360.41700000000003,27,4.134900000000003,67.35000000000001,4,6,0,True,False,False,False
100,0,nesso_020daf20250e1ed79249,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,4.72,5.514037132263184,5.341102600097656,5.247727394104004,5.494505494505495,0.2307692307692307,0.2307692307692307,nesso_3c1998b84e4d68229c4f,COc1ccc(C(CNC(=O)[C@@H]2C[C@H]2C(F)(F)F)c2c[nH]c3ccccc23)cc1,4.81,399.36900000000014,28,3.528100000000002,83.66,3,2,0,False,False,False,False
100,0,nesso_02515970249133cc7bb7,C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,3.76,4.880999565124512,4.786780834197998,4.497429847717285,5.319148936170213,0.1839080459770115,0.1839080459770115,nesso_9e9eba16d495d8c47153,Cc1cccc(C)c1C1CCCN1C(=O)NC(c1ccccc1)C1CCOC1,5.64,314.42900000000014,23,2.799400000000001,34.59,4,3,0,True,False,False,True
100,0,nesso_030dc4795f3b2e2b36e6,CC(C)Cn1c(CC(C)(O)c2ccccc2)nnc1N1CCSCC1,5.19,5.201016426086426,4.962285995483398,5.1086955070495605,10.0,0.2048192771084337,0.2345679012345679,nesso_538bbb3c8555157cb318,CC(C)N(Cc1nc2ccccc2c(=O)[nH]1)C(=O)Cc1cccc(C(F)(F)F)c1,5.72,360.5270000000002,25,2.937500000000001,54.18,3,6,0,True,False,False,False
100,0,nesso_040e1cf62f3a4de7fb6f,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,2.01,4.937189102172852,4.238709449768066,4.368758201599121,1.550387596899225,0.3,0.3,nesso_05d914562aedcc78163a,N[C@H](CO)C(=O)O,2.02,182.222,10,-0.2476000000000001,74.6,0,3,0,False,True,True,True
100,0,nesso_04646ee5e59068fb95de,C=CC(=O)N(C)CC(=O)N1CCCC(NC(=O)c2cc3ccccc3o2)C1,3.43,4.792555809020996,4.731490135192871,4.682635307312012,4.385964912280701,0.2527472527472527,0.3218390804597701,nesso_aacc8f3c93b25bc7a204,C=CC(=O)N[C@H]1CN(C(=O)Cc2noc3ccc(F)cc23)C[C@@H]1C1CC1,3.52,369.4210000000001,27,1.7979999999999998,82.86,3,5,0,False,False,False,True
100,0,nesso_04d830517677d42d485c,c1cn2ccnc2c(N2CCCCC3(CCCCC3)C2)n1,4.39,5.372729778289795,4.913467884063721,5.0943684577941895,3.937007874015748,0.2,0.2,nesso_a4a5232b70ff5ac17347,CSc1ccnc(N2CCCC(C)(CNC(=O)C3(C)CCC3)C2)n1,5.98,284.4069999999999,21,3.6701000000000024,33.43,4,1,0,True,False,False,False
