figure,panel,n,below_215,at_least_215
prediction-compression,0,3344,237,3107
prediction-compression,1,3344,237,3107
prediction-compression,2,3344,237,3107
prediction-compression,3,3344,237,3107
prediction-compression,4,3344,237,3107
prediction-compression,5,3344,237,3107
control-predictions-full-range,0,3344,237,3107
control-predictions-full-range,1,3344,237,3107
control-predictions-full-range,2,3344,237,3107
control-predictions-full-range,3,3344,237,3107
change-versus-training-similarity,0,3344,237,3107
change-versus-training-similarity,1,3344,237,3107
change-versus-training-similarity,2,3344,237,3107
change-versus-training-similarity,3,3344,237,3107
error-change-versus-size,0,3344,237,3107
error-change-versus-size,1,3344,237,3107
error-change-versus-size,2,3344,237,3107
error-change-versus-size,3,3344,237,3107
error-change-stratified-n100,0,626,66,560
error-change-stratified-n100,1,410,167,243
error-change-stratified-n100,2,2037,2,2035
error-change-stratified-n100,3,271,2,269
error-change-stratified-n100,4,626,66,560
error-change-stratified-n100,5,410,167,243
error-change-stratified-n100,6,2037,2,2035
error-change-stratified-n100,7,271,2,269
error-change-stratified-n500,0,626,66,560
error-change-stratified-n500,1,410,167,243
error-change-stratified-n500,2,2037,2,2035
error-change-stratified-n500,3,271,2,269
error-change-stratified-n500,4,626,66,560
error-change-stratified-n500,5,410,167,243
error-change-stratified-n500,6,2037,2,2035
error-change-stratified-n500,7,271,2,269
error-change-versus-movement,0,3344,237,3107
error-change-versus-movement,1,3344,237,3107
error-change-versus-movement,2,3344,237,3107
error-change-versus-movement,3,3344,237,3107
