budget,model_a,model_b,weighted_mae_delta,weighted_ci_low,weighted_ci_high,mae_delta,mae_ci_low,mae_ci_high,fold_wins_for_a,fold_deltas
100,head_plus_lora,head_only,-0.006314785053678256,-0.012080358422409159,-0.0008641916644158467,-0.027156622272929507,-0.03499644977161779,-0.02029196293527484,4.0,"[-0.0035181210381801664, -0.010915017135899707, -0.013944905448385336, -0.006869720002419366, 0.0036991879166609065]"
100,head_only,native_continuous,-0.03780491672810438,-0.05147149781831755,-0.024881222139338875,-0.12345797335417076,-0.14648498391124645,-0.10404079016509882,4.0,"[-0.054753007381659335, 0.003465788674489878, -0.04740687272436683, -0.05737063008996157, -0.03342506744438367]"
100,head_plus_lora,native_continuous,-0.044119701781782636,-0.06023244932483413,-0.029511101885082724,-0.15061459562710028,-0.1786711190486193,-0.12712378718126485,5.0,"[-0.0582711284198395, -0.007449228461409829, -0.06135177817275217, -0.06424035009238094, -0.029725879527722765]"
100,head_only,repr_ridge_stable,-0.02919044957737726,-0.05045909045725138,-0.010548475878494936,0.024415798625624287,-0.0002449807682502748,0.04845458967073132,4.0,"[-0.006286102011134442, -0.11552373581673359, -0.026146926109387736, -0.01191718681604359, 0.015448605160046869]"
100,head_plus_lora,repr_ridge_stable,-0.03550523463105552,-0.056706902402885166,-0.016683222509662123,-0.0027408236473052245,-0.026340469709421714,0.019219850886001262,4.0,"[-0.009804223049314609, -0.1264387529526333, -0.04009183155777307, -0.018786906818462956, 0.019147793076707775]"
100,head_only,descriptor_lightgbm_rdkit_mordred,-0.020846559435546454,-0.03904644227833483,-0.0026608111557351968,0.045665494609788956,0.02636318393633063,0.06448483538327181,3.0,"[4.218158148472373e-05, -0.0661290842115051, 0.010548180867528956, -0.045098970166652985, -0.002443178653158018]"
100,head_plus_lora,descriptor_lightgbm_rdkit_mordred,-0.02716134448922471,-0.04515951880100146,-0.009571774751105972,0.018508872336859446,-0.0006958922328776774,0.03690630827934509,4.0,"[-0.0034759394566954427, -0.0770441013474048, -0.0033967245808563806, -0.05196869016907235, 0.0012560092635028886]"
500,head_plus_lora,head_only,-0.016239706706385502,-0.020487065749280248,-0.011965901894301493,-0.036685444361855536,-0.04250030238428621,-0.030913872650485633,5.0,"[-0.01164800912353492, -0.02168444103482603, -0.01983895612105291, -0.01605917864556461, -0.011956802015547052]"
500,head_only,native_continuous,-0.04996901692131721,-0.060765385212698454,-0.03879165104173794,-0.12090337821171045,-0.13597697752121143,-0.10650461165204052,5.0,"[-0.05994890548924814, -0.024789400177196108, -0.053153629976764094, -0.06766186464699564, -0.04449595311511212]"
500,head_plus_lora,native_continuous,-0.06620872362770273,-0.07887363644483046,-0.05380355360160217,-0.15758882257356596,-0.17650643706397437,-0.1396665640821396,5.0,"[-0.07159691461278306, -0.04647384121202214, -0.072992586097817, -0.08372104329256025, -0.05645275513065917]"
500,head_only,repr_ridge_stable,0.04278768655496641,0.029503498260808843,0.056659285074638806,0.12661779228368794,0.10520511238668953,0.14964694605320253,0.0,"[0.03748297289705205, 0.04700329469957887, 0.05256219281337682, 0.03616055010910946, 0.0408828453468596]"
500,head_plus_lora,repr_ridge_stable,0.026547979848580924,0.01461660429588145,0.039094476128825835,0.08993234792183241,0.07145623971568875,0.10964906409028301,0.0,"[0.025834963773517128, 0.02531885366475284, 0.03272323669232391, 0.020101371463544848, 0.028926043331312545]"
500,head_only,descriptor_lightgbm_rdkit_mordred,0.07666734042926023,0.058611840409675195,0.09523730565930189,0.19358515360863113,0.16591802568466718,0.22298014378890735,0.0,"[0.0628491745007752, 0.07757923321318805, 0.10768746963696774, 0.055669954532301724, 0.08029616658335814]"
500,head_plus_lora,descriptor_lightgbm_rdkit_mordred,0.06042763372287472,0.04282367681642488,0.07861685104660965,0.1568997092467756,0.13169793910006206,0.18411968637844645,0.0,"[0.05120116537724029, 0.05589479217836202, 0.08784851351591483, 0.039610775886737115, 0.06833936456781109]"
500-minus-100,head_only,head_only,-0.012164100193212833,-0.018374587862309534,-0.005732018124117555,,,,,
500-minus-100,head_plus_lora,head_plus_lora,-0.022089021845920064,-0.029557663581312406,-0.01411976348139031,,,,,
500-minus-100,repr_ridge_stable,repr_ridge_stable,-0.08414223632555655,-0.10188382180546246,-0.06845749571388075,,,,,
500-minus-100,descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,-0.10967800005801952,-0.12439276484467605,-0.09507248883709933,,,,,
