budget,comparison,lo,hi,n,fit_similarity_median,fit_similarity_min,fit_similarity_max,budget_similarity_median,mean_abs_change,median_change,improved_fraction,weighted_error_improvement,toward_nearest_label_fraction
100,head_only-minus-native,0.0,0.2,494,0.18181818181818182,0.06779661016949153,0.1978021978021978,0.18823529411764706,0.37686790483683225,-0.2908976078033447,0.7469635627530364,0.12571875926938117,0.5850202429149798
100,head_only-minus-native,0.2,0.25,1576,0.225,0.2,0.24742268041237114,0.23076923076923078,0.2670567472876631,-0.2236635684967041,0.6408629441624365,0.0361666922494306,0.5717005076142132
100,head_only-minus-native,0.25,0.3,1025,0.265625,0.25,0.2987012987012987,0.26744186046511625,0.2608823808809606,-0.2191939353942871,0.608780487804878,0.007468433264357338,0.5814634146341463
100,head_only-minus-native,0.3,0.35,249,0.3142857142857143,0.3,0.3493975903614458,0.3142857142857143,0.27628533811454314,-0.24721527099609375,0.6666666666666666,0.028308353360480498,0.6265060240963856
100,head_plus_lora-minus-native,0.0,0.2,494,0.18181818181818182,0.06779661016949153,0.1978021978021978,0.18823529411764706,0.4692611467500447,-0.3514282703399658,0.7388663967611336,0.13678717465117426,0.562753036437247
100,head_plus_lora-minus-native,0.2,0.25,1576,0.225,0.2,0.24742268041237114,0.23076923076923078,0.32341437624190666,-0.25150012969970703,0.6275380710659898,0.042585759605629075,0.5488578680203046
100,head_plus_lora-minus-native,0.25,0.3,1025,0.265625,0.25,0.2987012987012987,0.26744186046511625,0.3151932081362096,-0.2572484016418457,0.6097560975609756,0.00941591187479726,0.5609756097560976
100,head_plus_lora-minus-native,0.3,0.35,249,0.3142857142857143,0.3,0.3493975903614458,0.3142857142857143,0.32797222252351693,-0.28798389434814453,0.6546184738955824,0.04505580336213493,0.5983935742971888
100,head_plus_lora-minus-head_only,0.0,0.2,494,0.18181818181818182,0.06779661016949153,0.1978021978021978,0.18823529411764706,0.15146368814383443,-0.06239056587219238,0.6214574898785425,0.011068415381793074,0.4291497975708502
100,head_plus_lora-minus-head_only,0.2,0.25,1576,0.225,0.2,0.24742268041237114,0.23076923076923078,0.11621786752328049,-0.030127763748168945,0.565989847715736,0.006419067356198487,0.4593908629441624
100,head_plus_lora-minus-head_only,0.25,0.3,1025,0.265625,0.25,0.2987012987012987,0.26744186046511625,0.11295303554069704,-0.035212039947509766,0.5424390243902439,0.0019474786104399203,0.43902439024390244
100,head_plus_lora-minus-head_only,0.3,0.35,249,0.3142857142857143,0.3,0.3493975903614458,0.3142857142857143,0.11238304199463871,-0.034644126892089844,0.606425702811245,0.016747450001654434,0.4578313253012048
500,head_only-minus-native,0.0,0.2,89,0.18461538461538463,0.1,0.19801980198019803,0.1875,0.48758325683936643,-0.35242509841918945,0.8089887640449438,0.21370603452443773,0.7415730337078652
500,head_only-minus-native,0.2,0.25,648,0.234375,0.2,0.24742268041237114,0.24,0.2795236857584965,-0.22399473190307617,0.6898148148148148,0.06668220682047131,0.6651234567901234
500,head_only-minus-native,0.25,0.3,1612,0.27380952380952384,0.25,0.2988505747126437,0.27848101265822783,0.22912105511199157,-0.1842811107635498,0.6637717121588089,0.041998874200189766,0.598014888337469
500,head_only-minus-native,0.3,0.35,995,0.3188405797101449,0.3,0.3493975903614458,0.32,0.21918475735726667,-0.1743946075439453,0.6723618090452261,0.04096245867275328,0.6391959798994975
500,head_plus_lora-minus-native,0.0,0.2,89,0.18461538461538463,0.1,0.19801980198019803,0.1875,0.6037507914425282,-0.48954200744628906,0.8089887640449438,0.22224393923003583,0.7303370786516854
500,head_plus_lora-minus-native,0.2,0.25,648,0.234375,0.2,0.24742268041237114,0.24,0.32757419127005116,-0.27266645431518555,0.6882716049382716,0.07815125220616127,0.6404320987654321
500,head_plus_lora-minus-native,0.25,0.3,1612,0.27380952380952384,0.25,0.2988505747126437,0.27848101265822783,0.2793326766851818,-0.2137904167175293,0.6705955334987593,0.05794515824655042,0.5856079404466501
500,head_plus_lora-minus-native,0.3,0.35,995,0.3188405797101449,0.3,0.3493975903614458,0.32,0.2723186588766587,-0.21626663208007812,0.6733668341708543,0.061372819173684943,0.6251256281407035
500,head_plus_lora-minus-head_only,0.0,0.2,89,0.18461538461538463,0.1,0.19801980198019803,0.1875,0.15640585074264013,-0.06501150131225586,0.6404494382022472,0.008537904705598088,0.5168539325842697
500,head_plus_lora-minus-head_only,0.2,0.25,648,0.234375,0.2,0.24742268041237114,0.24,0.10821355309015439,-0.025606870651245117,0.5987654320987654,0.01146904538568997,0.47530864197530864
500,head_plus_lora-minus-head_only,0.25,0.3,1612,0.27380952380952384,0.25,0.2988505747126437,0.27848101265822783,0.1013918547121526,-0.023077726364135742,0.608560794044665,0.01594628404636066,0.4869727047146402
500,head_plus_lora-minus-head_only,0.3,0.35,995,0.3188405797101449,0.3,0.3493975903614458,0.32,0.10083616558630862,-0.034612178802490234,0.6361809045226131,0.02041036050093166,0.5095477386934674
