budget,comparison,fold,rho_abs_change_similarity
100,head_only-minus-native,pooled,-0.09579553255991756
100,head_only-minus-native,0,-0.024734071395162434
100,head_only-minus-native,1,-0.16975600359409834
100,head_only-minus-native,2,-0.17333780735001808
100,head_only-minus-native,3,0.017235777900322893
100,head_only-minus-native,4,-0.19628210468334534
100,head_plus_lora-minus-native,pooled,-0.09348139420270277
100,head_plus_lora-minus-native,0,-0.01365476216464219
100,head_plus_lora-minus-native,1,-0.05620587634367038
100,head_plus_lora-minus-native,2,-0.18654851751226437
100,head_plus_lora-minus-native,3,-0.0255519535703648
100,head_plus_lora-minus-native,4,-0.2041799676193603
100,head_plus_lora-minus-head_only,pooled,-0.08753653780675577
100,head_plus_lora-minus-head_only,0,-0.007516443697206038
100,head_plus_lora-minus-head_only,1,-0.049540735961331794
100,head_plus_lora-minus-head_only,2,-0.08548348915315275
100,head_plus_lora-minus-head_only,3,-0.09583694614262506
100,head_plus_lora-minus-head_only,4,-0.1660788614079117
500,head_only-minus-native,pooled,-0.16336275675826312
500,head_only-minus-native,0,-0.15137435561339552
500,head_only-minus-native,1,-0.23886084697991325
500,head_only-minus-native,2,-0.252547670164694
500,head_only-minus-native,3,-0.013924589418244851
500,head_only-minus-native,4,-0.16184560568295592
500,head_plus_lora-minus-native,pooled,-0.11178683427929012
500,head_plus_lora-minus-native,0,-0.0891882359949251
500,head_plus_lora-minus-native,1,-0.1363215288707214
500,head_plus_lora-minus-native,2,-0.21684295774441345
500,head_plus_lora-minus-native,3,-0.011079358097906424
500,head_plus_lora-minus-native,4,-0.0992493511360799
500,head_plus_lora-minus-head_only,pooled,-0.04471940383155633
500,head_plus_lora-minus-head_only,0,-0.019526931114464314
500,head_plus_lora-minus-head_only,1,-0.04405528855061974
500,head_plus_lora-minus-head_only,2,-0.10653099574326859
500,head_plus_lora-minus-head_only,3,-0.007748833373242164
500,head_plus_lora-minus-head_only,4,-0.02142508765404948
