task_id,method,budget,fold,path,origin
fold0__draw0__n100__head_only__seed42,head_only,100,0,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold0__draw0__n100__head_only__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold0__draw0__n100__head_plus_lora__seed42,head_plus_lora,100,0,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold0__draw0__n100__head_plus_lora__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold0__draw0__n500__head_only__seed42,head_only,500,0,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold0__draw0__n500__head_only__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold0__draw0__n500__head_plus_lora__seed42,head_plus_lora,500,0,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold0__draw0__n500__head_plus_lora__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold1__draw0__n100__head_only__seed42,head_only,100,1,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold1__draw0__n100__head_only__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold1__draw0__n100__head_plus_lora__seed42,head_plus_lora,100,1,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold1__draw0__n100__head_plus_lora__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold1__draw0__n500__head_only__seed42,head_only,500,1,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold1__draw0__n500__head_only__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold1__draw0__n500__head_plus_lora__seed42,head_plus_lora,500,1,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold1__draw0__n500__head_plus_lora__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold2__draw0__n100__head_only__seed42,head_only,100,2,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold2__draw0__n100__head_only__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
fold2__draw0__n100__head_plus_lora__seed42,head_plus_lora,100,2,/home/dan/projects/nesso-finetune/PXR/artifacts/cloud/50146714/remote_results/tasks/fold2__draw0__n100__head_plus_lora__seed42,"preserved neural fit; 3 historical local fits, 17 remote continuation fits across matrix"
