task,budget,fold,method,epoch,weighted_huber
fold0__draw0__n100__head_only__seed42,100,0,head_only,1,0.5122889669091819
fold0__draw0__n100__head_only__seed42,100,0,head_only,2,0.5061500844444735
fold0__draw0__n100__head_only__seed42,100,0,head_only,3,0.5025763714911591
fold0__draw0__n100__head_only__seed42,100,0,head_only,4,0.5007619359612363
fold0__draw0__n100__head_only__seed42,100,0,head_only,5,0.4995817820292814
fold0__draw0__n100__head_only__seed42,100,0,head_only,6,0.4982642667928303
fold0__draw0__n100__head_only__seed42,100,0,head_only,7,0.4965039605849597
fold0__draw0__n100__head_only__seed42,100,0,head_only,8,0.4943811209213891
fold0__draw0__n100__head_only__seed42,100,0,head_only,9,0.49213817329837184
fold0__draw0__n100__head_only__seed42,100,0,head_only,10,0.49002715317800494
fold0__draw0__n100__head_only__seed42,100,0,head_only,11,0.4881298353101329
fold0__draw0__n100__head_only__seed42,100,0,head_only,12,0.4864271833384919
fold0__draw0__n100__head_only__seed42,100,0,head_only,13,0.4848814704421329
fold0__draw0__n100__head_only__seed42,100,0,head_only,14,0.4834199697083461
fold0__draw0__n100__head_only__seed42,100,0,head_only,15,0.48191045448589875
fold0__draw0__n100__head_only__seed42,100,0,head_only,16,0.4802758986522804
fold0__draw0__n100__head_only__seed42,100,0,head_only,17,0.4785659098350834
fold0__draw0__n100__head_only__seed42,100,0,head_only,18,0.476840092519069
fold0__draw0__n100__head_only__seed42,100,0,head_only,19,0.4751367792797083
fold0__draw0__n100__head_only__seed42,100,0,head_only,20,0.47350908424905924
fold0__draw0__n100__head_only__seed42,100,0,head_only,21,0.471957170842046
fold0__draw0__n100__head_only__seed42,100,0,head_only,22,0.47046686308510743
fold0__draw0__n100__head_only__seed42,100,0,head_only,23,0.46898515914641337
fold0__draw0__n100__head_only__seed42,100,0,head_only,24,0.46748632769481446
fold0__draw0__n100__head_only__seed42,100,0,head_only,25,0.4659713542821464
fold0__draw0__n100__head_only__seed42,100,0,head_only,26,0.46447955973690114
