dataset,analysis,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope,delta_mae,direction_accuracy,median_predicted_delta,median_true_delta
nested_development,test_points_cliffing_from_nearest_training_neighbor,mean,50.0,1.1164136125229305,1.322727149434896,1.0060825732139913,-0.07098949822903647,-0.0561833151506599,0.360050339477183,17.14100821649251,-3.0707233061701498,,,,
nested_development,test_points_cliffing_from_nearest_training_neighbor,frozen_nesso,50.0,1.175450998,1.4554732454907882,1.0592855116503737,0.6021599982676941,0.5925997085992025,0.9832210060000002,-5.151640158577468,1.8468229652637456,,,,
nested_development,test_points_cliffing_from_nearest_training_neighbor,affine_frozen_nesso,50.0,0.9402214205713452,1.078496273630907,0.8473028056883392,0.5987636304407646,0.584964104574302,0.25468619484407107,-2.3215706402631726,1.4928327449514747,,,,
nested_development,test_points_cliffing_from_nearest_training_neighbor,fine_tuned_nesso,50.0,0.7699146464029947,0.9563774560766678,0.6938268218154277,0.7134460948606716,0.6923427875911429,0.2766146349589031,-1.579227772470859,1.3089825455584,,,,
nested_development,test_points_cliffing_from_nearest_training_neighbor,nested_2d_lightgbm,50.0,0.7357267702605326,0.9300915122410782,0.6630176073663132,0.682688960076975,0.643503735431873,0.05217132634232679,0.06406675889540546,0.9708776568918605,,,,
historical_lockbox_primary,test_points_cliffing_from_nearest_training_neighbor,mean,13.0,1.2991833349021085,1.493339100669695,1.185027977107385,-3.2541596306949684e-16,,0.879025220473239,0.17710763907818436,0.7508999854363402,,,,
historical_lockbox_primary,test_points_cliffing_from_nearest_training_neighbor,frozen_nesso,13.0,1.4977748538461537,1.8009323712598604,1.3661698526554402,0.7666319865231862,0.7967032967032966,1.4969693153846153,-12.047773011716265,3.171957917472799,,,,
historical_lockbox_primary,test_points_cliffing_from_nearest_training_neighbor,fine_tuned_nesso,13.0,0.6900901846153846,0.8163493771042811,0.6294540220207253,0.9292244334776644,0.9120879120879121,0.5691321846153847,-2.5730983820249986,1.509927854567692,,,,
historical_lockbox_primary,test_points_cliffing_from_nearest_training_neighbor,established_2d_lightgbm,13.0,0.7523876994244841,0.9179659571591511,0.6862776403429286,0.6741023864228967,0.6318681318681317,0.21356934159157737,-0.4172897784436933,1.0569952825474955,,,,
public_challenge,test_points_cliffing_from_nearest_training_neighbor,mean,103.0,0.9026421926377367,1.1452468699214362,1.2214889079831615,,,0.7284745436286403,3.5352427184466015,,,,,
public_challenge,test_points_cliffing_from_nearest_training_neighbor,frozen_nesso,103.0,1.3540266854368936,1.6110906829846847,1.8323191524442206,0.10602217411458555,0.07922483004508526,1.340444765048544,1.7580737515171982,0.36449607833671854,,,,
public_challenge,test_points_cliffing_from_nearest_training_neighbor,fine_tuned_nesso,103.0,0.9466087262135922,1.2177788227363722,1.2809860526141241,0.1366770147661159,0.13793368552522708,0.7741063456310678,2.412156941657274,0.26061610700123317,,,,
public_challenge,test_points_cliffing_from_nearest_training_neighbor,established_2d_challenge,103.0,0.8541862212632526,1.157073185864631,1.1559164895406786,0.3246481029969466,0.38956738533502416,0.7143725251891204,1.651711737886271,0.4432238855932029,,,,
nested_development,held_out_pair_resolution,mean,1.0,,,,,,,,,2.5799999999999996,0.0,0.0,2.5799999999999996
nested_development,held_out_pair_resolution,frozen_nesso,1.0,,,,,,,,,2.1301732999999996,1.0,0.4498267,2.5799999999999996
nested_development,held_out_pair_resolution,affine_frozen_nesso,1.0,,,,,,,,,2.0024296212548163,1.0,0.5775703787451834,2.5799999999999996
nested_development,held_out_pair_resolution,fine_tuned_nesso,1.0,,,,,,,,,1.0015631484985348,1.0,1.5784368515014648,2.5799999999999996
nested_development,held_out_pair_resolution,nested_2d_lightgbm,1.0,,,,,,,,,1.103660578147701,1.0,1.4763394218522987,2.5799999999999996
historical_lockbox_primary,held_out_pair_resolution,mean,0.0,,,,,,,,,,,,
historical_lockbox_primary,held_out_pair_resolution,frozen_nesso,0.0,,,,,,,,,,,,
historical_lockbox_primary,held_out_pair_resolution,fine_tuned_nesso,0.0,,,,,,,,,,,,
historical_lockbox_primary,held_out_pair_resolution,established_2d_lightgbm,0.0,,,,,,,,,,,,
