dataset,comparison,metric,estimate,ci_lower,ci_upper
nested_development,fine_tuned_nesso_minus_frozen_nesso,mae,-0.28203615962467643,-0.35783104716243913,-0.22524694376375248
nested_development,fine_tuned_nesso_minus_frozen_nesso,rae,-0.3055574041296577,-0.35669240062671886,-0.26196321113543874
nested_development,fine_tuned_nesso_minus_frozen_nesso,spearman,0.2398274283361561,0.21075724055581993,0.2721430107313971
nested_development,fine_tuned_nesso_minus_nested_2d_lightgbm,mae,0.1169913524805739,0.10120787823566829,0.1332521170920908
nested_development,fine_tuned_nesso_minus_nested_2d_lightgbm,rae,0.12674819433491624,0.1112713006783435,0.14553320202367098
nested_development,fine_tuned_nesso_minus_nested_2d_lightgbm,spearman,-0.1052312345926979,-0.13132519598397688,-0.08355630391357564
nested_development,nested_2d_lightgbm_minus_mean,mae,-0.4093304810326266,-0.4719157670344268,-0.3604495579544335
nested_development,nested_2d_lightgbm_minus_mean,rae,-0.4434678141338946,-0.4705804883085973,-0.418209676105009
nested_development,nested_2d_lightgbm_minus_mean,spearman,0.8051642921014567,0.6664279492874885,0.9727145651107308
historical_lockbox_primary,fine_tuned_nesso_minus_frozen_nesso,mae,-0.25519317815126064,-0.31787641058859933,-0.19587077172488643
historical_lockbox_primary,fine_tuned_nesso_minus_frozen_nesso,rae,-0.2919083179412765,-0.34504416167459145,-0.23874809124646748
historical_lockbox_primary,fine_tuned_nesso_minus_frozen_nesso,spearman,0.2783987245329269,0.21270317103791941,0.3404375824628746
historical_lockbox_primary,fine_tuned_nesso_minus_established_2d_lightgbm,mae,0.12372300769449007,0.08985512945754513,0.15595768270833618
historical_lockbox_primary,fine_tuned_nesso_minus_established_2d_lightgbm,rae,0.14152327788843688,0.10520953174091609,0.17626073581656027
historical_lockbox_primary,fine_tuned_nesso_minus_established_2d_lightgbm,spearman,-0.13857921475377344,-0.18670592716920434,-0.09148746788339623
historical_lockbox_primary,established_2d_lightgbm_minus_mean,mae,-0.4356612117308033,-0.48923011231591157,-0.38472147352656316
historical_lockbox_primary,established_2d_lightgbm_minus_mean,rae,-0.4983406391577514,-0.5370368097383865,-0.4569608953112132
historical_lockbox_primary,established_2d_lightgbm_minus_mean,spearman,,,
public_challenge,fine_tuned_nesso_minus_frozen_nesso,mae,-0.07040499317738769,-0.11391062988761612,-0.03262275067012708
public_challenge,fine_tuned_nesso_minus_frozen_nesso,rae,-0.09253563301596812,-0.14399025585230707,-0.04483394413380381
public_challenge,fine_tuned_nesso_minus_frozen_nesso,spearman,0.20621748258713957,0.15085142172646188,0.2648279739587405
public_challenge,fine_tuned_nesso_minus_established_2d_challenge,mae,0.08494846571443349,0.04411076977618117,0.12406022359516429
public_challenge,fine_tuned_nesso_minus_established_2d_challenge,rae,0.11165060450776432,0.0601492267686563,0.1642480707618613
public_challenge,fine_tuned_nesso_minus_established_2d_challenge,spearman,-0.09045554649479592,-0.15656072108129276,-0.026126983878142995
public_challenge,established_2d_challenge_minus_mean,mae,-0.4603299413580162,-0.5209968615275135,-0.3971751995162778
public_challenge,established_2d_challenge_minus_mean,rae,-0.6050270101218977,-0.7185006839867315,-0.5081192946452798
public_challenge,established_2d_challenge_minus_mean,spearman,,,
