dataset,subset,model,metric,estimate
nested_development,"potency_stratum:(4,5]",mean,n,1267.0
nested_development,"potency_stratum:(4,5]",mean,mae,0.3421455480631092
nested_development,"potency_stratum:(4,5]",mean,rmse,0.3997879294128055
nested_development,"potency_stratum:(4,5]",mean,rae,1.5135469464035853
nested_development,"potency_stratum:(4,5]",mean,pearson,0.019011884282809914
nested_development,"potency_stratum:(4,5]",mean,spearman,0.020492903054046406
nested_development,"potency_stratum:(4,5]",mean,bias,-0.2971132615017078
nested_development,"potency_stratum:(4,5]",mean,calibration_intercept,3.775858630415484
nested_development,"potency_stratum:(4,5]",mean,calibration_slope,0.19010233868894708
nested_development,"potency_stratum:(4,5]",frozen_nesso,n,1267.0
nested_development,"potency_stratum:(4,5]",frozen_nesso,mae,0.4797868960536701
nested_development,"potency_stratum:(4,5]",frozen_nesso,rmse,0.5894252227743572
nested_development,"potency_stratum:(4,5]",frozen_nesso,rae,2.1224300463864045
nested_development,"potency_stratum:(4,5]",frozen_nesso,pearson,0.078786330888805
nested_development,"potency_stratum:(4,5]",frozen_nesso,spearman,0.09101052865438804
nested_development,"potency_stratum:(4,5]",frozen_nesso,bias,0.44944242028413567
nested_development,"potency_stratum:(4,5]",frozen_nesso,calibration_intercept,4.232611032355919
nested_development,"potency_stratum:(4,5]",frozen_nesso,calibration_slope,0.07136122393614738
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,n,1267.0
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,mae,0.41406388404571737
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,rmse,0.5042701662426294
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,rae,1.831691602773119
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,pearson,0.0817046386628578
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,spearman,0.09283358187251015
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,bias,-0.2558517582261851
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,calibration_intercept,4.333945684539337
nested_development,"potency_stratum:(4,5]",affine_frozen_nesso,calibration_slope,0.05959980574403891
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,n,1267.0
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,mae,0.3309997150001636
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,rmse,0.4200401569365454
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,rae,1.4642412000829177
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,pearson,0.22609768398311647
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,spearman,0.20757405712296315
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,bias,0.0024428262612720218
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,calibration_intercept,3.882716145592221
nested_development,"potency_stratum:(4,5]",fine_tuned_nesso,calibration_slope,0.15445286904490302
nested_development,"potency_stratum:(4,5]",nested_2d_lightgbm,n,1267.0
nested_development,"potency_stratum:(4,5]",nested_2d_lightgbm,mae,0.3485560725779326
nested_development,"potency_stratum:(4,5]",nested_2d_lightgbm,rmse,0.4405363386143559
