activity_bin,n,mean,median,q25,q75,cohort
<3,579,0.17997006335619845,0.1273751854896545,0.0656313113868236,0.2268362492322921,development
3–4,457,0.20222234541725537,0.1541033089160919,0.0947581529617309,0.2621750235557556,development
4–5,1257,0.2538335145515587,0.2142415940761566,0.1469024121761322,0.3282527923583984,development
5–6,995,0.2867020627848766,0.2516112029552459,0.18691551685333252,0.3686825633049011,development
≥6,56,0.37668403929897715,0.3476912975311279,0.2746919021010399,0.45856491476297373,development
<3,115,0.1584899314071821,0.1119153201580047,0.057974565774202305,0.20450292527675623,validation
3–4,93,0.2012263259259603,0.1626694202423095,0.1077941805124282,0.2559824287891388,validation
4–5,301,0.24653274178554443,0.2227982878684997,0.1381352543830871,0.3200472593307495,validation
5–6,272,0.2703843157300177,0.2275196462869644,0.17537338286638257,0.3400823846459388,validation
≥6,9,0.36283907956547207,0.3138208389282226,0.1855525970458984,0.5496978759765625,validation
<3,37,0.17309589462505803,0.1336926221847534,0.1043277978897094,0.1833633184432983,challenge
3–4,63,0.17836441442606937,0.1460581719875335,0.10719586163759225,0.23255613446235657,challenge
4–5,158,0.22191319468466536,0.18523141741752625,0.13797539100050923,0.2573163658380508,challenge
5–6,224,0.30922053401757565,0.26682789623737335,0.19808186963200566,0.40716116875410074,challenge
≥6,31,0.345151484973969,0.3070783913135528,0.23140504956245414,0.4580720365047455,challenge
