n,threshold,proxy_positive_count,proxy_positive_prevalence,roc_auc,average_precision,brier_score,proxy_positive_binder_positive,proxy_positive_binder_negative,proxy_negative_binder_positive,proxy_negative_binder_negative,proxy_sensitivity_at_released_cutoff,proxy_specificity_at_released_cutoff,binder_positive_fraction_at_released_cutoff,dataset,pool_variant
3344.0,4.0,2308.0,0.6901913875598086,0.7001973578555034,0.7842010550446812,0.4014185541053203,203.0,2105.0,66.0,970.0,0.08795493934142114,0.9362934362934363,0.08044258373205741,development,all_pairs
3344.0,5.0,1051.0,0.31429425837320574,0.6559875067584585,0.40459743941439996,0.21635200374127084,107.0,944.0,162.0,2131.0,0.10180780209324453,0.9293501962494548,0.08044258373205741,development,all_pairs
3344.0,6.0,56.0,0.01674641148325359,0.7496143986791797,0.05558602578142941,0.08941931981241455,12.0,44.0,257.0,3031.0,0.21428571428571427,0.9218369829683698,0.08044258373205741,development,all_pairs
790.0,4.0,582.0,0.7367088607594937,0.6961075865715041,0.829882860033232,0.43313990462116214,47.0,535.0,9.0,199.0,0.08075601374570447,0.9567307692307693,0.07088607594936709,validation,all_pairs
790.0,5.0,281.0,0.3556962025316456,0.6270196953065461,0.4372211926318968,0.23999143696913403,25.0,256.0,31.0,478.0,0.08896797153024912,0.9390962671905697,0.07088607594936709,validation,all_pairs
790.0,6.0,9.0,0.01139240506329114,0.6965428937259923,0.03836502132144276,0.08187633286423489,3.0,6.0,53.0,728.0,0.3333333333333333,0.9321382842509603,0.07088607594936709,validation,all_pairs
3344.0,4.0,2308.0,0.6901913875598086,0.7195485904324725,0.8068178503419519,0.2736774486194022,811.0,1497.0,163.0,873.0,0.3513864818024263,0.8426640926640927,0.29126794258373206,development,ligand_ligand_only
3344.0,5.0,1051.0,0.31429425837320574,0.6650904191509924,0.41922233978067475,0.21417687787619558,439.0,612.0,535.0,1758.0,0.41769743101807805,0.7666812036633232,0.29126794258373206,development,ligand_ligand_only
3344.0,6.0,56.0,0.01674641148325359,0.7243602276677095,0.05233744287950373,0.19308172206214796,34.0,22.0,940.0,2348.0,0.6071428571428571,0.7141119221411192,0.29126794258373206,development,ligand_ligand_only
790.0,4.0,582.0,0.7367088607594937,0.7204847343378271,0.8558923888858649,0.28924544586756556,191.0,391.0,25.0,183.0,0.3281786941580756,0.8798076923076923,0.27341772151898736,validation,ligand_ligand_only
790.0,5.0,281.0,0.3556962025316456,0.6408630417607617,0.4604581521295636,0.2236671559528308,97.0,184.0,119.0,390.0,0.34519572953736655,0.7662082514734774,0.27341772151898736,validation,ligand_ligand_only
790.0,6.0,9.0,0.01139240506329114,0.6715037700953194,0.026992148236389478,0.1884961232841618,4.0,5.0,212.0,569.0,0.4444444444444444,0.7285531370038413,0.27341772151898736,validation,ligand_ligand_only
3344.0,4.0,2308.0,0.6901913875598086,0.6969601286109085,0.7815567822802643,0.4182700288919487,177.0,2131.0,61.0,975.0,0.07668977469670711,0.9411196911196911,0.07117224880382775,development,receptor_ligand_only
3344.0,5.0,1051.0,0.31429425837320574,0.6529071434469611,0.40149077853200155,0.2203405441434132,93.0,958.0,145.0,2148.0,0.08848715509039011,0.9367640645442652,0.07117224880382775,development,receptor_ligand_only
3344.0,6.0,56.0,0.01674641148325359,0.7447210636079249,0.055264034981542136,0.08198643813706252,10.0,46.0,228.0,3060.0,0.17857142857142858,0.9306569343065694,0.07117224880382775,development,receptor_ligand_only
790.0,4.0,582.0,0.7367088607594937,0.6946867565424267,0.8287017473757845,0.45134658613932294,37.0,545.0,8.0,200.0,0.06357388316151202,0.9615384615384616,0.056962025316455694,validation,receptor_ligand_only
790.0,5.0,281.0,0.3556962025316456,0.6250201008187151,0.43440829538128023,0.2451910821878383,19.0,262.0,26.0,483.0,0.06761565836298933,0.9489194499017681,0.056962025316455694,validation,receptor_ligand_only
790.0,6.0,9.0,0.01139240506329114,0.7006686584151373,0.039760644168525795,0.07381459930010244,3.0,6.0,42.0,739.0,0.3333333333333333,0.9462227912932138,0.056962025316455694,validation,receptor_ligand_only
