outer_fold,selected_alpha,inner_mae,inner_spearman,model,selection_scope
0.0,0.0,0.8458050204868055,0.3806228357660371,affinity_only_linear,outer_training_only
1.0,0.0,0.8426283844181736,0.39616267332405697,affinity_only_linear,outer_training_only
2.0,0.0,0.8414270401560138,0.39292044208900295,affinity_only_linear,outer_training_only
3.0,0.0,0.8489458334604538,0.37255133755430464,affinity_only_linear,outer_training_only
4.0,0.0,0.8187685674285263,0.3683815715174606,affinity_only_linear,outer_training_only
,0.0,0.8393458962515085,0.3832577417566899,affinity_only_linear,all_development_for_external_evaluation
0.0,0.0,0.8603460938492979,0.3279506335668991,binder_logit_only_linear,outer_training_only
1.0,0.0,0.8577226675152888,0.35360174446777065,binder_logit_only_linear,outer_training_only
2.0,0.0,0.8673301571760946,0.3308594868505046,binder_logit_only_linear,outer_training_only
3.0,0.0,0.8652880196266121,0.3269905183410639,binder_logit_only_linear,outer_training_only
4.0,0.0,0.8291940475786789,0.3267533972039899,binder_logit_only_linear,outer_training_only
,0.0,0.8557936720764827,0.33466567941157516,binder_logit_only_linear,all_development_for_external_evaluation
0.0,0.0,0.8382004223792303,0.392899562437037,continuous_plus_binary_linear,outer_training_only
1.0,0.0,0.8319431964528162,0.4128528186316429,continuous_plus_binary_linear,outer_training_only
2.0,0.0,0.8361258042047149,0.4023449416134482,continuous_plus_binary_linear,outer_training_only
3.0,0.0,0.8420976086588766,0.38597046023567083,continuous_plus_binary_linear,outer_training_only
4.0,0.0,0.8130424001975501,0.38075376183494636,continuous_plus_binary_linear,outer_training_only
,0.0,0.8321331401977538,0.3961897042582904,continuous_plus_binary_linear,all_development_for_external_evaluation
0.0,0.0,0.7716918255606893,0.44312515137037695,continuous_plus_binary_polynomial2,outer_training_only
1.0,0.0,0.7785396113542689,0.4586995041440494,continuous_plus_binary_polynomial2,outer_training_only
2.0,0.0,0.7786637832904518,0.4566083829993783,continuous_plus_binary_polynomial2,outer_training_only
3.0,0.0,0.7799750487002572,0.44332737083536916,continuous_plus_binary_polynomial2,outer_training_only
4.0,0.0,0.7618241109145237,0.42633602354787337,continuous_plus_binary_polynomial2,outer_training_only
,0.0,0.7736164716108205,0.44713846479493125,continuous_plus_binary_polynomial2,all_development_for_external_evaluation
0.0,100.0,0.6376780059850105,0.6437611412318279,mean_repr_384d_ridge,outer_training_only
1.0,100.0,0.6789101549082626,0.6551644940520267,mean_repr_384d_ridge,outer_training_only
2.0,100.0,0.6334535946450299,0.6482681204292066,mean_repr_384d_ridge,outer_training_only
3.0,100.0,0.6398497949070818,0.6523342748339356,mean_repr_384d_ridge,outer_training_only
4.0,10.0,0.640167329825804,0.634218658828289,mean_repr_384d_ridge,outer_training_only
,100.0,0.6292376312780307,0.652973953865199,mean_repr_384d_ridge,all_development_for_external_evaluation
0.0,100.0,0.637632679052758,0.6437335504687102,mean_repr_plus_readouts_386d_ridge,outer_training_only
1.0,100.0,0.6789100062778199,0.655116196231985,mean_repr_plus_readouts_386d_ridge,outer_training_only
2.0,100.0,0.6334631776216737,0.6482319121546302,mean_repr_plus_readouts_386d_ridge,outer_training_only
3.0,100.0,0.6398809843177458,0.6523402804302681,mean_repr_plus_readouts_386d_ridge,outer_training_only
4.0,10.0,0.6403148052047746,0.6340632568325913,mean_repr_plus_readouts_386d_ridge,outer_training_only
,100.0,0.6292378019695215,0.6529447957673495,mean_repr_plus_readouts_386d_ridge,all_development_for_external_evaluation
0.0,100.0,0.6406141001086368,0.6543408357935991,concat_repr_768d_ridge,outer_training_only
1.0,100.0,0.6307421418211372,0.667203724360264,concat_repr_768d_ridge,outer_training_only
2.0,100.0,0.6377293650106647,0.659473782404189,concat_repr_768d_ridge,outer_training_only
3.0,100.0,0.6457715704825236,0.657513663815399,concat_repr_768d_ridge,outer_training_only
4.0,100.0,0.6176331152629047,0.643869706460268,concat_repr_768d_ridge,outer_training_only
,100.0,0.6262034641223359,0.6637833257086054,concat_repr_768d_ridge,all_development_for_external_evaluation
0.0,100.0,0.6406196456584435,0.6543439550477427,concat_repr_plus_member_readouts_772d_ridge,outer_training_only
1.0,100.0,0.6307665810611162,0.667204133322005,concat_repr_plus_member_readouts_772d_ridge,outer_training_only
2.0,100.0,0.6377240720488632,0.65949081111334,concat_repr_plus_member_readouts_772d_ridge,outer_training_only
3.0,100.0,0.6457854470243345,0.6575019718332318,concat_repr_plus_member_readouts_772d_ridge,outer_training_only
4.0,100.0,0.6176313959104444,0.6438759329603878,concat_repr_plus_member_readouts_772d_ridge,outer_training_only
,100.0,0.6262152052813594,0.6637746846509466,concat_repr_plus_member_readouts_772d_ridge,all_development_for_external_evaluation
,0.001,,,mean_repr_384d_mlp32_fixed,prespecified_fixed_configuration
,0.001,,,mean_repr_plus_readouts_386d_mlp32_fixed,prespecified_fixed_configuration
