threshold,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,finite_replicates,bootstrap_clusters,cohort,bootstrap_unit
4.0,roc_auc,0.7001973578555034,0.6701714535700353,0.7275775696158767,2000,2000,2931,development_all,family
4.0,average_precision,0.7842010550446812,0.7427788634723516,0.8208060364994368,2000,2000,2931,development_all,family
5.0,roc_auc,0.6559875067584585,0.6326552254399426,0.6778085052558341,2000,2000,2931,development_all,family
5.0,average_precision,0.40459743941439996,0.3694308828458798,0.4412801284459379,2000,2000,2931,development_all,family
6.0,roc_auc,0.7496143986791797,0.6873800371561062,0.8010757082561027,2000,2000,2931,development_all,family
6.0,average_precision,0.05558602578142941,0.026775663336547725,0.10424513283922034,2000,2000,2931,development_all,family
4.0,roc_auc,0.7035207292271656,0.670170817285306,0.729140141848171,2000,2000,2677,development_emax_qualified,family
4.0,average_precision,0.7707689609628793,0.7254669629916595,0.8137399974682605,2000,2000,2677,development_emax_qualified,family
5.0,roc_auc,0.6600153780130177,0.6365545234261106,0.6820183178608555,2000,2000,2677,development_emax_qualified,family
5.0,average_precision,0.385004887972656,0.3468711791203873,0.4242961248926375,2000,2000,2677,development_emax_qualified,family
6.0,roc_auc,0.7491609742073784,0.6880171869160561,0.80690622829918,2000,2000,2677,development_emax_qualified,family
6.0,average_precision,0.05807146644879931,0.027031142552176857,0.10839343206412483,2000,2000,2677,development_emax_qualified,family
4.0,roc_auc,0.6016363636363636,0.4582394764674775,0.7352244582043344,2000,2000,270,development_lower_emax,family
4.0,average_precision,0.9396227860943915,0.9038057205734317,0.971199699907076,2000,2000,270,development_lower_emax,family
5.0,roc_auc,0.623015223440825,0.5558590264818271,0.687649976856797,2000,2000,270,development_lower_emax,family
5.0,average_precision,0.6355909113024878,0.5584515968307656,0.7256593910145666,2000,2000,270,development_lower_emax,family
6.0,roc_auc,0.7657992565055762,0.6370067465234751,0.8737346826380283,2000,1910,270,development_lower_emax,family
6.0,average_precision,0.03000228608511611,0.010526315789473684,0.08575665508259693,2000,1910,270,development_lower_emax,family
4.0,roc_auc,0.6961075865715041,0.6449971057314359,0.7422764477127849,2000,2000,735,validation_all,family
4.0,average_precision,0.829882860033232,0.7918364205266244,0.8681615740788711,2000,2000,735,validation_all,family
5.0,roc_auc,0.6270196953065461,0.5865436960937537,0.665768894822564,2000,2000,735,validation_all,family
5.0,average_precision,0.4372211926318968,0.3847952102652044,0.49660358926205245,2000,2000,735,validation_all,family
6.0,roc_auc,0.6965428937259923,0.4719662630659427,0.8921880099951862,2000,2000,735,validation_all,family
6.0,average_precision,0.03836502132144276,0.01207724681342072,0.12073077801223614,2000,2000,735,validation_all,family
4.0,roc_auc,0.7032574012127288,0.6506955593382926,0.7523444481710762,2000,2000,663,validation_emax_qualified,family
4.0,average_precision,0.8179566437230783,0.7759369780406172,0.8575284468649547,2000,2000,663,validation_emax_qualified,family
5.0,roc_auc,0.6372164721426998,0.5929062673316113,0.6804163289326377,2000,2000,663,validation_emax_qualified,family
5.0,average_precision,0.4273487250758677,0.3726104581909622,0.49191656673029593,2000,2000,663,validation_emax_qualified,family
6.0,roc_auc,0.7275141643059491,0.4997438536422986,0.9199789871910653,2000,1999,663,validation_emax_qualified,family
6.0,average_precision,0.0430532668824437,0.012542255438258357,0.12879255362997133,2000,1999,663,validation_emax_qualified,family
4.0,roc_auc,0.619718309859155,0.4684925176056338,0.773829219187675,2000,1992,76,validation_lower_emax,family
4.0,average_precision,0.9675350058807968,0.9304739353288021,0.9929717129706479,2000,1992,76,validation_lower_emax,family
5.0,roc_auc,0.5756302521008403,0.4367660857567611,0.7031442968447541,2000,2000,76,validation_lower_emax,family
5.0,average_precision,0.5804426707351784,0.4576664943026357,0.7494551322726194,2000,2000,76,validation_lower_emax,family
6.0,roc_auc,0.43999999999999995,0.33333333333333337,0.550388744909292,2000,1225,76,validation_lower_emax,family
6.0,average_precision,0.023255813953488372,0.02,0.07894736842105263,2000,1225,76,validation_lower_emax,family
4.0,roc_auc,0.7320338983050847,0.675325194742285,0.7859790352571134,2000,2000,513,challenge_all,compound
4.0,average_precision,0.9128571018924612,0.8845107714759605,0.9382205354259769,2000,2000,513,challenge_all,compound
5.0,roc_auc,0.7416324669402644,0.6978286228263882,0.7829589183459243,2000,2000,513,challenge_all,compound
5.0,average_precision,0.7128709576554374,0.650942487668277,0.7753871521100292,2000,2000,513,challenge_all,compound
6.0,roc_auc,0.7011109623878998,0.6178887417311851,0.7779191152209864,2000,2000,513,challenge_all,compound
6.0,average_precision,0.1161973670399861,0.07208400534879314,0.21430571953411204,2000,2000,513,challenge_all,compound
