model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters,dataset
direct_affinity,mae,0.9149869610508075,0.8489545025501876,1.0073431634663461,2000,2931,development
direct_affinity,rmse,1.2704668671600987,1.1982502610856425,1.3610260652472197,2000,2931,development
direct_affinity,rae,0.9912950204797333,0.9725174080116568,1.0156190154576747,2000,2931,development
direct_affinity,pearson,0.37890161856622906,0.29897072872354163,0.4539587585345425,2000,2931,development
direct_affinity,spearman,0.3853881756150498,0.31954249248442523,0.45828460047569597,2000,2931,development
direct_affinity,bias,0.7130316430767135,0.633852827389317,0.8207247123238136,2000,2931,development
affinity_only_linear,mae,0.8393458962515085,0.8080041962422283,0.8750830361968435,2000,2931,development
affinity_only_linear,rmse,1.0510133688820744,1.0156970255292408,1.0908763978116098,2000,2931,development
affinity_only_linear,rae,0.9093456440719898,0.858296094902484,0.9630944118632876,2000,2931,development
affinity_only_linear,pearson,0.37298991118720515,0.29971044976702166,0.44177661980113087,2000,2931,development
affinity_only_linear,spearman,0.3832577417566899,0.32037123768448145,0.4508136650827103,2000,2931,development
affinity_only_linear,bias,0.0026431219032925224,-0.07540877091196219,0.10709536851200016,2000,2931,development
binder_logit_only_linear,mae,0.8557936720764827,0.8166844814955299,0.9053562581015691,2000,2931,development
binder_logit_only_linear,rmse,1.0703419338746931,1.0225765395266142,1.1271606564819179,2000,2931,development
binder_logit_only_linear,rae,0.9271651310890933,0.890059578321572,0.9702781487283718,2000,2931,development
binder_logit_only_linear,pearson,0.3273644185395178,0.26481883489666874,0.3795367094810368,2000,2931,development
binder_logit_only_linear,spearman,0.33466567941157516,0.28790556388418304,0.3767848785075865,2000,2931,development
binder_logit_only_linear,bias,0.0016834798035435948,-0.08730132205938539,0.12368928884112282,2000,2931,development
continuous_plus_binary_linear,mae,0.8321331401977538,0.8011063826925349,0.8689390096066166,2000,2931,development
continuous_plus_binary_linear,rmse,1.0448197169682492,1.0077890247201702,1.0853281231326761,2000,2931,development
continuous_plus_binary_linear,rae,0.9015313587713437,0.85201926872913,0.9537893279867464,2000,2931,development
continuous_plus_binary_linear,pearson,0.38632921544666843,0.31432037878554253,0.4537952053059776,2000,2931,development
continuous_plus_binary_linear,spearman,0.3961897042582904,0.33589388159274286,0.4586029808441907,2000,2931,development
continuous_plus_binary_linear,bias,0.0028127982766377392,-0.07498008443925842,0.10780061914798261,2000,2931,development
continuous_plus_binary_polynomial2,mae,0.7736164716108205,0.7499479799700964,0.7976633603336423,2000,2931,development
continuous_plus_binary_polynomial2,rmse,0.9997258382929437,0.9701142617407401,1.0292848351545,2000,2931,development
continuous_plus_binary_polynomial2,rae,0.8381345185380448,0.7777062457637373,0.8951802524311095,2000,2931,development
continuous_plus_binary_polynomial2,pearson,0.4703293709246537,0.39500727472885466,0.5338394662458653,2000,2931,development
continuous_plus_binary_polynomial2,spearman,0.44713846479493125,0.3830296239082673,0.5180580704025328,2000,2931,development
continuous_plus_binary_polynomial2,bias,-0.0009108093201564074,-0.056483634498186636,0.06287596614994491,2000,2931,development
mean_repr_384d_ridge,mae,0.6327901131780221,0.6115815405389196,0.6547272614338793,2000,2931,development
mean_repr_384d_ridge,rmse,0.8989032266181498,0.8310201690678075,0.9775947321104845,2000,2931,development
mean_repr_384d_ridge,rae,0.6855635270275162,0.6270415115875018,0.7405797742616034,2000,2931,development
mean_repr_384d_ridge,pearson,0.6268224996832585,0.5525476530370655,0.6930010931379583,2000,2931,development
mean_repr_384d_ridge,spearman,0.6537080648901005,0.6028140922785966,0.7083311351581206,2000,2931,development
mean_repr_384d_ridge,bias,-0.011661756342822297,-0.04236589615997217,0.020738810720690393,2000,2931,development
