comparison,metric,estimate,ci_lower,ci_upper,dataset
continuous_plus_binary_linear_minus_affinity_only_linear,mae,-0.00721275605375471,-0.011622759594773477,-0.0025319101255431025,development
continuous_plus_binary_linear_minus_affinity_only_linear,pearson,0.01333930425946328,-0.0008308151760136315,0.027491253707262926,development
continuous_plus_binary_linear_minus_affinity_only_linear,spearman,0.012931962501600502,-0.0006299098652852262,0.027220797939650307,development
continuous_plus_binary_linear_minus_affinity_only_linear,bias,0.00016967637334521684,-0.004627314282825033,0.005313682321592081,development
continuous_plus_binary_polynomial2_minus_affinity_only_linear,mae,-0.06572942464068798,-0.08448160496396044,-0.05119243572898873,development
continuous_plus_binary_polynomial2_minus_affinity_only_linear,pearson,0.09733945973744856,0.06565786971138414,0.12218861268625526,development
continuous_plus_binary_polynomial2_minus_affinity_only_linear,spearman,0.06388072303824133,0.04699812099928043,0.07992298422707322,development
continuous_plus_binary_polynomial2_minus_affinity_only_linear,bias,-0.0035539312234489297,-0.04750441951521432,0.02729304534580759,development
mean_repr_plus_readouts_386d_ridge_minus_mean_repr_384d_ridge,mae,-1.9515667381564406e-05,-6.716496647497794e-05,2.4971186465344547e-05,development
mean_repr_plus_readouts_386d_ridge_minus_mean_repr_384d_ridge,pearson,4.849173516907612e-05,-1.0844205463755862e-05,9.800721825090896e-05,development
mean_repr_plus_readouts_386d_ridge_minus_mean_repr_384d_ridge,spearman,-3.958398823245002e-05,-9.798028454039708e-05,2.1191725973645952e-05,development
mean_repr_plus_readouts_386d_ridge_minus_mean_repr_384d_ridge,bias,2.0008801993914166e-05,-2.8895380030182284e-05,7.08495162451591e-05,development
concat_repr_plus_member_readouts_772d_ridge_minus_concat_repr_768d_ridge,mae,1.1741159023581638e-05,-2.554548844921345e-06,3.058101909777786e-05,development
concat_repr_plus_member_readouts_772d_ridge_minus_concat_repr_768d_ridge,pearson,-0.00010018820009527474,-0.0001761118488616542,7.347457661746573e-06,development
concat_repr_plus_member_readouts_772d_ridge_minus_concat_repr_768d_ridge,spearman,-8.64105765885359e-06,-3.482608303183032e-05,1.4226189307434123e-05,development
concat_repr_plus_member_readouts_772d_ridge_minus_concat_repr_768d_ridge,bias,-3.0698896648778673e-06,-2.0608322647452036e-05,1.087128263469133e-05,development
fine_tuned_dual_branch_activity_adapter_minus_fine_tuned_continuous_head,mae,-0.004021108629600922,-0.007870060703619586,-0.000252046604632442,development
fine_tuned_dual_branch_activity_adapter_minus_fine_tuned_continuous_head,pearson,0.0040560614339040235,0.0008536797463832846,0.00832473071679279,development
fine_tuned_dual_branch_activity_adapter_minus_fine_tuned_continuous_head,spearman,0.006532574905715571,0.0015371941943277511,0.011165705319163239,development
fine_tuned_dual_branch_activity_adapter_minus_fine_tuned_continuous_head,bias,0.03189406773310147,0.02060238893069302,0.04005041637052835,development
fine_tuned_dual_branch_activity_adapter_minus_lightgbm,mae,0.11297024385097298,0.09755076052773722,0.12812373683446296,development
fine_tuned_dual_branch_activity_adapter_minus_lightgbm,pearson,-0.11186744127246939,-0.13530826525229292,-0.09253172696644898,development
fine_tuned_dual_branch_activity_adapter_minus_lightgbm,spearman,-0.09869865968698233,-0.12437249637428101,-0.0756399577099535,development
fine_tuned_dual_branch_activity_adapter_minus_lightgbm,bias,0.09964192183521826,0.0808951331955095,0.11777487773411799,development
continuous_plus_binary_linear_minus_affinity_only_linear,mae,-0.0077804731258946935,-0.01670333629042221,0.001576472932466669,validation
continuous_plus_binary_linear_minus_affinity_only_linear,pearson,0.039181323603358686,0.01416421692420889,0.06358431283605925,validation
continuous_plus_binary_linear_minus_affinity_only_linear,spearman,0.018513364806313104,-0.007264503839074334,0.042788950049183025,validation
continuous_plus_binary_linear_minus_affinity_only_linear,bias,-0.011630100312501293,-0.021761994116440798,-0.002296646397089775,validation
continuous_plus_binary_polynomial2_minus_affinity_only_linear,mae,-0.05765119663023721,-0.0767414753378626,-0.03919986450653596,validation
continuous_plus_binary_polynomial2_minus_affinity_only_linear,pearson,0.1155026862124558,0.07109563476063126,0.16328754822428687,validation
continuous_plus_binary_polynomial2_minus_affinity_only_linear,spearman,0.05389831609657164,0.020388966177913477,0.08954703937671392,validation
continuous_plus_binary_polynomial2_minus_affinity_only_linear,bias,0.00837015630420275,-0.02086640296150835,0.03499969896454947,validation
mean_repr_plus_readouts_386d_ridge_minus_mean_repr_384d_ridge,mae,-1.912318809971225e-06,-5.241671081702981e-05,5.120858950898581e-05,validation
mean_repr_plus_readouts_386d_ridge_minus_mean_repr_384d_ridge,pearson,-4.46355783489949e-06,-6.034830126847579e-05,5.4512877778531334e-05,validation
mean_repr_plus_readouts_386d_ridge_minus_mean_repr_384d_ridge,spearman,4.594040018035539e-05,-0.0001348608316945027,0.00024760283968710547,validation
mean_repr_plus_readouts_386d_ridge_minus_mean_repr_384d_ridge,bias,1.3316767564067189e-05,-3.4854402097861045e-05,6.089843400043717e-05,validation
concat_repr_plus_member_readouts_772d_ridge_minus_concat_repr_768d_ridge,mae,-8.431225118066266e-06,-1.86416709142434e-05,2.15704813162076e-06,validation
concat_repr_plus_member_readouts_772d_ridge_minus_concat_repr_768d_ridge,pearson,-3.3718236092106224e-08,-1.616268608388427e-05,1.4028077797864629e-05,validation
concat_repr_plus_member_readouts_772d_ridge_minus_concat_repr_768d_ridge,spearman,3.4683480929498245e-06,-7.503719376086016e-05,9.43297374118912e-05,validation
concat_repr_plus_member_readouts_772d_ridge_minus_concat_repr_768d_ridge,bias,-2.6870850843990768e-06,-1.2929673962119165e-05,7.591991520246649e-06,validation
fine_tuned_dual_branch_activity_adapter_minus_fine_tuned_continuous_head,mae,-0.0020316422784809607,-0.004768316532466621,0.0004995485946019781,validation
fine_tuned_dual_branch_activity_adapter_minus_fine_tuned_continuous_head,pearson,0.008770014127006842,0.006041661807710719,0.012027287474491364,validation
fine_tuned_dual_branch_activity_adapter_minus_fine_tuned_continuous_head,spearman,0.010056469211076613,0.006713560164393182,0.013866648836411592,validation
fine_tuned_dual_branch_activity_adapter_minus_fine_tuned_continuous_head,bias,-0.01731471949367089,-0.01973783082015324,-0.014971081716954862,validation
fine_tuned_dual_branch_activity_adapter_minus_lightgbm,mae,0.10621683279438587,0.0756005548312467,0.1366611391657411,validation
fine_tuned_dual_branch_activity_adapter_minus_lightgbm,pearson,-0.10302224083004186,-0.14546417127697964,-0.06543333014469656,validation
fine_tuned_dual_branch_activity_adapter_minus_lightgbm,spearman,-0.10600077827060694,-0.1532552460251206,-0.06128500369967476,validation
fine_tuned_dual_branch_activity_adapter_minus_lightgbm,bias,-0.03932291672628869,-0.07850475505301231,-0.0002840147896033651,validation
