representation,model_class,outer_fold,selected_alpha,inner_mae,inner_spearman,selected_candidate,fixed_refit_epochs,learning_rate,weight_decay
member1_384d,ridge,0,10.0,0.6707002189839003,0.5937143002366116,alpha10,,,
member1_384d,ridge,1,100.0,0.7053937241878514,0.5692532012665596,alpha100,,,
member1_384d,ridge,2,10.0,0.6855061321612488,0.5878766045121141,alpha10,,,
member1_384d,ridge,3,1.0,0.7089823191453148,0.5789704786525293,alpha1,,,
member1_384d,ridge,4,10.0,0.6751491054849867,0.554502912577089,alpha10,,,
member2_384d,ridge,0,100.0,0.6347683001894446,0.6512402753592001,alpha100,,,
member2_384d,ridge,1,100.0,0.6201386855709621,0.6674925310273829,alpha100,,,
member2_384d,ridge,2,100.0,0.6381254700011827,0.6561104746891325,alpha100,,,
member2_384d,ridge,3,100.0,0.6362077681673302,0.6538231351698248,alpha100,,,
member2_384d,ridge,4,100.0,0.6150544059609054,0.6462456131611021,alpha100,,,
mean_384d,ridge,0,100.0,0.6376781855587843,0.643760099343988,alpha100,,,
mean_384d,ridge,1,100.0,0.6789111015867956,0.655163342299866,alpha100,,,
mean_384d,ridge,2,100.0,0.6334531949904172,0.6482693512882508,alpha100,,,
mean_384d,ridge,3,100.0,0.639849539839711,0.6523361392990427,alpha100,,,
mean_384d,ridge,4,10.0,0.6401681849626972,0.634228716225973,alpha10,,,
concat_768d,ridge,0,100.0,0.6406140069678353,0.6543421187944204,alpha100,,,
concat_768d,ridge,1,100.0,0.6307385483081326,0.667203476935142,alpha100,,,
concat_768d,ridge,2,100.0,0.6377274803729006,0.6594750992031136,alpha100,,,
concat_768d,ridge,3,100.0,0.6457668414379965,0.6575100522268986,alpha100,,,
concat_768d,ridge,4,100.0,0.6176336037237327,0.6438713634369668,alpha100,,,
member1_384d,one_hidden_mlp,0,,0.6714966106218712,0.5704163976795206,lr0.0003_wd0,23.0,0.0003,0.0
member1_384d,one_hidden_mlp,1,,0.7115638090199601,0.5406196296998447,lr0.0001_wd0,30.0,0.0001,0.0
member1_384d,one_hidden_mlp,2,,0.6807261268500613,0.5795534340976064,lr0.001_wd0,16.0,0.001,0.0
member1_384d,one_hidden_mlp,3,,0.714133897769431,0.5358646431467636,lr0.0001_wd0,31.0,0.0001,0.0
member1_384d,one_hidden_mlp,4,,0.6704008743860954,0.5370110649828693,lr0.001_wd0,16.0,0.001,0.0
member1_384d,two_hidden_mlp,0,,0.6603641089537434,0.5761842044900392,lr0.001_wd0.0001,16.0,0.001,0.0001
member1_384d,two_hidden_mlp,1,,0.720392437979794,0.5622886727152479,lr0.001_wd0,10.0,0.001,0.0
member1_384d,two_hidden_mlp,2,,0.675936301668468,0.5766344931524812,lr0.001_wd0,15.0,0.001,0.0
member1_384d,two_hidden_mlp,3,,0.7226011280232703,0.5471795840348144,lr0.001_wd0.0001,11.0,0.001,0.0001
member1_384d,two_hidden_mlp,4,,0.6792003464604329,0.5342309843424999,lr0.001_wd0.0001,15.0,0.001,0.0001
member2_384d,one_hidden_mlp,0,,0.6266809291110975,0.6407010784023356,lr0.0003_wd0,12.0,0.0003,0.0
member2_384d,one_hidden_mlp,1,,0.6154414190948365,0.6539641341586747,lr0.0003_wd0.0001,18.0,0.0003,0.0001
member2_384d,one_hidden_mlp,2,,0.6317868293141852,0.6464628925039594,lr0.0003_wd0,15.0,0.0003,0.0
member2_384d,one_hidden_mlp,3,,0.6307539296182315,0.6493003190198708,lr0.0003_wd0,16.0,0.0003,0.0
member2_384d,one_hidden_mlp,4,,0.6044761329952577,0.6382064644461778,lr0.0001_wd0,30.0,0.0001,0.0
member2_384d,two_hidden_mlp,0,,0.6273506753155005,0.6317958117793565,lr0.001_wd0.0001,9.0,0.001,0.0001
member2_384d,two_hidden_mlp,1,,0.60591033121394,0.6618564487178086,lr0.0003_wd0.0001,17.0,0.0003,0.0001
member2_384d,two_hidden_mlp,2,,0.6359796992351875,0.6472301609568207,lr0.0003_wd0,17.0,0.0003,0.0
member2_384d,two_hidden_mlp,3,,0.634237292309879,0.6530379286045666,lr0.0003_wd0.0001,15.0,0.0003,0.0001
member2_384d,two_hidden_mlp,4,,0.6030722945789564,0.6350269642238516,lr0.0003_wd0,12.0,0.0003,0.0
mean_384d,one_hidden_mlp,0,,0.6242323693899351,0.6389615064314828,lr0.0003_wd0.0001,21.0,0.0003,0.0001
mean_384d,one_hidden_mlp,1,,0.6444241777425413,0.627974141575621,lr0.001_wd0,12.0,0.001,0.0
mean_384d,one_hidden_mlp,2,,0.6276898618434279,0.6370379571490248,lr0.0003_wd0,21.0,0.0003,0.0
mean_384d,one_hidden_mlp,3,,0.6274168023613924,0.6444076882538656,lr0.0003_wd0,24.0,0.0003,0.0
mean_384d,one_hidden_mlp,4,,0.6192520638695412,0.618996672052395,lr0.0003_wd0,20.0,0.0003,0.0
mean_384d,two_hidden_mlp,0,,0.6151382914962056,0.640673597250554,lr0.0003_wd0,16.0,0.0003,0.0
mean_384d,two_hidden_mlp,1,,0.745991335788083,0.6456866237432368,lr0.001_wd0,14.0,0.001,0.0
mean_384d,two_hidden_mlp,2,,0.6236893118034812,0.6445476592091429,lr0.001_wd0.0001,14.0,0.001,0.0001
