dataset,comparison,metric,estimate,ci_lower,ci_upper
nested_development,mean384_one_hidden_mlp_minus_mean384_ridge,mae,-0.009071388938085456,-0.018234483649082447,5.319230979877763e-05
nested_development,mean384_one_hidden_mlp_minus_mean384_ridge,spearman,-0.009210056153047042,-0.018726649811477068,-0.0007674824150202216
nested_development,mean384_two_hidden_mlp_minus_mean384_ridge,mae,-0.012948082957336737,-0.02729179727269949,0.0014241756641388114
nested_development,mean384_two_hidden_mlp_minus_mean384_ridge,spearman,-0.01737683603455331,-0.029568817431473438,-0.006558714684898312
nested_development,mean384_two_hidden_mlp_minus_mean384_one_hidden_mlp,mae,-0.003876694019251281,-0.017182717182122133,0.008591199666939867
nested_development,mean384_two_hidden_mlp_minus_mean384_one_hidden_mlp,spearman,-0.00816677988150627,-0.01757171350641559,0.001317754762158042
nested_development,mean384_ridge_minus_published_ft_head,mae,-0.00016145691966273912,-0.014093032718560512,0.015061611680403698
nested_development,mean384_ridge_minus_published_ft_head,spearman,0.02849695572807842,0.018122450361156305,0.04022172619852499
nested_development,mean384_one_hidden_mlp_minus_published_ft_head,mae,-0.009232845857748195,-0.021060867922659068,0.004372369799010364
nested_development,mean384_one_hidden_mlp_minus_published_ft_head,spearman,0.01928689957503138,0.005935490278806183,0.03194096889716116
nested_development,mean384_two_hidden_mlp_minus_published_ft_head,mae,-0.013109539876999476,-0.02664073677024395,0.0012107099739542952
nested_development,mean384_two_hidden_mlp_minus_published_ft_head,spearman,0.01112011969352511,-0.005156285820757725,0.027053863408297324
retrospective_lockbox_790,mean384_one_hidden_mlp_minus_mean384_ridge,mae,-0.027799740443249843,-0.042793287758078245,-0.012195576694240028
retrospective_lockbox_790,mean384_one_hidden_mlp_minus_mean384_ridge,spearman,-0.006239002183099029,-0.03032546274301042,0.01592200204155382
retrospective_lockbox_790,mean384_two_hidden_mlp_minus_mean384_ridge,mae,-0.02043832816152147,-0.03694662964473401,-0.0020364184120060785
retrospective_lockbox_790,mean384_two_hidden_mlp_minus_mean384_ridge,spearman,-0.016918216336699543,-0.04084189535444385,0.004709121539027045
retrospective_lockbox_790,mean384_two_hidden_mlp_minus_mean384_one_hidden_mlp,mae,0.0073614122817283745,-0.0033458775648273903,0.017090296455620834
retrospective_lockbox_790,mean384_two_hidden_mlp_minus_mean384_one_hidden_mlp,spearman,-0.010679214153600514,-0.02383965158552108,0.003307784286007115
retrospective_lockbox_790,mean384_ridge_minus_published_ft_head,mae,-0.000556906312039418,-0.014281005701930027,0.013635088968957274
retrospective_lockbox_790,mean384_ridge_minus_published_ft_head,spearman,0.037915802576153124,0.019532766170090105,0.05582681719477967
retrospective_lockbox_790,mean384_one_hidden_mlp_minus_published_ft_head,mae,-0.02835664675528926,-0.04600670249968525,-0.008520267681606221
retrospective_lockbox_790,mean384_one_hidden_mlp_minus_published_ft_head,spearman,0.031676800393054094,0.00017085650525864104,0.060379796805323
retrospective_lockbox_790,mean384_two_hidden_mlp_minus_published_ft_head,mae,-0.020995234473560886,-0.038160276409316525,-0.0010761598401254101
retrospective_lockbox_790,mean384_two_hidden_mlp_minus_published_ft_head,spearman,0.02099758623945358,-0.005811560215384364,0.046182679865688796
