standardized_cluster_component,n,standardized_fold,pEC50_minimum,pEC50_median,pEC50_maximum
0,1,3,4.36,4.36,4.36
1,1,2,5.41,5.41,5.41
2,1,1,5.01,5.01,5.01
3,1,3,5.07,5.07,5.07
4,1,3,5.03,5.03,5.03
5,1,1,3.62,3.62,3.62
6,1,0,2.34,2.34,2.34
7,1,3,5.915,5.915,5.915
8,1,2,3.73,3.73,3.73
9,2,1,4.73,4.775,4.82
10,1,4,5.48,5.48,5.48
11,1,2,5.21,5.21,5.21
12,3,0,4.84,5.24,5.41
13,2,2,4.86,5.16,5.46
14,1,2,4.86,4.86,4.86
15,1,1,5.74,5.74,5.74
16,1,4,4.44,4.44,4.44
17,1,1,5.3,5.3,5.3
18,4,3,4.84,5.77,6.21
19,1,1,4.75,4.75,4.75
20,1,4,4.43,4.43,4.43
21,1,2,4.57,4.57,4.57
22,1,1,2.27,2.27,2.27
23,1,4,5.54,5.54,5.54
24,1,1,2.49,2.49,2.49
25,1,2,3.36,3.36,3.36
26,1,0,5.28,5.28,5.28
27,1,4,4.72,4.72,4.72
28,1,0,5.46,5.46,5.46
29,1,2,3.52,3.52,3.52
30,1,2,5.3,5.3,5.3
31,1,1,3.76,3.76,3.76
32,1,0,4.89,4.89,4.89
33,1,1,1.83,1.83,1.83
34,1,4,2.28,2.28,2.28
35,1,3,4.12,4.12,4.12
36,1,2,4.64,4.64,4.64
37,3,2,2.52,3.13,3.5
38,1,4,5.19,5.19,5.19
39,1,0,5.2,5.2,5.2
40,1,3,4.69,4.69,4.69
41,1,4,4.93,4.93,4.93
42,1,4,3.41,3.41,3.41
43,155,4,1.78,2.67,6.87
44,1,1,5.12,5.12,5.12
45,1,4,5.09,5.09,5.09
46,1,0,5.54,5.54,5.54
47,1,0,4.42,4.42,4.42
48,1,3,4.77,4.77,4.77
49,1,3,3.0,3.0,3.0
50,1,1,6.470000000000001,6.470000000000001,6.470000000000001
51,1,0,4.66,4.66,4.66
52,1,3,2.01,2.01,2.01
53,1,4,2.79,2.79,2.79
54,1,4,5.035,5.035,5.035
55,6,3,1.89,3.2649999999999997,4.7
56,1,0,3.43,3.43,3.43
57,1,1,3.99,3.99,3.99
58,1,3,6.01,6.01,6.01
59,1,4,5.14,5.14,5.14
60,1,3,4.56,4.56,4.56
61,1,1,4.74,4.74,4.74
62,1,0,4.39,4.39,4.39
63,1,3,4.75,4.75,4.75
64,1,1,4.06,4.06,4.06
65,1,1,4.75,4.75,4.75
66,1,1,4.03,4.03,4.03
67,1,3,1.76,1.76,1.76
68,1,3,5.45,5.45,5.45
69,1,3,5.74,5.74,5.74
70,1,1,5.2,5.2,5.2
71,1,1,5.25,5.25,5.25
72,2,3,4.58,5.075,5.57
