feature_row,original_id,standardized_fold,nearest_training_similarity,nearest_training_feature_row,nearest_training_original_id
8,OADMET-0002003,0,0.509090909090909,2874,OADMET-0004771
16,OADMET-0003052,0,0.43636363636363634,2322,OADMET-0005133
30,OADMET-0002674,0,0.27906976744186046,27,OADMET-0002717
32,OADMET-0005736,0,0.3508771929824561,73,OADMET-0005441
36,OADMET-0003889,0,0.38028169014084506,1565,OADMET-0004207
48,OADMET-0004803,0,0.3611111111111111,1578,OADMET-0001973
55,OADMET-0005525,0,0.4155844155844156,483,OADMET-0001289
56,OADMET-0006031,0,0.34177215189873417,556,OADMET-0003070
61,OADMET-0005014,0,0.3918918918918919,3246,OADMET-0003331
67,OADMET-0001775,0,0.42105263157894735,3949,OADMET-0001743
75,OADMET-0005713,0,0.27941176470588236,3637,OADMET-0002537
93,OADMET-0003044,0,0.45161290322580644,2736,OADMET-0002921
95,OADMET-0002882,0,0.4153846153846154,2948,OADMET-0003139
97,OADMET-0001319,0,0.34328358208955223,822,OADMET-0001320
100,OADMET-0002590,0,0.5409836065573771,3501,OADMET-0004848
115,OADMET-0005417,0,0.47619047619047616,70,OADMET-0005667
116,OADMET-0004577,0,0.35714285714285715,1607,OADMET-0002035
135,OADMET-0005167,0,0.417910447761194,2839,OADMET-0002702
146,OADMET-0003651,0,0.3472222222222222,1896,OADMET-0005925
147,OADMET-0001636,0,0.36585365853658536,2871,OADMET-0001596
148,OADMET-0005697,0,0.3382352941176471,1493,OADMET-0005870
150,OADMET-0002814,0,0.43209876543209874,2843,OADMET-0004642
157,OADMET-0003338,0,0.3333333333333333,2877,OADMET-0005630
158,OADMET-0001993,0,0.5,3281,OADMET-0001974
162,OADMET-0003068,0,0.5172413793103449,1044,OADMET-0004478
177,OADMET-0001718,0,0.4,4071,OADMET-0005066
184,OADMET-0005609,0,0.3235294117647059,3107,OADMET-0001818
186,OADMET-0001576,0,0.4225352112676056,909,OADMET-0001567
187,OADMET-0005927,0,0.4583333333333333,1015,OADMET-0002309
197,OADMET-0001398,0,0.3026315789473684,1271,OADMET-0005701
208,OADMET-0003286,0,0.3287671232876712,2332,OADMET-0006020
209,OADMET-0005557,0,0.352112676056338,130,OADMET-0005393
215,OADMET-0005136,0,0.5652173913043478,690,OADMET-0005152
217,OADMET-0002811,0,0.43661971830985913,3579,OADMET-0002813
221,OADMET-0004970,0,0.27472527472527475,449,OADMET-0005655
226,OADMET-0005244,0,0.3235294117647059,2362,OADMET-0003575
230,OADMET-0002611,0,0.4666666666666667,3316,OADMET-0005873
232,OADMET-0005502,0,0.2926829268292683,2201,OADMET-0001193
233,OADMET-0005846,0,0.34615384615384615,1888,OADMET-0003051
245,OADMET-0005747,0,0.3055555555555556,789,OADMET-0004820
246,OADMET-0000994,0,0.4,1121,OADMET-0005259
253,OADMET-0003394,0,0.3230769230769231,3053,OADMET-0002864
265,OADMET-0003006,0,0.29577464788732394,255,OADMET-0005429
267,OADMET-0003701,0,0.3008849557522124,357,OADMET-0003602
274,OADMET-0005459,0,0.43103448275862066,616,OADMET-0001532
275,OADMET-0004270,0,0.2926829268292683,1036,OADMET-0003516
287,OADMET-0001996,0,0.5,2884,OADMET-0001991
288,OADMET-0005759,0,0.3424657534246575,2664,OADMET-0003028
291,OADMET-0002181,0,0.4318181818181818,3958,OADMET-0001985
296,OADMET-0003390,0,0.4177215189873418,27,OADMET-0002717
298,OADMET-0003519,0,0.375,2339,OADMET-0003372
302,OADMET-0005501,0,0.2857142857142857,1453,OADMET-0005389
308,OADMET-0004913,0,0.26373626373626374,3639,OADMET-0004852
311,OADMET-0005613,0,0.32926829268292684,4093,OADMET-0005121
321,OADMET-0002026,0,0.4528301886792453,3301,OADMET-0003410
329,OADMET-0005561,0,0.4225352112676056,3963,OADMET-0005898
330,OADMET-0003130,0,0.25,1627,OADMET-0005953
336,OADMET-0001614,0,0.3472222222222222,3236,OADMET-0001674
340,OADMET-0003086,0,0.35064935064935066,1669,OADMET-0005407
343,OADMET-0003620,0,0.31666666666666665,3076,OADMET-0003553
353,OADMET-0002185,0,0.525,322,OADMET-0002236
359,OADMET-0001804,0,0.3698630136986301,2589,OADMET-0001753
361,OADMET-0005520,0,0.32,2681,OADMET-0001011
365,OADMET-0002957,0,0.33766233766233766,3426,OADMET-0005997
408,OADMET-0002913,0,0.275,2161,OADMET-0005486
410,OADMET-0001827,0,0.323943661971831,3117,OADMET-0001493
412,OADMET-0005548,0,0.3466666666666667,1379,OADMET-0001145
421,OADMET-0004744,0,0.32,1026,OADMET-0002776
422,OADMET-0005716,0,0.3157894736842105,1321,OADMET-0001097
424,OADMET-0002930,0,0.4305555555555556,1060,OADMET-0002952
425,OADMET-0001019,0,0.5,894,OADMET-0001063
427,OADMET-0002916,0,0.5074626865671642,2072,OADMET-0002969
435,OADMET-0001031,0,0.43478260869565216,2174,OADMET-0001859
441,OADMET-0006035,0,0.3235294117647059,3057,OADMET-0003437
450,OADMET-0001982,0,0.46938775510204084,3281,OADMET-0001974
