feature,gain
molfeat_desc2d_MolLogP,46876.961711360265
molfeat_pattern_fp_1066,8632.93174091226
molfeat_pattern_fp_1635,5315.018757905299
molfeat_pattern_fp_601,4803.55191359116
molfeat_desc2d_MolWt,4108.565329005549
molfeat_desc2d_SMR_VSA5,3638.06346337343
molfeat_desc2d_BCUT2D_CHGHI,2750.349114327962
molfeat_erg_fp_100,2447.198601729603
molfeat_estate_fp_10,1939.270699659898
molfeat_desc2d_MaxAbsEStateIndex,1659.0902629059158
molfeat_rdkit_count_fp_439,1573.6972136681957
molfeat_desc2d_PEOE_VSA6,1572.775073663745
molfeat_layered_fp_108,1459.8561895027756
molfeat_desc2d_VSA_EState2,1298.1356434137329
molfeat_desc2d_VSA_EState8,1260.1762705197702
molfeat_topological_count_fp_471,1257.6013854056248
molfeat_erg_fp_25,1141.8786307753442
molfeat_pharm2d_Desc_13,1050.8030916639661
molfeat_desc2d_SlogP_VSA8,1019.1879929042829
molfeat_desc2d_SMR_VSA3,1010.3147944781173
molfeat_desc2d_qed,909.181197654063
molfeat_pattern_fp_1679,803.1332054048777
molfeat_desc2d_BCUT2D_LOGPLOW,802.5461549005674
molfeat_layered_fp_2033,765.0933845211287
molfeat_pattern_fp_327,756.491333195893
molfeat_desc2d_TPSA,755.3385268074023
molfeat_desc2d_PEOE_VSA7,746.915062413027
molfeat_ecfp_count_fp_959,717.0609787306282
molfeat_secfp_fp_415,695.6682038013823
molfeat_desc2d_VSA_EState9,690.1094773939752
molfeat_erg_fp_101,688.3016734086792
molfeat_desc2d_FpDensityMorgan3,682.5476913868188
molfeat_desc2d_BCUT2D_CHGLO,679.0227480110043
molfeat_rdkit_count_fp_1858,665.1136672973632
molfeat_rdkit_count_fp_1898,660.2426987046143
molfeat_rdkit_count_fp_1355,653.4716604107816
molfeat_erg_fp_217,623.7436751700938
molfeat_pattern_fp_1792,619.9549573697616
rdkit_morgan_ecfp4_chiral_0694,614.980288240168
molfeat_rdkit_count_fp_773,600.0058276555501
molfeat_desc2d_SlogP_VSA5,591.0239057556289
molfeat_desc2d_AvgIpc,564.2290758120682
molfeat_rdkit_count_fp_1148,559.7784430194704
molfeat_ecfp_count_fp_1366,555.8150032579899
molfeat_desc2d_VSA_EState1,551.4514643636765
molfeat_pharm2d_Desc_826,529.39222522481
molfeat_desc2d_BCUT2D_MWHI,519.0828838079353
molfeat_desc2d_BCUT2D_MRLOW,517.8147337561852
molfeat_desc2d_BCUT2D_LOGPHI,499.4588183130312
rdkit_atompair_hashed_0900,491.6575605312246
molfeat_rdkit_count_fp_1027,479.1016628834419
molfeat_desc2d_BalabanJ,456.97883695534546
molfeat_rdkit_count_fp_631,455.9773473101435
molfeat_desc2d_EState_VSA7,447.8059984561347
molfeat_erg_fp_102,447.8055784719007
molfeat_erg_fp_99,427.8714338006859
molfeat_rdkit_count_fp_363,397.57637166501956
molfeat_desc2d_PEOE_VSA2,389.5143832867558
molfeat_desc2d_SPS,382.38357142235037
molfeat_rdkit_count_fp_323,378.6075967335317
molfeat_secfp_fp_1031,358.5156772272661
molfeat_desc2d_PEOE_VSA1,354.41018970371806
molfeat_desc2d_HallKierAlpha,349.42046513824897
molfeat_desc2d_EState_VSA4,346.5330349216645
molfeat_desc2d_FractionCSP3,343.75643030253707
molfeat_layered_fp_1601,337.53863155721336
molfeat_layered_fp_375,322.9856363385916
molfeat_rdkit_count_fp_600,315.5428017407656
molfeat_desc2d_SMR_VSA1,313.55729522511535
molfeat_rdkit_count_fp_409,301.0697633748699
molfeat_rdkit_count_fp_326,287.6279643362388
molfeat_desc2d_EState_VSA8,273.5516428742878
molfeat_rdkit_count_fp_1401,273.1370361347916
molfeat_layered_fp_655,266.365983981092
molfeat_pharm2d_Desc_1173,262.76409928786745
molfeat_erg_fp_98,258.9740770431061
molfeat_pharm2d_Desc_457,254.93105839609635
molfeat_topological_count_fp_920,252.64572079432546
molfeat_desc2d_FpDensityMorgan2,250.80471604100313
molfeat_pharm2d_Desc_702,250.4045072197914
molfeat_desc2d_EState_VSA3,249.9456320513942
molfeat_desc2d_VSA_EState7,248.21147982741823
molfeat_layered_fp_1555,247.34140612648625
molfeat_desc2d_BCUT2D_MRHI,245.65759453604696
molfeat_layered_fp_277,244.1445194972679
molfeat_desc2d_BCUT2D_MWLOW,239.35839836628875
molfeat_rdkit_count_fp_818,238.92493637042352
molfeat_desc2d_VSA_EState5,238.13229694766923
molfeat_desc2d_SlogP_VSA1,238.01547653216403
molfeat_desc2d_NOCount,225.12343153633992
molfeat_desc2d_EState_VSA6,214.41227716442663
molfeat_desc2d_SlogP_VSA2,211.2585767415032
molfeat_layered_fp_1726,209.63059797286988
molfeat_desc2d_PEOE_VSA8,208.59262936869928
molfeat_desc2d_PEOE_VSA10,206.86512682835163
molfeat_desc2d_PEOE_VSA9,205.47042842400552
molfeat_pharm2d_Desc_566,202.08929108856245
rdkit_morgan_ecfp4_chiral_0001,201.36144619178958
molfeat_erg_fp_85,200.83963661350427
molfeat_rdkit_fp_949,197.53738190272125
molfeat_pharm2d_Desc_29,196.7783732831478
molfeat_rdkit_fp_1315,196.0889307209756
molfeat_desc2d_VSA_EState3,194.86186128596893
molfeat_layered_fp_223,193.51289818286895
molfeat_topological_fp_49,190.21574748443672
molfeat_rdkit_count_fp_5,188.57800999721513
molfeat_rdkit_count_fp_1676,186.90740106761223
molfeat_rdkit_fp_861,185.0645855699433
molfeat_desc2d_BertzCT,184.20203785094782
molfeat_desc2d_FpDensityMorgan1,184.13364695496858
molfeat_desc2d_EState_VSA2,184.12601532340923
molfeat_desc2d_VSA_EState4,183.85597472465597
molfeat_layered_fp_1260,183.67317041158677
molfeat_desc2d_SMR_VSA6,180.7223598024022
molfeat_erg_fp_97,180.3109484953602
molfeat_avalon_fp_427,180.06745925359428
molfeat_rdkit_count_fp_1866,179.44546697234037
molfeat_rdkit_count_fp_1425,177.91631046198307
molfeat_desc2d_PEOE_VSA4,175.75715937046917
molfeat_avalon_fp_354,174.88960743660573
molfeat_desc2d_MinEStateIndex,173.41584442686582
molfeat_cats2d_AA_bins_4,172.33881127243802
molfeat_rdkit_fp_1813,171.70750134501722
molfeat_rdkit_count_fp_1451,171.14263304179767
molfeat_rdkit_count_fp_307,170.0711664135102
rdkit_morgan_ecfp4_chiral_1028,169.52535590552725
molfeat_rdkit_fp_1488,168.80013164471603
molfeat_desc2d_MinAbsEStateIndex,167.67426461302966
molfeat_topological_fp_1893,167.5147885987535
molfeat_rdkit_count_fp_1421,166.22683070815984
molfeat_rdkit_fp_536,165.76096566014456
molfeat_ecfp_count_fp_1088,162.93373768042073
molfeat_rdkit_count_fp_525,162.70162778618396
molfeat_layered_fp_1522,161.38043059350457
molfeat_desc2d_SlogP_VSA3,159.67207304264304
