feature_row,original_id,nearest_development_similarity,nearest_development_feature_row,nearest_development_original_id
0,OADMET-0006089,0.2948717948717949,2767,OADMET-0005533
2,OADMET-0000944,0.35384615384615387,3526,OADMET-0002788
10,OADMET-0003334,0.24050632911392406,551,OADMET-0005330
11,OADMET-0001471,0.36585365853658536,2803,OADMET-0001423
38,OADMET-0001372,0.33783783783783783,746,OADMET-0003084
39,OADMET-0001188,0.2909090909090909,3493,OADMET-0002951
41,OADMET-0001468,0.3492063492063492,2769,OADMET-0005877
42,OADMET-0002189,0.5555555555555556,450,OADMET-0001982
46,OADMET-0002918,0.5245901639344263,1123,OADMET-0005988
60,OADMET-0001482,0.3333333333333333,191,OADMET-0003421
62,OADMET-0002170,0.3,1283,OADMET-0002087
71,OADMET-0001977,0.38235294117647056,2704,OADMET-0005463
72,OADMET-0005785,0.43243243243243246,1026,OADMET-0002776
79,OADMET-0005072,0.375,2612,OADMET-0003322
80,OADMET-0005506,0.4084507042253521,2913,OADMET-0003260
84,OADMET-0001983,0.5833333333333334,577,OADMET-0002291
85,OADMET-0005661,0.47692307692307695,2950,OADMET-0004906
87,OADMET-0003593,0.5569620253164557,3240,OADMET-0003570
88,OADMET-0000939,0.2911392405063291,2315,OADMET-0001292
98,OADMET-0002203,0.6,970,OADMET-0002328
103,OADMET-0003950,0.3333333333333333,2719,OADMET-0003405
107,OADMET-0001862,0.4807692307692308,827,OADMET-0002056
110,OADMET-0001176,0.38028169014084506,3014,OADMET-0001015
112,OADMET-0002997,0.3188405797101449,1971,OADMET-0005859
117,OADMET-0000951,0.3050847457627119,637,OADMET-0001828
134,OADMET-0003800,0.3577981651376147,3419,OADMET-0003740
137,OADMET-0002620,0.3684210526315789,799,OADMET-0001667
144,OADMET-0005529,0.4722222222222222,2719,OADMET-0003405
145,OADMET-0005991,0.4025974025974026,3863,OADMET-0004069
151,OADMET-0001507,0.26785714285714285,813,OADMET-0001502
153,OADMET-0005187,0.45161290322580644,571,OADMET-0002651
155,OADMET-0005111,0.3559322033898305,778,OADMET-0001944
156,OADMET-0002909,0.36231884057971014,1834,OADMET-0003219
160,OADMET-0005410,0.42857142857142855,1118,OADMET-0003095
188,OADMET-0003333,0.35526315789473684,424,OADMET-0002930
192,OADMET-0006088,0.379746835443038,2773,OADMET-0005721
195,OADMET-0002697,0.25882352941176473,2246,OADMET-0004349
199,OADMET-0005027,0.36486486486486486,2203,OADMET-0004747
200,OADMET-0005522,0.36470588235294116,2662,OADMET-0002821
202,OADMET-0005186,0.5245901639344263,360,OADMET-0002538
210,OADMET-0004056,0.4507042253521127,3735,OADMET-0002795
212,OADMET-0005602,0.410958904109589,3224,OADMET-0004004
213,OADMET-0005643,0.37662337662337664,1651,OADMET-0001121
218,OADMET-0005545,0.39705882352941174,2437,OADMET-0001647
219,OADMET-0005664,0.44,1636,OADMET-0005535
250,OADMET-0003463,0.25316455696202533,3794,OADMET-0002699
256,OADMET-0005709,0.3968253968253968,3302,OADMET-0005911
258,OADMET-0003140,0.3125,1006,OADMET-0001923
259,OADMET-0003747,0.6119402985074627,1773,OADMET-0003625
262,OADMET-0000957,0.4153846153846154,1266,OADMET-0001083
264,OADMET-0005755,0.3333333333333333,49,OADMET-0006004
269,OADMET-0005746,0.32926829268292684,3565,OADMET-0003303
276,OADMET-0005213,0.38571428571428573,3522,OADMET-0005728
280,OADMET-0005638,0.3375,483,OADMET-0001289
281,OADMET-0003208,0.35,2556,OADMET-0005951
282,OADMET-0001680,0.4528301886792453,4064,OADMET-0001513
284,OADMET-0005672,0.5238095238095238,3666,OADMET-0003363
293,OADMET-0002896,0.3707865168539326,3147,OADMET-0003476
294,OADMET-0001880,0.475,871,OADMET-0002207
295,OADMET-0003201,0.34285714285714286,1674,OADMET-0003033
306,OADMET-0001197,0.29577464788732394,1061,OADMET-0001259
313,OADMET-0001160,0.4411764705882353,2946,OADMET-0001048
318,OADMET-0003535,0.4852941176470588,3793,OADMET-0002682
320,OADMET-0003508,0.2926829268292683,3069,OADMET-0005231
323,OADMET-0001545,0.2909090909090909,4064,OADMET-0001513
326,OADMET-0005949,0.4533333333333333,3917,OADMET-0002725
334,OADMET-0003002,0.4857142857142857,2759,OADMET-0002558
338,OADMET-0001204,0.41935483870967744,3301,OADMET-0003410
339,OADMET-0005438,0.4098360655737705,4026,OADMET-0005597
342,OADMET-0005493,0.2898550724637681,907,OADMET-0003445
344,OADMET-0002986,0.38333333333333336,543,OADMET-0006048
346,OADMET-0004388,0.4444444444444444,411,OADMET-0004092
347,OADMET-0004280,0.37662337662337664,3073,OADMET-0001969
350,OADMET-0001795,0.49230769230769234,2011,OADMET-0001771
356,OADMET-0005322,0.38461538461538464,1099,OADMET-0005508
358,OADMET-0005485,0.35135135135135137,1788,OADMET-0003353
362,OADMET-0003250,0.4032258064516129,968,OADMET-0002953
366,OADMET-0005993,0.4,2927,OADMET-0004814
372,OADMET-0001135,0.38596491228070173,1891,OADMET-0001921
380,OADMET-0001537,0.3230769230769231,567,OADMET-0002761
390,OADMET-0005267,0.4084507042253521,1219,OADMET-0001425
397,OADMET-0004949,0.6268656716417911,3362,OADMET-0002621
398,OADMET-0004696,0.42424242424242425,830,OADMET-0005023
399,OADMET-0004772,0.3125,1857,OADMET-0005285
417,OADMET-0005079,0.4925373134328358,3942,OADMET-0005433
