dataset,similarity_bin,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
retrospective_standardized_lockbox_790,<=0.3,mean384_ridge,121.0,0.6702004845674372,0.8965127451274583,0.7077635318157183,0.6470519174967496,0.5838110848534579,-0.01686968338391013,-0.1707816381849476,1.042890210027014
retrospective_standardized_lockbox_790,<=0.3,2d_lightgbm,121.0,0.6140894932950532,0.8876386381937784,0.6485076609664824,0.6568074922196815,0.6100789254556175,0.04792406875127938,0.09838633631895904,0.9670468265258966
retrospective_standardized_lockbox_790,"(0.3,0.4]",mean384_ridge,385.0,0.5927420073174811,0.7805940389621552,0.766596265566853,0.6401644092002776,0.5834064959036496,-0.09174971687019647,0.37037206437204145,0.9368577553837231
retrospective_standardized_lockbox_790,"(0.3,0.4]",2d_lightgbm,385.0,0.4773557929594901,0.6764016843514062,0.6173666851882943,0.741573716095915,0.6706140364896984,0.026620768101747468,-0.009048333170436957,0.9961217180721275
retrospective_standardized_lockbox_790,"(0.4,0.5]",mean384_ridge,198.0,0.5372511671528672,0.7147268643192342,0.6617079220637225,0.7083500443630596,0.6654264970345468,-0.07232148406481498,-0.011034177373297632,1.0192717397653375
retrospective_standardized_lockbox_790,"(0.4,0.5]",2d_lightgbm,198.0,0.4282940633532772,0.5630386184050659,0.5275103936872162,0.8298685281349778,0.7494058437651556,-0.03298967607003033,-0.02458556285546323,1.0131913782280177
retrospective_standardized_lockbox_790,"(0.5,0.6]",mean384_ridge,67.0,0.6143726734616864,0.7924792155813337,0.7010184972572315,0.701230279544166,0.6322185422283437,-0.03484249356967298,-1.665796723723186,1.3981084079249795
retrospective_standardized_lockbox_790,"(0.5,0.6]",2d_lightgbm,67.0,0.518961195463173,0.7056759135652867,0.5921510071868412,0.7536856155085786,0.7168655471247435,-0.04806226202405406,0.25652692736648625,0.9510483099066672
retrospective_standardized_lockbox_790,>0.6,mean384_ridge,19.0,0.7494979918630499,0.927345647618906,0.5894230896273986,0.802210628122654,0.8,0.36106465289467254,-1.3544441149828959,1.2533443210008977
retrospective_standardized_lockbox_790,>0.6,2d_lightgbm,19.0,0.4391221354920317,0.648815556414535,0.3453361164879389,0.9079496481546467,0.882456140350877,0.25562115227200416,-0.7521964016077434,1.1301427027261481
