dataset,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
standardized_nested_development,mean384_ridge,mae,0.6327893414750589,0.6092865856590564,0.6547922552650299,2000,2931
standardized_nested_development,mean384_ridge,rmse,0.89895093414691,0.8323659565479449,0.9767953121098357,2000,2931
standardized_nested_development,mean384_ridge,rae,0.6855626909660888,0.6277467858121717,0.7394444251154603,2000,2931
standardized_nested_development,mean384_ridge,pearson,0.6267899185584018,0.5528789762757673,0.6918541369491558,2000,2931
standardized_nested_development,mean384_ridge,spearman,0.6537124795131735,0.6043272794176159,0.708354927914193,2000,2931
standardized_nested_development,mean384_ridge,bias,-0.01166902705042544,-0.041053929196744145,0.020477767415960378,2000,2931
standardized_nested_development,2d_lightgbm,mae,0.5159594459141478,0.49744582596983156,0.5340269477148055,2000,2931
standardized_nested_development,2d_lightgbm,rmse,0.7185388558091421,0.6898857581955395,0.7478634160465503,2000,2931
standardized_nested_development,2d_lightgbm,rae,0.5589894187309365,0.5114474726394157,0.6060893132759327,2000,2931
standardized_nested_development,2d_lightgbm,pearson,0.7735253996238478,0.7383633278459402,0.8025234544446572,2000,2931
standardized_nested_development,2d_lightgbm,spearman,0.7304467583777929,0.6890488429554947,0.7740345745748858,2000,2931
standardized_nested_development,2d_lightgbm,bias,0.028910611168909896,0.0033541712882619416,0.05602413382576826,2000,2931
retrospective_standardized_lockbox_790,mean384_ridge,mae,0.5963026500170745,0.5587712397512824,0.6333699656641665,2000,735
retrospective_standardized_lockbox_790,mean384_ridge,rmse,0.78868989493072,0.7338631751753664,0.8409467227955247,2000,735
retrospective_standardized_lockbox_790,mean384_ridge,rae,0.7085917993459181,0.6570162669143004,0.7708452618149043,2000,735
retrospective_standardized_lockbox_790,mean384_ridge,pearson,0.6714364278453089,0.616746321121088,0.718660883020191,2000,735
retrospective_standardized_lockbox_790,mean384_ridge,spearman,0.6191232241944308,0.563990036632572,0.6689314566220188,2000,735
retrospective_standardized_lockbox_790,mean384_ridge,bias,-0.059694614168963864,-0.1134961080598575,-0.004471410814893387,2000,735
retrospective_standardized_lockbox_790,2d_lightgbm,mae,0.4886110812562471,0.45452613266094655,0.5228106029302042,2000,735
retrospective_standardized_lockbox_790,2d_lightgbm,rmse,0.6895351522661249,0.6330837469779532,0.7407869222292048,2000,735
retrospective_standardized_lockbox_790,2d_lightgbm,rae,0.5806209401179165,0.5316355550097154,0.6393292686715747,2000,735
retrospective_standardized_lockbox_790,2d_lightgbm,pearson,0.7601449961705955,0.7134447216183165,0.8004700456844827,2000,735
retrospective_standardized_lockbox_790,2d_lightgbm,spearman,0.6972646690999612,0.6491079701176525,0.7391395460492013,2000,735
retrospective_standardized_lockbox_790,2d_lightgbm,bias,0.014117066473124091,-0.037516774149169256,0.06551864296244517,2000,735
