feature_row,original_id,raw_smiles,rdkit_canonical_smiles,cleaned_smiles,fragment_parent_smiles,charge_parent_smiles,tautomer_parent_smiles,connectivity_inchikey,canonical_formal_charge,fragment_parent_formal_charge,charge_parent_formal_charge,raw_fragment_count,fragment_parent_fragment_count
0,OADMET-0006089,CC1C2CCCCC2CN1C(=O)C1=CC(F)=CC2=C1CNCC2,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,GMCYZZSSBZOBLL,0,0,0,1,1
1,OADMET-0005789,COC1CCC(CC(=O)N(C)CC(C)(O)C2=CC=CC=C2)CC1,COC1CCC(CC(=O)N(C)CC(C)(O)c2ccccc2)CC1,COC1CCC(CC(=O)N(C)CC(C)(O)c2ccccc2)CC1,COC1CCC(CC(=O)N(C)CC(C)(O)c2ccccc2)CC1,COC1CCC(CC(=O)N(C)CC(C)(O)c2ccccc2)CC1,COC1CCC(CC(=O)N(C)CC(C)(O)c2ccccc2)CC1,SNVTUFDNJYYPOV,0,0,0,1,1
2,OADMET-0000944,O=C(CCC1=NC2=CC=CC=C2N=C1O)NCC1=NNC(=O)N1,O=C(CCc1nc2ccccc2nc1O)NCc1n[nH]c(=O)[nH]1,O=C(CCc1nc2ccccc2nc1O)NCc1n[nH]c(=O)[nH]1,O=C(CCc1nc2ccccc2nc1O)NCc1n[nH]c(=O)[nH]1,O=C(CCc1nc2ccccc2nc1O)NCc1n[nH]c(=O)[nH]1,O=C(CCc1nc2ccccc2[nH]c1=O)NCc1n[nH]c(=O)[nH]1,SJCFXENMSQCAMN,0,0,0,1,1
3,OADMET-0002785,FC(F)(F)C1=CC=C(N2CCC[C@H]2COC2=CC=CC=C2)N=N1,FC(F)(F)c1ccc(N2CCC[C@H]2COc2ccccc2)nn1,FC(F)(F)c1ccc(N2CCC[C@H]2COc2ccccc2)nn1,FC(F)(F)c1ccc(N2CCC[C@H]2COc2ccccc2)nn1,FC(F)(F)c1ccc(N2CCC[C@H]2COc2ccccc2)nn1,FC(F)(F)c1ccc(N2CCC[C@H]2COc2ccccc2)nn1,OSHMXVGKRHQANF,0,0,0,1,1
4,OADMET-0001399,COC1=C(CCC(=O)N2CCC(OC3=NC=CC=C3C(=O)N3CCCCC3)C2)C=CC=C1,COc1ccccc1CCC(=O)N1CCC(Oc2ncccc2C(=O)N2CCCCC2)C1,COc1ccccc1CCC(=O)N1CCC(Oc2ncccc2C(=O)N2CCCCC2)C1,COc1ccccc1CCC(=O)N1CCC(Oc2ncccc2C(=O)N2CCCCC2)C1,COc1ccccc1CCC(=O)N1CCC(Oc2ncccc2C(=O)N2CCCCC2)C1,COc1ccccc1CCC(=O)N1CCC(Oc2ncccc2C(=O)N2CCCCC2)C1,HASMLSBJVKMRDK,0,0,0,1,1
5,OADMET-0003066,CCCN1CC2=CC=CC(NS(=O)(=O)C3=CC=C(OC)C(F)=C3C)=C2C1,CCCN1Cc2cccc(NS(=O)(=O)c3ccc(OC)c(F)c3C)c2C1,CCCN1Cc2cccc(NS(=O)(=O)c3ccc(OC)c(F)c3C)c2C1,CCCN1Cc2cccc(NS(=O)(=O)c3ccc(OC)c(F)c3C)c2C1,CCCN1Cc2cccc(NS(=O)(=O)c3ccc(OC)c(F)c3C)c2C1,CCCN1Cc2cccc(NS(=O)(=O)c3ccc(OC)c(F)c3C)c2C1,KDRRLLRZRJIGQW,0,0,0,1,1
6,OADMET-0005495,CC(C)N1CCC(N2C=C(COC3=CC=CC=C3Cl)N=N2)C1=O,CC(C)N1CCC(n2cc(COc3ccccc3Cl)nn2)C1=O,CC(C)N1CCC(n2cc(COc3ccccc3Cl)nn2)C1=O,CC(C)N1CCC(n2cc(COc3ccccc3Cl)nn2)C1=O,CC(C)N1CCC(n2cc(COc3ccccc3Cl)nn2)C1=O,CC(C)N1CCC(n2cc(COc3ccccc3Cl)nn2)C1=O,YANJXSBMHNHWHI,0,0,0,1,1
7,OADMET-0001354,COC1=CC(C2=CC=C(C(C)N3CCCC3)C=C2)=NC(N)=N1,COc1cc(-c2ccc(C(C)N3CCCC3)cc2)nc(N)n1,COc1cc(-c2ccc(C(C)N3CCCC3)cc2)nc(N)n1,COc1cc(-c2ccc(C(C)N3CCCC3)cc2)nc(N)n1,COc1cc(-c2ccc(C(C)N3CCCC3)cc2)nc(N)n1,COc1cc(-c2ccc(C(C)N3CCCC3)cc2)nc(N)n1,LHRFEDACWGCBSE,0,0,0,1,1
8,OADMET-0002003,NC(=O)C1(N2CCCCC2)CCN(C(=O)C2=CC=C(N3C=NN=N3)C=C2)CC1,NC(=O)C1(N2CCCCC2)CCN(C(=O)c2ccc(-n3cnnn3)cc2)CC1,NC(=O)C1(N2CCCCC2)CCN(C(=O)c2ccc(-n3cnnn3)cc2)CC1,NC(=O)C1(N2CCCCC2)CCN(C(=O)c2ccc(-n3cnnn3)cc2)CC1,NC(=O)C1(N2CCCCC2)CCN(C(=O)c2ccc(-n3cnnn3)cc2)CC1,NC(=O)C1(N2CCCCC2)CCN(C(=O)c2ccc(-n3cnnn3)cc2)CC1,XGUIIADGINTIHJ,0,0,0,1,1
9,OADMET-0002946,CC1=CC=C2C=CC=C(S(=O)(=O)N3CCC=C(C4=CN(C)N=C4)C3)C2=N1,Cc1ccc2cccc(S(=O)(=O)N3CCC=C(c4cnn(C)c4)C3)c2n1,Cc1ccc2cccc(S(=O)(=O)N3CCC=C(c4cnn(C)c4)C3)c2n1,Cc1ccc2cccc(S(=O)(=O)N3CCC=C(c4cnn(C)c4)C3)c2n1,Cc1ccc2cccc(S(=O)(=O)N3CCC=C(c4cnn(C)c4)C3)c2n1,Cc1ccc2cccc(S(=O)(=O)N3CCC=C(c4cnn(C)c4)C3)c2n1,QBMNLEDJFKFLHG,0,0,0,1,1
