dataset,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
nested_development,mse,mae,0.6545751995228046,0.633848302549244,0.6732433285500462,2000,2931
nested_development,mse,rmse,0.8577414582407873,0.8295401789646155,0.8813880440598721,2000,2931
nested_development,mse,rae,0.7091654454521272,0.6508407619934681,0.7646753939417393,2000,2931
nested_development,mse,pearson,0.6557296400580921,0.6098246198771532,0.7003133751834982,2000,2931
nested_development,mse,spearman,0.6267132716998887,0.5723837753411388,0.6880890679196809,2000,2931
nested_development,mse,bias,-0.06551547042391118,-0.10232269378418002,-0.02706632538170478,2000,2931
nested_development,mae,mae,0.6292819272977046,0.6048878394393226,0.6510639226185305,2000,2931
nested_development,mae,rmse,0.8720718743465727,0.8413961930380092,0.9012320867113144,2000,2931
nested_development,mae,rae,0.6817627655499076,0.6308719495451196,0.7309469828685323,2000,2931
nested_development,mae,pearson,0.6679869542796079,0.6235087597440587,0.7069175379050137,2000,2931
nested_development,mae,spearman,0.6401773048320789,0.5895511461134594,0.6965562576855927,2000,2931
nested_development,mae,bias,0.2142966800044486,0.18282528107294105,0.2447953658485824,2000,2931
nested_development,huber_0.25,mae,0.6329270512007753,0.6091248571277615,0.6542355563516241,2000,2931
nested_development,huber_0.25,rmse,0.868159263425028,0.8372996790804103,0.8965884791581471,2000,2931
nested_development,huber_0.25,rae,0.6857118854040265,0.633024830709222,0.7358939779485998,2000,2931
nested_development,huber_0.25,pearson,0.6531303093334552,0.6105495442843092,0.6940256280591235,2000,2931
nested_development,huber_0.25,spearman,0.6279313065786736,0.5750775960750485,0.6870435300298252,2000,2931
nested_development,huber_0.25,bias,0.1339116123304871,0.10005540985738012,0.17083315418974723,2000,2931
nested_development,huber_0.5,mae,0.6348719836184014,0.6105184317700508,0.6565106647556052,2000,2931
nested_development,huber_0.5,rmse,0.8546295464571204,0.824270046314654,0.8813273726353532,2000,2931
nested_development,huber_0.5,rae,0.6878190212462117,0.637565941406095,0.7376286158293566,2000,2931
nested_development,huber_0.5,pearson,0.6606005062547874,0.6137627946151494,0.6993702388992603,2000,2931
nested_development,huber_0.5,spearman,0.6254036879576071,0.5750125851884355,0.6795013217301766,2000,2931
nested_development,huber_0.5,bias,0.07045055718612842,0.030284332560087793,0.11343629932890197,2000,2931
nested_development,huber_1,mae,0.6272571298560381,0.605674031909926,0.6466458895730326,2000,2931
nested_development,huber_1,rmse,0.8457801515210239,0.8173202100040922,0.8723948592241021,2000,2931
nested_development,huber_1,rae,0.6795691041024275,0.6227277374399073,0.7331834085148367,2000,2931
nested_development,huber_1,pearson,0.6679096553797246,0.6216466208866226,0.7100683207404171,2000,2931
nested_development,huber_1,spearman,0.6378162927819033,0.5864338781614042,0.6949982345466441,2000,2931
nested_development,huber_1,bias,0.06244890056258011,0.03273305197926068,0.09380769097132383,2000,2931
nested_development,huber_2,mae,0.6344918694126851,0.6130093080214183,0.6533931569388395,2000,2931
nested_development,huber_2,rmse,0.8467519016013213,0.8183970849172969,0.8724123902947948,2000,2931
nested_development,huber_2,rae,0.6874072062855839,0.6323021124349347,0.7398450276864768,2000,2931
nested_development,huber_2,pearson,0.667783774671693,0.6206450840755314,0.7087769996850201,2000,2931
nested_development,huber_2,spearman,0.6338619306787184,0.5827386166321438,0.6908191299336033,2000,2931
nested_development,huber_2,bias,0.03969631109516034,0.0025339414758628574,0.07766584188833049,2000,2931
nested_development,global_selector,mae,0.6223748557171676,0.600223112000667,0.6426977949826327,2000,2931
nested_development,global_selector,rmse,0.8469320930044235,0.8177327803936064,0.8750480258027487,2000,2931
nested_development,global_selector,rae,0.6742796581884429,0.6179835384970048,0.7264303903308416,2000,2931
nested_development,global_selector,pearson,0.6685173422104236,0.6219425667941566,0.7114091883506735,2000,2931
nested_development,global_selector,spearman,0.6371424686753149,0.5847332646250119,0.694885674238932,2000,2931
nested_development,global_selector,bias,0.0848689684552707,0.05438513965217909,0.11737103219432769,2000,2931
nested_development,published_historical_ft,mae,0.6329507983947217,0.6093098071846891,0.6541768992987164,2000,2931
nested_development,published_historical_ft,rmse,0.860099040900178,0.8303935292572595,0.8876317235222292,2000,2931
nested_development,published_historical_ft,rae,0.6857376130658528,0.6328238740895336,0.7366284221032934,2000,2931
nested_development,published_historical_ft,pearson,0.6576018969174745,0.611257909288098,0.6972701828823956,2000,2931
nested_development,published_historical_ft,spearman,0.625215523785095,0.5743611844614158,0.6820403116295489,2000,2931
nested_development,published_historical_ft,bias,0.09665846527102673,0.0627826790847467,0.13030848288062052,2000,2931
retrospective_lockbox_790,mse,mae,0.6039490810386239,0.5654582057238582,0.6406706921456428,2000,735
retrospective_lockbox_790,mse,rmse,0.7989680421257113,0.7439397936884969,0.8481730814130674,2000,735
retrospective_lockbox_790,mse,rae,0.7176781220647238,0.6653085598595835,0.7782245944139012,2000,735
retrospective_lockbox_790,mse,pearson,0.667175078185455,0.6095426607624436,0.7173145061554919,2000,735
retrospective_lockbox_790,mse,spearman,0.6063345447937817,0.5504464506995645,0.6575121709316831,2000,735
retrospective_lockbox_790,mse,bias,-0.0669781374830737,-0.12200933146720173,-0.010708415677881477,2000,735
retrospective_lockbox_790,mae,mae,0.6026837080782476,0.5639625248580543,0.6401061723019639,2000,735
retrospective_lockbox_790,mae,rmse,0.8023656874892974,0.7460275453758571,0.8549341901298646,2000,735
retrospective_lockbox_790,mae,rae,0.7161744680011185,0.663716047681164,0.7783661614210992,2000,735
retrospective_lockbox_790,mae,pearson,0.6579036138590889,0.5999562823891784,0.7087329023135465,2000,735
retrospective_lockbox_790,mae,spearman,0.5957647722345709,0.5397859296300723,0.6473287183373834,2000,735
