selection_scope,outer_fold,objective_label,selected_objective,selected_delta,selected_learning_rate,fixed_refit_epochs,inner_native_loss,inner_mae,inner_spearman
within_objective,0,mse,mse,,0.001,16,0.7821632606960903,0.6342460390322677,0.630841156022516
within_objective,0,mae,mae,,0.003,11,0.6612268923376208,0.63314919867471,0.6244211779529428
within_objective,0,huber_0.25,huber,0.25,0.0003,28,0.13790097410990812,0.6353463004459845,0.621882558793111
within_objective,0,huber_0.5,huber,0.5,0.003,12,0.22633136924739197,0.6302900178962779,0.6293639920820203
within_objective,0,huber_1,huber,1.0,0.001,20,0.3258026515991888,0.6308001747523513,0.6266969179413162
within_objective,0,huber_2,huber,2.0,0.001,18,0.38135161024387754,0.6329064739762066,0.6324012039367535
global_all_objectives,0,global_selector,huber,0.5,0.003,12,0.22633136924739197,0.6302900178962779,0.6293639920820203
within_objective,1,mse,mse,,0.001,20,0.7708799318732502,0.6314791438402215,0.6464303495551705
within_objective,1,mae,mae,,0.003,18,0.6572402883467273,0.6244945857882298,0.6391013601606352
within_objective,1,huber_0.25,huber,0.25,0.003,18,0.136191109619408,0.6306975607814989,0.6345836504098311
within_objective,1,huber_0.5,huber,0.5,0.01,14,0.22468573586405996,0.6291617629956775,0.6339082228420464
within_objective,1,huber_1,huber,1.0,0.003,11,0.3329276226168481,0.637893952038669,0.6313814575949864
within_objective,1,huber_2,huber,2.0,0.001,13,0.3959293112465154,0.6429800112346421,0.6284639540708139
global_all_objectives,1,global_selector,mae,,0.003,18,0.6572402883467273,0.6244945857882298,0.6391013601606352
within_objective,2,mse,mse,,0.003,10,0.8032341837437353,0.6378007110797155,0.6387801200485502
within_objective,2,mae,mae,,0.003,15,0.6632384963570355,0.6349851230181065,0.6313738457971539
within_objective,2,huber_0.25,huber,0.25,0.01,16,0.1374430657157274,0.6324802407296817,0.6329930252636078
within_objective,2,huber_0.5,huber,0.5,0.01,16,0.2256043955934382,0.6294141490888171,0.6386823684450196
within_objective,2,huber_1,huber,1.0,0.001,18,0.3275381732655463,0.6344464160657173,0.634750971557716
within_objective,2,huber_2,huber,2.0,0.0003,29,0.39293383476890137,0.6405489345252869,0.6352233674597637
global_all_objectives,2,global_selector,huber,0.5,0.01,16,0.2256043955934382,0.6294141490888171,0.6386823684450196
within_objective,3,mse,mse,,0.001,14,0.7922723825401234,0.6390455005276782,0.6373088030149147
within_objective,3,mae,mae,,0.003,14,0.6731545282969965,0.6383469340909106,0.6274429177368943
within_objective,3,huber_0.25,huber,0.25,0.003,14,0.13822232691484077,0.6373413410316916,0.6258317831627982
within_objective,3,huber_0.5,huber,0.5,0.001,21,0.23056297101707102,0.6370219717351989,0.6304082084323183
within_objective,3,huber_1,huber,1.0,0.001,18,0.3310906002120437,0.6379148897390298,0.6322330155127353
within_objective,3,huber_2,huber,2.0,0.001,18,0.38670980765440754,0.638863390887432,0.6388447476215527
global_all_objectives,3,global_selector,huber,0.5,0.001,21,0.23056297101707102,0.6370219717351989,0.6304082084323183
within_objective,4,mse,mse,,0.03,16,0.7621981054544449,0.616568136117742,0.627961498104355
within_objective,4,mae,mae,,0.003,18,0.6448283195495605,0.6171030310759473,0.6217130374646219
within_objective,4,huber_0.25,huber,0.25,0.003,12,0.13608605042099953,0.6266978940110236,0.6125714165463054
within_objective,4,huber_0.5,huber,0.5,0.001,18,0.2240440770983696,0.6227424921321248,0.6199916536835466
within_objective,4,huber_1,huber,1.0,0.001,22,0.3121103197336197,0.6128877245850649,0.6299693668603902
within_objective,4,huber_2,huber,2.0,0.001,18,0.37578973919153214,0.6197174298305348,0.6237142548303162
global_all_objectives,4,global_selector,huber,1.0,0.001,22,0.3121103197336197,0.6128877245850649,0.6299693668603902
