dataset,comparison,metric,estimate,ci_lower,ci_upper
nested_development,mse_minus_huber_0.5,mae,0.01970321590440327,0.00996966097155728,0.029328011054163005
nested_development,mse_minus_huber_0.5,spearman,0.001309583742281517,-0.01269026005787662,0.013723086055299753
nested_development,mae_minus_huber_0.5,mae,-0.005590056320696757,-0.01278230181541716,0.0018509759300295787
nested_development,mae_minus_huber_0.5,spearman,0.014773616874471762,0.007427398130114568,0.021421086885323917
nested_development,huber_0.25_minus_huber_0.5,mae,-0.0019449324176260552,-0.009957573128051294,0.0064496727985376215
nested_development,huber_0.25_minus_huber_0.5,spearman,0.0025276186210664298,-0.009291921565694323,0.013069076413197026
nested_development,huber_1_minus_huber_0.5,mae,-0.007614853762363261,-0.016391930306256523,0.00011547784621225412
nested_development,huber_1_minus_huber_0.5,spearman,0.01241260482429618,0.0039189863468820085,0.02001363426045712
nested_development,huber_2_minus_huber_0.5,mae,-0.0003801142057162643,-0.006613543107997702,0.0049884348588811215
nested_development,huber_2_minus_huber_0.5,spearman,0.008458242721111286,0.0027074649050540275,0.013647893891535869
nested_development,global_selector_minus_huber_0.5,mae,-0.012497127901233807,-0.02163123695400495,-0.0038253813201084325
nested_development,global_selector_minus_huber_0.5,spearman,0.01173878071770773,0.0012133553758136462,0.02185467804338031
nested_development,global_selector_minus_published_historical_ft,mae,-0.010575942677554129,-0.01653604523105303,-0.004557842002030902
nested_development,global_selector_minus_published_historical_ft,spearman,0.011926944890219837,0.0035213541665997774,0.020165245017544384
nested_development,huber_0.5_minus_published_historical_ft,mae,0.0019211852236796778,-0.004153486153715119,0.007775857899807399
nested_development,huber_0.5_minus_published_historical_ft,spearman,0.00018816417251210638,-0.0076836287551687674,0.008886179808051842
retrospective_lockbox_790,mse_minus_huber_0.5,mae,0.0024793144137548184,-0.005525763266380801,0.010738143259664308
retrospective_lockbox_790,mse_minus_huber_0.5,spearman,0.015070203687657324,0.0036746719236267515,0.026051339446395837
retrospective_lockbox_790,mae_minus_huber_0.5,mae,0.0012139414533784976,-0.004207435860814302,0.006571307913079728
retrospective_lockbox_790,mae_minus_huber_0.5,spearman,0.004500431128446558,-0.004250642594888471,0.01279708412521895
retrospective_lockbox_790,huber_0.25_minus_huber_0.5,mae,0.00430269162866137,0.002253617049656881,0.006205194838986635
retrospective_lockbox_790,huber_0.25_minus_huber_0.5,spearman,-0.0024039789963501423,-0.004755081924089655,-9.946221200365663e-05
retrospective_lockbox_790,huber_1_minus_huber_0.5,mae,-0.026703845394311476,-0.040874781713317904,-0.012834091832130714
retrospective_lockbox_790,huber_1_minus_huber_0.5,spearman,0.017112245348441024,0.005731054545268355,0.027594442132549253
retrospective_lockbox_790,huber_2_minus_huber_0.5,mae,-0.015376427493517753,-0.025162943487719323,-0.005874235024618743
retrospective_lockbox_790,huber_2_minus_huber_0.5,spearman,0.01676784446761903,0.004749730805932173,0.0281736516540881
retrospective_lockbox_790,global_selector_minus_huber_0.5,mae,-0.026703845394311476,-0.040874781713317904,-0.012834091832130714
retrospective_lockbox_790,global_selector_minus_huber_0.5,spearman,0.017112245348441024,0.005731054545268355,0.027594442132549253
retrospective_lockbox_790,global_selector_minus_published_historical_ft,mae,-0.02209363509855633,-0.03435214525622778,-0.009687884188278121
retrospective_lockbox_790,global_selector_minus_published_historical_ft,spearman,0.02716916483628773,0.014409159333312807,0.04034407384863753
retrospective_lockbox_790,huber_0.5_minus_published_historical_ft,mae,0.004610210295755146,-0.0009718768749190809,0.009978482707262799
retrospective_lockbox_790,huber_0.5_minus_published_historical_ft,spearman,0.010056919487846705,0.0022138590262047704,0.018292655195602664
