dataset,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
nested_development,Frozen Nesso-1,3344.0,0.9149869580193981,1.2704668618055022,0.9912950171955105,0.3789016293786543,0.3853880954489389,0.7130316391097885,-1.9008617787343973,1.2371153194179114
nested_development,Affine calibration,3344.0,0.8393458958558808,1.051013367468924,0.9093456436433676,0.3729899142983292,0.3832575519681125,0.0026431218914906808,0.03524240758742286,0.9911875990107881
nested_development,Fine-tuned Nesso-1,3344.0,0.6329507983947217,0.860099040900178,0.6857376130658528,0.6576018969174745,0.625215523785095,0.09665846527102673,-0.39056932018885776,1.066902368028678
nested_development,2D LightGBM,3344.0,0.5159594459141478,0.7185388558091421,0.5589894187309365,0.7735253996238477,0.7304467583777929,0.028910611168909934,-0.07556068208138164,1.010785188567176
lockbox_common_714,Frozen Nesso-1,714.0,0.8565009411764707,1.2171958205151905,0.9797274004940274,0.3318908860912548,0.3235500784466647,0.6555238994397758,-0.9873721867744358,1.0660766793159475
lockbox_common_714,Affine calibration,714.0,0.8202888408963586,1.028433185636192,0.9383053947865596,0.3318908754239224,0.3235500784466647,-0.054504767507002824,0.6506841926937248,0.861743982794088
lockbox_common_714,Fine-tuned Nesso-1,714.0,0.60130776302521,0.8195842702651757,0.6878190825527509,0.6594096809777491,0.6019488029795916,0.03370789691876749,-0.3861132427363501,1.0800856888880144
lockbox_common_714,2D LightGBM,714.0,0.47758475533072,0.6716465868697465,0.546295804664314,0.787177889234604,0.7405280177333651,0.003690441012787855,-0.225741706366584,1.0508087388039962
lockbox_all_790,Frozen Nesso-1,790.0,0.8150892598734177,1.1716073206920052,0.9685778945719926,0.3244513594898911,0.31216152843735967,0.6043922801265823,-0.7894503567314743,1.0368252061155023
lockbox_all_790,Affine calibration,790.0,0.8110075941772152,1.0112609462417006,0.9637276145339652,0.32445135122815955,0.31216152843735967,-0.10489174278481016,0.8036602836107574,0.8380990883120485
lockbox_all_790,Fine-tuned Nesso-1,790.0,0.5968595563291139,0.808844329818246,0.7092535761227006,0.648352741213547,0.5812074216182777,-0.007891130759493672,-0.26916105410250685,1.0627805382913673
