outer_fold,candidate,learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta,huber_delta,ensemble_loss_weight,member_loss_weight,gradient_clip_norm,uncertainty_floor,uncertainty_cap_quantile,use_curation_weight,seed,inner_n,inner_mae,inner_rmse,inner_rae,inner_pearson,inner_spearman,inner_bias,inner_calibration_intercept,inner_calibration_slope,inner_best_epochs
0,e2_lr1e-05_wd0,1e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7806242825374424,1.0405131542689672,0.8422551674561726,0.4488688443112914,0.42716359647848795,0.23922331291270035,-0.3080305539630007,1.0151930324368188,7;9;13;30
0,e2_lr1e-05_wd0.0001,1e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7806242825374424,1.0405131542689672,0.8422551674561726,0.4488688443112914,0.42716359647848795,0.23922331291270035,-0.3080305539630007,1.0151930324368188,7;9;13;30
0,e2_lr1e-05_wd0.001,1e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7806242825374424,1.0405131542689672,0.8422551674561726,0.4488688443112914,0.42716359647848795,0.23922331291270035,-0.3080305539630007,1.0151930324368188,7;9;13;30
0,e2_lr3e-05_wd0,3e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.728601020495691,0.9706101591438572,0.7861246290361228,0.5348733179245079,0.4955087317417209,0.14607953773926352,-0.6633256341731004,1.1166091601000405,29;28;28;30
0,e2_lr3e-05_wd0.0001,3e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.728601020495691,0.9706101591438572,0.7861246290361228,0.5348733179245079,0.4955087317417209,0.14607953773926352,-0.6633256341731004,1.1166091601000405,29;28;28;30
0,e2_lr3e-05_wd0.001,3e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7282398153608091,0.9706239850193145,0.7857349064792262,0.5352775836724305,0.4957210302717002,0.1478445150963614,-0.669428514416806,1.117540337621898,29;28;29;30
0,e2_lr0.0001_wd0,0.0001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6760064303710083,0.9157129056168202,0.7293776557434637,0.6016092060775786,0.5714076034254879,0.13352290071505252,-0.3860371918550371,1.057089015115681,30;30;30;29
0,e2_lr0.0001_wd0.0001,0.0001,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6760064303710083,0.9157129056168202,0.7293776557434637,0.6016092060775786,0.5714076034254879,0.13352290071505252,-0.3860371918550371,1.057089015115681,30;30;30;29
0,e2_lr0.0001_wd0.001,0.0001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6767773202129613,0.9144928777425552,0.7302094079287966,0.6008753660180386,0.5689035532306466,0.12087054357796072,-0.3581310382647832,1.0537942786696548,30;29;30;29
0,e2_lr0.0003_wd0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6335708858561293,0.8671532392995525,0.6835917924914339,0.6531704028075522,0.6249979628556739,0.12077948862592751,-0.3276775554928331,1.0469111474364445,26;30;29;28
