model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
expanded_grid,mae,0.6345045222648136,0.6102232408542421,0.6559635540032813,2000,2931
expanded_grid,rmse,0.8575178953441663,0.8265919836581365,0.8843281608648624,2000,2931
expanded_grid,rae,0.6874209143599541,0.6376198764816191,0.7367564475159991,2000,2931
expanded_grid,pearson,0.6592672890008237,0.6123197031039246,0.6982992569556711,2000,2931
expanded_grid,spearman,0.6264451399490213,0.575989621590545,0.6809798649610057,2000,2931
expanded_grid,bias,0.08624985827883296,0.04690435435227444,0.12729478655275062,2000,2931
historical_grid,mae,0.6329507983947217,0.6093098071846891,0.6541768992987164,2000,2931
historical_grid,rmse,0.860099040900178,0.8303935292572595,0.8876317235222292,2000,2931
historical_grid,rae,0.6857376130658528,0.6328238740895336,0.7366284221032934,2000,2931
historical_grid,pearson,0.6576018969174745,0.611257909288098,0.6972701828823956,2000,2931
historical_grid,spearman,0.625215523785095,0.5743611844614158,0.6820403116295489,2000,2931
historical_grid,bias,0.09665846527102673,0.0627826790847467,0.13030848288062052,2000,2931
