feature_row,original_id,identity_canonical_smiles,prepared_smiles,pEC50,role,nearest_development_similarity,nearest_development_id,nearest_development_smiles,nearest_development_pEC50
0,OADMET-0006089,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1C[NH2+]CC2,5.27,excluded_initial_emax,0.2948717948717949,OADMET-0005533,CC(CNC(=O)c1cccc2c1CNCC2)c1ccc(F)cn1,4.21
2,OADMET-0000944,O=C(CCc1nc2ccccc2nc1O)NCc1n[nH]c(=O)[nH]1,O=C(CCc1nc2ccccc2nc1O)NCc1n[nH]c(=O)[nH]1,2.54,lockbox_primary,0.35384615384615387,OADMET-0002788,O=C(CCc1nc2ccccc2n1-c1ccccc1)NCc1ccc(O)cc1,5.3
10,OADMET-0003334,CCN(C(=O)c1nc(CC(F)(F)F)sc1C)C12CC3CC(CC(C3)C1)C2,CCN(C(=O)c1nc(CC(F)(F)F)sc1C)C12CC3CC(CC(C3)C1)C2,6.16,lockbox_primary,0.24050632911392406,OADMET-0005330,CC(c1ccsc1)N1CCN(C(=O)Nc2nnc(CC(F)(F)F)s2)CC1,4.21
11,OADMET-0001471,CCOCC(=O)NC1CCN(c2cnn(CC)c(=O)c2)CC1,CCOCC(=O)NC1CCN(c2cnn(CC)c(=O)c2)CC1,1.73,lockbox_primary,0.36585365853658536,OADMET-0001423,COCCNC(=O)CN1CCN(C(=O)C2CCN(c3cnn(Cc4ccccc4)c(=O)c3)C2)CC1,1.88
38,OADMET-0001372,O=C(c1ccc2c(c1)CN(C(=O)c1ccc3ncccc3c1)CCO2)N1CCCC1,O=C(c1ccc2c(c1)CN(C(=O)c1ccc3ncccc3c1)CCO2)N1CCCC1,3.41,excluded_initial_emax,0.33783783783783783,OADMET-0003084,Cc1ccc2c(c1)CN(C(=O)Nc1cc(C)n(C(C)C)n1)CCO2,5.42
39,OADMET-0001188,CN(C)[C@H]1CN(C(=O)[C@H]2CC[C@H](C)CC2)C[C@@H]1O,C[NH+](C)[C@H]1CN(C(=O)[C@H]2CC[C@H](C)CC2)C[C@@H]1O,3.19,lockbox_primary,0.2909090909090909,OADMET-0002951,CC1CCCC(C(=O)N2CCCC(N(C)CC(=O)O)CC2)C1,3.25
41,OADMET-0001468,CCC(C)C(=O)N1CCC2(CC1)N(Cc1ccccc1)C(=O)CS2(=O)=O,CCC(C)C(=O)N1CCC2(CC1)N(Cc1ccccc1)C(=O)CS2(=O)=O,4.01,lockbox_primary,0.3492063492063492,OADMET-0005877,CCOC1(C)CCN(C(=O)N(C)Cc2ccccc2)CC1,4.44
42,OADMET-0002189,CCCCN1CCCCC1C(=O)O,CCCCN1CCCCC1C(=O)[O-],1.83,lockbox_primary,0.5555555555555556,OADMET-0001982,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,4.745
46,OADMET-0002918,Cc1ccc(C)c(NC(=O)N2CCCC3(CCOC3)C2)c1,Cc1ccc(C)c(NC(=O)N2CCCC3(CCOC3)C2)c1,4.8,lockbox_primary,0.5245901639344263,OADMET-0005988,CSc1cc2c(cc1NC(=O)N1CCCC3(CCOCC3)C1)OCCO2,4.52
60,OADMET-0001482,Cc1ccc(S(=O)(=O)c2cnc3ccccc3c2N2CCN(c3ccccc3)CC2)cc1C,Cc1ccc(S(=O)(=O)c2cnc3ccccc3c2N2CCN(c3ccccc3)CC2)cc1C,5.67,lockbox_primary,0.3333333333333333,OADMET-0003421,COc1cncc(N2CCN(C(=O)c3c(OC)cnc4ccccc34)CC2)c1,3.38
