dataset,representation,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
nested_development,ridge_member1_384d,all_pairs,mae,0.6807906163430436,0.6576332357207423,0.7048723241151985,2000,2931
nested_development,ridge_member1_384d,all_pairs,rmse,0.9237350711405838,0.8772503226482915,0.9793131728578716,2000,2931
nested_development,ridge_member1_384d,all_pairs,rae,0.7375671749411014,0.6700036254761125,0.7983440715850502,2000,2931
nested_development,ridge_member1_384d,all_pairs,pearson,0.5900436479276651,0.5177005434184736,0.6558678061149792,2000,2931
nested_development,ridge_member1_384d,all_pairs,spearman,0.5806148531851989,0.5217338147825098,0.6493609552038595,2000,2931
nested_development,ridge_member1_384d,all_pairs,bias,0.0021012393212667454,-0.031137114637188854,0.03490301603213458,2000,2931
nested_development,ridge_member1_384d,ligand_ligand_only,mae,0.6597009652988223,0.6388551889790246,0.6794726252000187,2000,2931
nested_development,ridge_member1_384d,ligand_ligand_only,rmse,0.8809245528831926,0.8510562727696955,0.9113355724150461,2000,2931
nested_development,ridge_member1_384d,ligand_ligand_only,rae,0.7147186897126535,0.6556968225240293,0.7722831801440342,2000,2931
nested_development,ridge_member1_384d,ligand_ligand_only,pearson,0.6293005620142154,0.5740514731095208,0.6742404573551588,2000,2931
nested_development,ridge_member1_384d,ligand_ligand_only,spearman,0.6074214094662181,0.5540849452667402,0.6657161730744338,2000,2931
nested_development,ridge_member1_384d,ligand_ligand_only,bias,0.002158117879206155,-0.030736642231855092,0.03518442018346321,2000,2931
nested_development,ridge_member1_384d,receptor_ligand_only,mae,0.6883214740977283,0.666021361308522,0.7095018520460953,2000,2931
nested_development,ridge_member1_384d,receptor_ligand_only,rmse,0.9292674323858782,0.8849075972439442,0.9806343403649093,2000,2931
nested_development,ridge_member1_384d,receptor_ligand_only,rae,0.7457260909802836,0.6795503336239108,0.8069680692180412,2000,2931
nested_development,ridge_member1_384d,receptor_ligand_only,pearson,0.577893956582527,0.4959349309008292,0.6480641401405408,2000,2931
nested_development,ridge_member1_384d,receptor_ligand_only,spearman,0.5659730095634471,0.5041318172489133,0.6363160742859697,2000,2931
nested_development,ridge_member1_384d,receptor_ligand_only,bias,0.004952110405574447,-0.028312950076535903,0.03890172183817127,2000,2931
lockbox_all_790,ridge_member1_384d,all_pairs,mae,0.6464533277946182,0.60637669833776,0.6860630772815336,2000,735
lockbox_all_790,ridge_member1_384d,all_pairs,rmse,0.8440106853224607,0.7877291836957239,0.894685939866277,2000,735
