dataset,representation,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
nested_development,ridge_member1_384d,ligand_ligand_only_minus_all_pairs,mae,-0.021089651044221336,-0.04034731511101525,-0.0028906481728004254,2000,2931
nested_development,ridge_member1_384d,ligand_ligand_only_minus_all_pairs,spearman,0.026806556281019245,0.003705036082324184,0.05159362328806236,2000,2931
nested_development,ridge_member1_384d,receptor_ligand_only_minus_all_pairs,mae,0.00753085775468465,-0.008602743553320552,0.02044352573343423,2000,2931
nested_development,ridge_member1_384d,receptor_ligand_only_minus_all_pairs,spearman,-0.014641843621751804,-0.028135131070242004,-0.0007310528396025818,2000,2931
lockbox_all_790,ridge_member1_384d,ligand_ligand_only_minus_all_pairs,mae,-0.00745711124999604,-0.03188755140582367,0.017154945256154425,2000,735
lockbox_all_790,ridge_member1_384d,ligand_ligand_only_minus_all_pairs,spearman,0.03038838817914913,-0.007691502585493596,0.06766826882008246,2000,735
lockbox_all_790,ridge_member1_384d,receptor_ligand_only_minus_all_pairs,mae,0.0018560743211191166,-0.008366681093364189,0.010943173079548698,2000,735
lockbox_all_790,ridge_member1_384d,receptor_ligand_only_minus_all_pairs,spearman,-0.015318379205770616,-0.027179487470050123,-0.004058535611472911,2000,735
nested_development,ridge_member2_384d,ligand_ligand_only_minus_all_pairs,mae,-0.03255178283830018,-0.049950629533830365,-0.015754886495956532,2000,2931
nested_development,ridge_member2_384d,ligand_ligand_only_minus_all_pairs,spearman,0.020954554367183964,0.004921977708593309,0.03660649911439229,2000,2931
nested_development,ridge_member2_384d,receptor_ligand_only_minus_all_pairs,mae,0.0025736804563792903,-0.014190789925611106,0.02732502377403225,2000,2931
nested_development,ridge_member2_384d,receptor_ligand_only_minus_all_pairs,spearman,0.0025206835063980026,-0.00281590901205635,0.008504945333394805,2000,2931
lockbox_all_790,ridge_member2_384d,ligand_ligand_only_minus_all_pairs,mae,0.002228591593006146,-0.029475620194711682,0.032081281121694095,2000,735
lockbox_all_790,ridge_member2_384d,ligand_ligand_only_minus_all_pairs,spearman,0.010030985979824325,-0.020507419494740404,0.04046662243373636,2000,735
lockbox_all_790,ridge_member2_384d,receptor_ligand_only_minus_all_pairs,mae,0.023301866277863792,-0.005435989842478911,0.07511170329783826,2000,735
lockbox_all_790,ridge_member2_384d,receptor_ligand_only_minus_all_pairs,spearman,0.0031355935600695384,-0.004759687535982984,0.011063804636103845,2000,735
nested_development,ridge_mean_384d,ligand_ligand_only_minus_all_pairs,mae,-0.026553393338949682,-0.04190902095984507,-0.011366375238834736,2000,2931
nested_development,ridge_mean_384d,ligand_ligand_only_minus_all_pairs,spearman,0.018764046093048825,0.002218201171181161,0.03467399551194808,2000,2931
nested_development,ridge_mean_384d,receptor_ligand_only_minus_all_pairs,mae,-0.0016990474589427818,-0.012242613147001508,0.008192963199798944,2000,2931
nested_development,ridge_mean_384d,receptor_ligand_only_minus_all_pairs,spearman,-0.011549106925964447,-0.021077795170754064,-0.0034534580648587195,2000,2931
lockbox_all_790,ridge_mean_384d,ligand_ligand_only_minus_all_pairs,mae,-0.002096863227554646,-0.023457806154711124,0.019512331286510053,2000,735
lockbox_all_790,ridge_mean_384d,ligand_ligand_only_minus_all_pairs,spearman,0.011947469672446087,-0.02097077791993725,0.04305573484742912,2000,735
lockbox_all_790,ridge_mean_384d,receptor_ligand_only_minus_all_pairs,mae,0.0001327744013144283,-0.005511567790830596,0.006375672479893777,2000,735
lockbox_all_790,ridge_mean_384d,receptor_ligand_only_minus_all_pairs,spearman,0.004217730360417948,-0.003167423449366011,0.011539455304789567,2000,735
nested_development,ridge_concat_768d,ligand_ligand_only_minus_all_pairs,mae,-0.027288537876344554,-0.04948488396182156,-0.007052418702653961,2000,2931
nested_development,ridge_concat_768d,ligand_ligand_only_minus_all_pairs,spearman,0.01569654686335631,0.0006655261170773364,0.030281798909924555,2000,2931
nested_development,ridge_concat_768d,receptor_ligand_only_minus_all_pairs,mae,0.0007776174431736171,-0.019931828222472723,0.02454625265392952,2000,2931
nested_development,ridge_concat_768d,receptor_ligand_only_minus_all_pairs,spearman,1.1645728492548635e-05,-0.006956476158078392,0.007351712060330542,2000,2931
lockbox_all_790,ridge_concat_768d,ligand_ligand_only_minus_all_pairs,mae,0.014866459930999443,-0.007011987114906204,0.03805817735645011,2000,735
lockbox_all_790,ridge_concat_768d,ligand_ligand_only_minus_all_pairs,spearman,0.0007427033998821386,-0.027901347176502285,0.027589235140763592,2000,735
lockbox_all_790,ridge_concat_768d,receptor_ligand_only_minus_all_pairs,mae,0.021997639366343136,-0.0046300360556458,0.06828973779509787,2000,735
lockbox_all_790,ridge_concat_768d,receptor_ligand_only_minus_all_pairs,spearman,0.0011498266177980554,-0.006947268986977698,0.009083524495284278,2000,735
