pool_variant,representation,outer_fold,selected_alpha,inner_mae,inner_spearman
all_pairs,ridge_member1_384d,0,10.0,0.6707002189839003,0.5937143002366116
all_pairs,ridge_member1_384d,1,100.0,0.7053937241878514,0.5692532012665596
all_pairs,ridge_member1_384d,2,10.0,0.6855061321612488,0.5878766045121141
all_pairs,ridge_member1_384d,3,1.0,0.7089823191453148,0.5789704786525293
all_pairs,ridge_member1_384d,4,10.0,0.6751491054849867,0.554502912577089
all_pairs,ridge_member2_384d,0,100.0,0.6347683001894446,0.6512402753592001
all_pairs,ridge_member2_384d,1,100.0,0.6201386855709621,0.6674925310273829
all_pairs,ridge_member2_384d,2,100.0,0.6381254700011827,0.6561104746891325
all_pairs,ridge_member2_384d,3,100.0,0.6362077681673302,0.6538231351698248
all_pairs,ridge_member2_384d,4,100.0,0.6150544059609054,0.6462456131611021
all_pairs,ridge_mean_384d,0,100.0,0.6376781855587843,0.643760099343988
all_pairs,ridge_mean_384d,1,100.0,0.6789111015867956,0.655163342299866
all_pairs,ridge_mean_384d,2,100.0,0.6334531949904172,0.6482693512882508
all_pairs,ridge_mean_384d,3,100.0,0.639849539839711,0.6523361392990427
all_pairs,ridge_mean_384d,4,10.0,0.6401681849626972,0.634228716225973
all_pairs,ridge_concat_768d,0,100.0,0.6406140069678353,0.6543421187944204
all_pairs,ridge_concat_768d,1,100.0,0.6307385483081326,0.667203476935142
all_pairs,ridge_concat_768d,2,100.0,0.6377274803729006,0.6594750992031136
all_pairs,ridge_concat_768d,3,100.0,0.6457668414379965,0.6575100522268986
all_pairs,ridge_concat_768d,4,100.0,0.6176336037237327,0.6438713634369668
ligand_ligand_only,ridge_member1_384d,0,100.0,0.6646486654413065,0.6005487385559248
ligand_ligand_only,ridge_member1_384d,1,100.0,0.6562625105112627,0.6120287601636341
ligand_ligand_only,ridge_member1_384d,2,100.0,0.6787966108671449,0.6022790265134632
ligand_ligand_only,ridge_member1_384d,3,100.0,0.678084289863298,0.6036116720528651
ligand_ligand_only,ridge_member1_384d,4,100.0,0.6715201790199596,0.5845718157388806
ligand_ligand_only,ridge_member2_384d,0,100.0,0.5917721115032746,0.6816842642842966
ligand_ligand_only,ridge_member2_384d,1,100.0,0.6030358929184654,0.6762542248675691
ligand_ligand_only,ridge_member2_384d,2,100.0,0.5977419087180331,0.6847090125712726
ligand_ligand_only,ridge_member2_384d,3,100.0,0.6067882985498317,0.6807351216862411
ligand_ligand_only,ridge_member2_384d,4,100.0,0.5945981156947675,0.6631327234379722
ligand_ligand_only,ridge_mean_384d,0,100.0,0.6110525610695386,0.6649023872004644
ligand_ligand_only,ridge_mean_384d,1,100.0,0.609324197531075,0.6699694651589408
ligand_ligand_only,ridge_mean_384d,2,100.0,0.6154233055398632,0.6733459850622063
ligand_ligand_only,ridge_mean_384d,3,100.0,0.6241724932911888,0.6677897802813012
ligand_ligand_only,ridge_mean_384d,4,100.0,0.6085097684879419,0.6531682936690691
ligand_ligand_only,ridge_concat_768d,0,1000.0,0.600072319820148,0.6746489085681475
ligand_ligand_only,ridge_concat_768d,1,1000.0,0.6046911740180761,0.676692746147746
ligand_ligand_only,ridge_concat_768d,2,1000.0,0.6052782070696497,0.6771640403720433
ligand_ligand_only,ridge_concat_768d,3,100.0,0.61239252457493,0.6796695911621375
ligand_ligand_only,ridge_concat_768d,4,1000.0,0.6088143533589548,0.6583072036924091
receptor_ligand_only,ridge_member1_384d,0,100.0,0.702458840183751,0.5646895072435814
receptor_ligand_only,ridge_member1_384d,1,10.0,0.6833694833099537,0.5809930937676097
receptor_ligand_only,ridge_member1_384d,2,10.0,0.6899945315210381,0.5781474695938342
receptor_ligand_only,ridge_member1_384d,3,1000.0,0.7809724781917557,0.5256715569238094
receptor_ligand_only,ridge_member1_384d,4,10.0,0.6760564157272038,0.5499272572152166
receptor_ligand_only,ridge_member2_384d,0,100.0,0.6396109381008419,0.6506884069456704
receptor_ligand_only,ridge_member2_384d,1,100.0,0.6314447654679324,0.6723738074172768
receptor_ligand_only,ridge_member2_384d,2,100.0,0.6353496723263788,0.6525713675375934
receptor_ligand_only,ridge_member2_384d,3,100.0,0.6295191193524771,0.6590152046902156
receptor_ligand_only,ridge_member2_384d,4,100.0,0.6204352957439495,0.6488968234719786
receptor_ligand_only,ridge_mean_384d,0,100.0,0.6310404537496617,0.6445339387484789
receptor_ligand_only,ridge_mean_384d,1,1000.0,0.9314543566188533,0.6138419483134891
receptor_ligand_only,ridge_mean_384d,2,10.0,0.6249565961549046,0.6528562993495161
receptor_ligand_only,ridge_mean_384d,3,100.0,0.650476240232044,0.6531791019654062
receptor_ligand_only,ridge_mean_384d,4,1000.0,0.8181936786429387,0.5889437875844646
receptor_ligand_only,ridge_concat_768d,0,100.0,0.6433608464394581,0.6441642847801426
receptor_ligand_only,ridge_concat_768d,1,100.0,0.6350266167240725,0.6691027834175868
receptor_ligand_only,ridge_concat_768d,2,100.0,0.6345230044882689,0.6530322170107159
receptor_ligand_only,ridge_concat_768d,3,100.0,0.6547037215459716,0.662399199769194
receptor_ligand_only,ridge_concat_768d,4,100.0,0.621529154342839,0.6484791642094193
