outer_fold,selected_alpha,inner_mae,inner_spearman,model
0,10.0,0.6707002189838981,0.5937143002366116,ridge_member1_384d
1,100.0,0.7053937241878508,0.5692532012665596,ridge_member1_384d
2,10.0,0.6855061321612597,0.5878766045121141,ridge_member1_384d
3,1.0,0.7089823191491869,0.5789704786525293,ridge_member1_384d
4,10.0,0.6751491054849903,0.554502912577089,ridge_member1_384d
0,100.0,0.6347683001894446,0.6512402753592001,ridge_member2_384d
1,100.0,0.620138685570962,0.6674925310273829,ridge_member2_384d
2,100.0,0.6381254700011829,0.6561104746891325,ridge_member2_384d
3,100.0,0.6362077681673299,0.6538231351698248,ridge_member2_384d
4,100.0,0.6150544059609053,0.6462456131611021,ridge_member2_384d
0,100.0,0.6376781855587847,0.643760099343988,ridge_mean_384d
1,100.0,0.6789111015867978,0.655163342299866,ridge_mean_384d
2,100.0,0.633453194990418,0.6482693512882508,ridge_mean_384d
3,100.0,0.6398495398397112,0.6523361392990427,ridge_mean_384d
4,10.0,0.6401681849626895,0.634228716225973,ridge_mean_384d
0,100.0,0.6406140069678364,0.6543421187944204,ridge_concat_768d
1,100.0,0.6307385483081294,0.667203476935142,ridge_concat_768d
2,100.0,0.6377274803729001,0.6594750992031136,ridge_concat_768d
3,100.0,0.6457668414379925,0.6575100522268986,ridge_concat_768d
4,100.0,0.6176336037237327,0.6438713634369668,ridge_concat_768d
