dataset,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
crossfit_development,fine_tuned_nesso,3344.0,0.6329507983947217,0.860099040900178,0.6857376130658528,0.6576018969174745,0.625215523785095,0.09665846527102673,-0.39056932018885776,1.066902368028678
lockbox_common_714,fine_tuned_nesso,714.0,0.60130776302521,0.8195842702651757,0.6878190825527509,0.6594096809777491,0.6019488029795916,0.03370789691876749,-0.3861132427363501,1.0800856888880144
crossfit_development,two_d_lightgbm,3344.0,0.5159594459141478,0.7185388558091421,0.5589894187309365,0.7735253996238477,0.7304467583777929,0.028910611168909934,-0.07556068208138164,1.010785188567176
lockbox_common_714,two_d_lightgbm,714.0,0.47758475533072,0.6716465868697465,0.546295804664314,0.787177889234604,0.7405280177333651,0.003690441012787855,-0.225741706366584,1.0508087388039962
crossfit_development,equal_blend,3344.0,0.5407039566934847,0.744490508062938,0.5857975715942227,0.7638224758421666,0.7336561804898144,0.06278453821996832,-0.8039960810448047,1.1700316271848017
lockbox_common_714,equal_blend,714.0,0.5022423144060488,0.7016512445841864,0.5745008948095945,0.7761016346721409,0.7368021696847248,0.018699168965777682,-0.957402500689699,1.2140546225453945
crossfit_development,convex_mae_stack,3344.0,0.5139493194027862,0.7157502097870123,0.5568116517396358,0.7767687717646693,0.7367614784754382,0.03598099984020321,-0.2728586650108132,1.0546751795771176
lockbox_common_714,convex_mae_stack,714.0,0.4747412680528207,0.6695595859906711,0.5430432193311473,0.7909872937896348,0.7477122087280768,0.00694786250708404,-0.4392320860760926,1.0988395975794434
crossfit_development,unconstrained_linear_stack,3344.0,0.5137894880855517,0.7139140067896563,0.5566384908142502,0.7764286072292436,0.7394808397561966,-0.0020401111638006374,0.04193415852613387,0.9907102859936601
lockbox_common_714,unconstrained_linear_stack,714.0,0.4722164426540672,0.665060711987868,0.5401551423825987,0.7920477466169549,0.7513150631242869,-0.029313710976549116,-0.14845638719276263,1.0409860486423037
crossfit_development,nesso_repr_residual_ridge,3344.0,0.5235589406229483,0.7477642714938565,0.5672226959071975,0.7569020031793258,0.7389140143803626,-0.0035741790743939066,0.47374456339000803,0.8904771636602306
lockbox_common_714,nesso_repr_residual_ridge,714.0,0.47872557614305283,0.6695965471967124,0.5476007575898312,0.7894222080668242,0.7572163060682033,-0.03306349386833249,0.25092239950435474,0.9497277546908036
