dataset,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
lockbox_common_714,two_d_lightgbm,mae,0.47758475533072,0.44183815969780105,0.5144211239759532,2000,663
lockbox_common_714,two_d_lightgbm,rmse,0.6716465868697465,0.6145180411046338,0.7287174348535447,2000,663
lockbox_common_714,two_d_lightgbm,rae,0.546295804664314,0.49736306584762124,0.6061401601496105,2000,663
lockbox_common_714,two_d_lightgbm,pearson,0.787177889234604,0.7399694773080481,0.8258395221523293,2000,663
lockbox_common_714,two_d_lightgbm,spearman,0.7405280177333651,0.6936758377392939,0.7812435486044124,2000,663
lockbox_common_714,two_d_lightgbm,bias,0.003690441012787855,-0.04827129625429693,0.05388340547178465,2000,663
lockbox_common_714,convex_mae_stack,mae,0.4747412680528207,0.43844816148057664,0.5114925437147907,2000,663
lockbox_common_714,convex_mae_stack,rmse,0.6695595859906711,0.6113576247637605,0.7259872805004052,2000,663
lockbox_common_714,convex_mae_stack,rae,0.5430432193311473,0.4949583290788829,0.6020966001792429,2000,663
lockbox_common_714,convex_mae_stack,pearson,0.7909872937896348,0.7451064689270938,0.8289185681798981,2000,663
lockbox_common_714,convex_mae_stack,spearman,0.7477122087280768,0.7017528016411586,0.7862544680901281,2000,663
lockbox_common_714,convex_mae_stack,bias,0.00694786250708404,-0.043386541401935264,0.05725838424793379,2000,663
lockbox_common_714,unconstrained_linear_stack,mae,0.4722164426540672,0.4357770802681498,0.5088347844360035,2000,663
lockbox_common_714,unconstrained_linear_stack,rmse,0.665060711987868,0.6068896583063346,0.7215268212769702,2000,663
lockbox_common_714,unconstrained_linear_stack,rae,0.5401551423825987,0.4923018128579894,0.5995033182338562,2000,663
lockbox_common_714,unconstrained_linear_stack,pearson,0.7920477466169549,0.7465969236158714,0.8289686226621656,2000,663
lockbox_common_714,unconstrained_linear_stack,spearman,0.7513150631242869,0.7050872126491591,0.7893067859035975,2000,663
lockbox_common_714,unconstrained_linear_stack,bias,-0.029313710976549116,-0.0779508952531797,0.019316809446200633,2000,663
lockbox_common_714,nesso_repr_residual_ridge,mae,0.47872557614305283,0.44260866308174873,0.515042291806165,2000,663
lockbox_common_714,nesso_repr_residual_ridge,rmse,0.6695965471967124,0.6111239640882418,0.7296067385969532,2000,663
lockbox_common_714,nesso_repr_residual_ridge,rae,0.5476007575898312,0.49715727004068555,0.6066692252873983,2000,663
lockbox_common_714,nesso_repr_residual_ridge,pearson,0.7894222080668242,0.7436115372599477,0.8283892980782382,2000,663
lockbox_common_714,nesso_repr_residual_ridge,spearman,0.7572163060682033,0.7119565058580273,0.7945012751323086,2000,663
lockbox_common_714,nesso_repr_residual_ridge,bias,-0.03306349386833249,-0.08549166114201975,0.016043388812334587,2000,663
