dataset,representation,model_class,n,source_path,source_row,metric,value,capacity
nested_development,member1_384d,ridge,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,0,mae,0.6807906163430436,0
nested_development,member2_384d,ridge,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,1,mae,0.6248929336789175,0
nested_development,mean_384d,ridge,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,2,mae,0.6327893414750589,0
nested_development,concat_768d,ridge,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,3,mae,0.6262024466987568,0
nested_development,member1_384d,one_hidden_mlp,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,4,mae,0.6830353602975994,1
nested_development,member1_384d,two_hidden_mlp,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,5,mae,0.6725919356379386,2
nested_development,member2_384d,one_hidden_mlp,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,6,mae,0.6202457371550307,1
nested_development,member2_384d,two_hidden_mlp,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,7,mae,0.6226129266771326,2
nested_development,mean_384d,one_hidden_mlp,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,8,mae,0.6237179525369735,1
nested_development,mean_384d,two_hidden_mlp,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,9,mae,0.6198412585177222,2
nested_development,concat_768d,one_hidden_mlp,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,10,mae,0.6217137374656271,1
nested_development,concat_768d,two_hidden_mlp,3344.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,11,mae,0.6345637513443312,2
retrospective_lockbox_790,member1_384d,ridge,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,12,mae,0.6464533277946182,0
retrospective_lockbox_790,member2_384d,ridge,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,13,mae,0.6062774514065512,0
retrospective_lockbox_790,mean_384d,ridge,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,14,mae,0.5963026500170745,0
retrospective_lockbox_790,concat_768d,ridge,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,15,mae,0.5915508216544042,0
retrospective_lockbox_790,member1_384d,one_hidden_mlp,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,16,mae,0.6247825233624454,1
retrospective_lockbox_790,member1_384d,two_hidden_mlp,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,17,mae,0.6180465893101591,2
retrospective_lockbox_790,member2_384d,one_hidden_mlp,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,18,mae,0.5732935961027186,1
retrospective_lockbox_790,member2_384d,two_hidden_mlp,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,19,mae,0.5960018835429903,2
retrospective_lockbox_790,mean_384d,one_hidden_mlp,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,20,mae,0.5685029095738247,1
retrospective_lockbox_790,mean_384d,two_hidden_mlp,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,21,mae,0.575864321855553,2
retrospective_lockbox_790,concat_768d,one_hidden_mlp,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,22,mae,0.5940417647388162,1
retrospective_lockbox_790,concat_768d,two_hidden_mlp,790.0,reports/transfer_ablation/cpu_followups/experiment_a_capacity/capacity_metrics.csv,23,mae,0.5655995692925111,2
