lane,split,n_train,method,weighted_mae,mae,bias,spearman,pred_on_observed_slope,pred_on_observed_intercept,observed_on_pred_slope,observed_on_pred_intercept,sd_ratio,iqr_ratio,observed_mean,predicted_mean,observed_sd,predicted_sd,predicted_min,predicted_max,n_test,n_fit,n_calibration,fit_seconds,n_parameters,original_weighted_mae,original_mae,original_spearman,max_absolute_error,ensemble_spread_error_spearman,coverage_80,width_80,unbounded_rows_80,endpoint_boundary_disagreements_80,coverage_90,width_90,unbounded_rows_90,endpoint_boundary_disagreements_90,source_row,source_file,source_metric,value,panel,aggregation,stratum,prediction_rows,unique_compounds,chemical_groups,effective_n_identity,effective_n_cluster,sparse,weighted_bias,weight_sum,weight_share
strict,strict_chemical,25,descriptor_lightgbm_rdkit_mordred,0.7211790006993511,0.9038815962221892,0.2980811902268497,,0.0552461156903994,4.356186381058002,,,0.1860674087487129,0.2189635733464864,4.296463995424785,4.594545185651636,1.1297950743124143,0.2106283148442006,4.14324329225179,5.044044483904512,668.8,20.0,5.0,0.3317741771790315,334.12,0.7211790006993511,0.9038815962221892,,3.2975875766598084,,0.7781842145305801,3.336197728919221,0.0,0.0,1.0,inf,668.8,0.0,141,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.7211790006993511,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,25,head_pretrained,0.6266865247246263,0.8426556040189136,0.4772672348299651,0.4123617908453665,0.1641405391990154,4.068330971669538,1.1658017020012086,-1.2925103619207967,0.3810061174699677,0.3186411779286722,4.296463995424785,4.77373123025475,1.1297950743124143,0.4302892686792194,2.8134211508433022,6.358767805099487,668.8,20.0,5.0,0.6055422259791521,592130.0,0.6266865247246263,0.8426556040189136,0.4123617908453665,3.8725573095957433,0.0133317400954783,0.7934035068875701,3.211917628479004,0.0,0.0,1.0,inf,668.8,0.0,142,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6266865247246263,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,50,descriptor_lightgbm_rdkit_mordred,0.6707309357972716,0.8516511105626934,0.3122969064833716,0.2601584396845346,0.0937655041248035,4.205784154869042,1.088752055138971,-0.7289855012190155,0.2672493381895272,0.3135837421602993,4.296463995424785,4.608760901908158,1.1297950743124143,0.3024021879142309,3.978198401619275,5.163325614190524,668.8,40.0,10.0,0.5426157720998163,540.84,0.6707309357972714,0.8516511105626934,0.2601584396845346,3.31049930584883,,0.7959532056962308,3.057723265733272,0.0,0.0,0.8914295176463216,4.266218433135563,0.0,0.0,150,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6707309357972716,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,50,head_pretrained,0.612626925130763,0.8216908623798413,0.4443886236612424,0.4274577363748073,0.1738733802149252,3.994152343449527,1.240560316727807,-1.6174190568782194,0.3878944953769903,0.3127511119876993,4.296463995424785,4.740852619086029,1.1297950743124143,0.438667917326617,2.364016087055206,6.104441140492757,668.8,40.0,10.0,0.7066638246597722,592130.0,0.612626925130763,0.8216908623798413,0.4274577363748073,3.787592200915019,,0.7864757480554586,2.8438672224680577,0.0,0.0,0.8904045720218755,4.198667277654011,0.0,0.0,151,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.612626925130763,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,100,descriptor_lightgbm_rdkit_mordred,0.6064999059715025,0.7644153647906655,0.2739710285488111,0.5080011041964366,0.204243383977166,3.692373150258884,1.622291465695546,-3.1742743218214224,0.37078296628237,0.3931162619154867,4.296463995424785,4.570435023973597,1.1297950743124143,0.4191275494104385,3.5595361160294283,5.453575353296636,668.8,80.0,20.0,1.2182729527610354,503.32,0.6064999059715024,0.7644153647906655,0.5080011041964366,3.3340590409145854,,0.7984144267518775,2.62989986598606,0.0,0.0,0.8941632430206851,3.68447147632142,0.0,0.0,159,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6064999059715025,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,100,head_pretrained,0.5933073819718111,0.7995827663918067,0.4410130164497295,0.4696065372907741,0.1962941308525431,3.893713150339407,1.2869509383784494,-1.8276496057988707,0.4053705210381029,0.3034517932379743,4.296463995424785,4.737477011874516,1.1297950743124143,0.4569042945923026,1.732286911010742,5.886251532236736,668.8,80.0,20.0,0.997328238298942,592130.0,0.5933073819718111,0.7995827663918067,0.4696065372907741,3.768580073897044,0.1887981961173735,0.8157898105135021,2.931143861198425,0.0,0.0,0.9049010946716431,4.269518277740478,0.0,0.0,160,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5933073819718111,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,250,descriptor_lightgbm_rdkit_mordred,0.5417881451704786,0.6715594441496845,0.2285846182514146,0.6047852350827011,0.3229277040838058,3.1365601473075664,1.4060479790114102,-2.086028183295733,0.4897615014465046,0.4690345498742427,4.296463995424785,4.5250486136762005,1.1297950743124143,0.5531301979019501,3.04381586684837,5.476548211144944,668.8,200.0,50.0,3.2113263050394014,857.86,0.5417881451704786,0.6715594441496845,0.6047852350827011,3.316550654464765,,0.8101036492038345,2.241415467822123,0.0,0.0,0.9072373190838054,3.217445811583953,0.0,0.0,168,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5417881451704786,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,250,head_pretrained,0.5681116042150473,0.7741933422451437,0.4414729698092214,0.5114955568603566,0.22858383494718,3.7559022326423706,1.227430622991072,-1.5350539093614706,0.449480878731153,0.2919407875388325,4.296463995424785,4.737936965234008,1.1297950743124143,0.5079865905720024,0.6762527815500896,5.693815625508627,668.8,200.0,50.0,2.481521183800069,592130.0,0.5681116042150473,0.7741933422451437,0.5114955568603566,3.880577173646291,0.1815902183801954,0.7961688730162991,2.572677238972981,0.0,0.0,0.8962317964966927,3.8367098649342855,0.0,0.0,169,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5681116042150473,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,500,descriptor_lightgbm_rdkit_mordred,0.4969902771422413,0.6027597183436793,0.1881495819175692,0.6530438952980355,0.4230911635696763,2.666672866044256,1.186973905994913,-1.0308392071955126,0.5997765182508537,0.5339930033945328,4.296463995424785,4.484613577342355,1.1297950743124143,0.6774483749422953,2.563358137370193,5.538545935803197,668.8,400.0,100.0,7.948118509118504,1235.38,0.4969902771422413,0.6027597183436793,0.6530438952980355,3.333198704548449,,0.786510611064866,1.7918033266495792,0.0,0.0,0.8910881376260932,2.58028234559761,0.0,0.0,177,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.4969902771422413,budget_curve,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,500,head_pretrained,0.5415680157158334,0.7274725901907432,0.3994108782979228,0.5755062532819774,0.2835117370502923,3.478416229747664,1.1805816990759994,-1.2552399796825529,0.499520266163828,0.3318743019376252,4.296463995424785,4.695874873722708,1.1297950743124143,0.5646841591054533,0.5838041655222574,5.579808390935261,668.8,400.0,100.0,4.655440185158514,592130.0,0.5415680157158334,0.7274725901907432,0.5755062532819774,4.005639192314607,0.1679212462031896,0.7805562417765367,2.2092845975240074,0.0,0.0,0.8864213277480912,3.387231836318969,0.0,0.0,178,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5415680157158334,budget_curve,mean-task weighted MAE,,,,,,,,,,
