fold,stratum,n,weight_sum,descriptor_weighted_mae,blend_weighted_mae,delta_weighted_mae,budget,provenance
0,All,669,4496.998999397697,0.5028947104224021,0.4852376594877717,-0.01765705093463038,500,reused_pilot
0,pEC50 <4,193,745.6201588052071,0.7145373411699001,0.7604266385865331,0.04588929741663306,500,reused_pilot
1,All,669,4503.669508077221,0.48687990592479313,0.47407183776020717,-0.012808068164585962,500,new_fit
1,pEC50 <4,195,662.9217784354705,0.8835218803386461,0.9466874341260527,0.06316555378740663,500,new_fit
2,All,669,4365.681885100077,0.4798752959071766,0.4728301141951998,-0.007045181711976767,500,new_fit
2,pEC50 <4,217,675.5601190860752,0.8701205623901775,0.8829062479951048,0.01278568560492721,500,new_fit
3,All,668,4443.668686479243,0.5342879018175881,0.5151195897316148,-0.01916831208597336,500,new_fit
3,pEC50 <4,214,782.1244122805042,0.8466419697521117,0.8728294739991228,0.026187504247011106,500,new_fit
4,All,669,4385.667432154742,0.4987737263268395,0.48663623761301855,-0.012137488713820921,500,new_fit
4,pEC50 <4,217,763.7466078119862,0.8919855581949647,0.8967339226797,0.004748364484735257,500,new_fit
