lane,split,n_train,method,weighted_mae,mae,bias,spearman,pred_on_observed_slope,pred_on_observed_intercept,observed_on_pred_slope,observed_on_pred_intercept,sd_ratio,iqr_ratio,observed_mean,predicted_mean,observed_sd,predicted_sd,predicted_min,predicted_max,n_test,n_fit,n_calibration,fit_seconds,n_parameters,original_weighted_mae,original_mae,original_spearman,max_absolute_error,ensemble_spread_error_spearman,coverage_80,width_80,unbounded_rows_80,endpoint_boundary_disagreements_80,coverage_90,width_90,unbounded_rows_90,endpoint_boundary_disagreements_90,source_row,source_file,source_metric,value,panel,aggregation
original,chemical_cluster,25,repr_mlp,1.9236292926333027,2.113938136736033,-0.5492733315637262,0.1572496557796091,0.4128329190856813,1.995465848610288,0.0676409624203165,3.976383794707192,3.972876287968586,1.2570870783007433,4.296463995424785,3.74719066386106,1.1297950743124143,4.485695500597421,-29.225067371055484,36.5247170453022,668.8,20.0,5.0,0.2063075866996223,98561.0,1.923629292633303,2.113938136736033,0.1572496557796091,56.92013289068623,0.1742152719861293,0.8024461391119107,8.45179660647114,0.0,0.0,1.0,inf,668.8,0.0,42,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,1.9236292926333027,mlp_learning_curves,mean-task weighted MAE
original,chemical_cluster,50,repr_mlp,1.7567459492554554,2.1274933392701527,-0.1571301233012867,0.2300384911969472,0.0816643974939789,3.824782762053693,0.0817057180720091,3.9120018740696247,6.569889561733189,0.9746372949035184,4.296463995424785,4.139333872123499,1.1297950743124143,7.288460159217514,-29.523356904437147,96.39185204644998,668.8,40.0,10.0,0.2230849211206805,98561.0,1.7567459492554554,2.1274933392701527,0.2300384911969472,111.74890524284598,0.2019467985207908,0.842320157890497,6.303490902362268,0.0,0.0,0.9153415142808554,17.834687166343134,0.0,0.0,46,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,1.7567459492554554,mlp_learning_curves,mean-task weighted MAE
original,chemical_cluster,100,repr_mlp,1.0325916737447725,1.3970288679865257,0.1462976619474717,0.3647935947902093,0.1151392506106317,3.973307067469946,0.1467584875542445,3.678593736776065,5.249191398321797,0.7081267255910205,4.296463995424785,4.442761657372257,1.1297950743124143,5.878125400829108,-28.964005279640357,85.42218223730724,668.8,80.0,20.0,0.2936876557205687,98561.0,1.032591673744773,1.3970288679865257,0.3647935947902093,102.3902098755824,0.2287888532709951,0.8349887668608968,3.6082268558353183,0.0,0.0,0.9144714606661118,6.949982824945449,0.0,0.0,50,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,1.0325916737447725,mlp_learning_curves,mean-task weighted MAE
original,chemical_cluster,250,repr_mlp,0.9547781277968956,1.5185451431243888,0.4624164406082283,0.4701813752940657,-0.1415529304538936,5.414373060762297,0.2240104904161094,3.3208547064357274,8.968451269101712,0.6326496316915872,4.296463995424785,4.758880436033014,1.1297950743124143,10.19966230147843,-48.172068653181206,142.73590259552003,668.8,200.0,50.0,0.5851341677996971,98561.0,0.9547781277968956,1.5185451431243888,0.4701813752940657,174.69562359436352,0.1774191586753183,0.8003626379527938,2.584601323604584,0.0,0.0,0.8981437125748503,3.8342627331703913,0.0,0.0,54,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.9547781277968956,mlp_learning_curves,mean-task weighted MAE
original,chemical_cluster,500,repr_mlp,0.6735031777985091,0.8483193382974834,0.0919454340654258,0.5379890033703948,0.5417780769045364,2.059554293648649,0.4014752420643514,2.510156250099412,2.0971864580927786,0.6154983623993209,4.296463995424785,4.3884094294902125,1.1297950743124143,2.3516259372079293,-29.698276184325422,14.307758182684582,668.8,400.0,100.0,0.9284954085601932,98561.0,0.6735031777985091,0.8483193382974834,0.5379890033703948,39.72979049330445,0.1456478234264997,0.8061062180571592,2.372575098927816,0.0,0.0,0.9011126178137,3.42264570839405,0.0,0.0,58,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6735031777985091,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,25,repr_mlp_stable,1.346971991388088,1.4966652365085218,-0.1790691783154253,0.1884356608776755,0.1352092588174926,3.541092300168282,0.099560156682498,3.896170342180104,2.611505994424981,1.1128689089002946,4.296463995424785,4.117394817109361,1.1297950743124143,2.947193157625323,-6.017053814729056,46.49525663216909,668.8,20.0,5.0,0.2456308630795683,98561.0,1.346971991388088,1.4966652365085218,0.1884356608776755,46.58583180951948,0.1390096216851113,0.7894758017597092,8.277756505974132,0.0,0.0,1.0,inf,668.8,0.0,66,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,1.346971991388088,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,25,repr_mlp_stable_centered,0.7712755901224623,1.1230364346874973,0.6283115661861104,0.1890881838309264,-0.1743842494254087,5.673241031404107,0.1036824108664832,3.845815740926189,2.324877251890731,0.3485493765942893,4.296463995424785,4.924775561610897,1.1297950743124143,2.6293742968382428,2.3364887874794165,50.89554652628522,668.8,20.0,5.0,0.1981167951380484,98561.0,0.7712755901224623,1.1230364346874973,0.1890881838309264,48.653804471725245,0.2274975239962801,0.8311665905856448,7.945639373450295,0.0,0.0,1.0,inf,668.8,0.0,67,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.7712755901224623,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,25,repr_mlp_stable_centered_regularized,0.7712792272995819,1.1230342341117103,0.628255052579762,0.1890939993625156,-0.174329504434749,5.672944656496451,0.1036937831400106,3.8457753804276433,2.324671984006222,0.348465854258993,4.296463995424785,4.924719048004548,1.1297950743124143,2.629152883313334,2.3353649172407547,50.88834918684981,668.8,20.0,5.0,0.2073176010407041,98561.0,0.7712792272995819,1.1230342341117103,0.1890939993625156,48.6468195516209,0.2274606826760112,0.8311665905856448,7.94553198167564,0.0,0.0,1.0,inf,668.8,0.0,68,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.7712792272995819,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,50,repr_mlp_stable,1.023232854797944,1.1857051909196108,-0.0167325247973772,0.2924387922145153,0.297004011362985,3.0032087028028758,0.1829365937041865,3.527768358235335,1.9425242603696933,0.8984281521655549,4.296463995424785,4.279731470627408,1.1297950743124143,2.2021804657934267,-5.471180810282627,31.7496553738912,668.8,40.0,10.0,0.2741122613614425,98561.0,1.023232854797944,1.1857051909196108,0.2924387922145153,31.318228181890312,0.1544835436516382,0.8277221342069225,4.052339132801692,0.0,0.0,0.912471424863278,6.201316576703388,0.0,0.0,72,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,1.023232854797944,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,50,repr_mlp_stable_centered,0.6932510292023301,0.9664347488958032,0.5015037773891077,0.3159752164326362,0.0201746951154381,4.712465312446612,0.301032052825339,2.925945550563252,1.6079627511550785,0.3791263543548744,4.296463995424785,4.797967772813894,1.1297950743124143,1.8161320907024736,1.2545808233238884,33.257572289970284,668.8,40.0,10.0,0.2180204105412121,98561.0,0.6932510292023302,0.9664347488958032,0.3159752164326362,31.6305120485136,0.210887534951213,0.8260694306454357,3.400751611372716,0.0,0.0,0.9132875057060766,5.235087822559839,0.0,0.0,73,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6932510292023301,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,50,repr_mlp_stable_centered_regularized,0.6932473133200862,0.9664213417319492,0.5014973970766312,0.3159573303712031,0.0201607660597208,4.712517347317851,0.3010482784045094,2.925874709991847,1.6078929846239816,0.3791627333891393,4.296463995424785,4.797961392501417,1.1297950743124143,1.8160513964021976,1.2557762760090458,33.256592470299964,668.8,40.0,10.0,0.2217306898598326,98561.0,0.6932473133200862,0.9664213417319492,0.3159573303712031,31.62841032697351,0.2109658575926238,0.8260395352792174,3.4010268294124653,0.0,0.0,0.9132875057060766,5.235011602896815,0.0,0.0,74,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6932473133200862,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,100,repr_mlp_stable,0.7949397595177189,0.9453834445443036,0.1029130078484661,0.3936307743387782,0.3146024211858531,3.0514769766731096,0.3266594025977703,2.8760926870631054,1.4456534862362338,0.6942441113535486,4.296463995424785,4.399377003273253,1.1297950743124143,1.631185982992543,-3.59547320091476,21.83455426216125,668.8,80.0,20.0,0.3549556850196677,98561.0,0.794939759517719,0.9453834445443036,0.3936307743387782,21.653649564836087,0.1768731385707765,0.8379176176794394,3.346988849425316,0.0,0.0,0.9244885117657062,5.575135493940114,0.0,0.0,78,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.7949397595177189,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,100,repr_mlp_stable_centered,0.6374586968374466,0.8651301000764496,0.4291538783148663,0.4225711517534799,0.1638862407197167,4.02129724048186,0.5257296485762178,1.8344995187153967,1.0813242974989492,0.3834908573736256,4.296463995424785,4.725617873739652,1.1297950743124143,1.2232978030190402,-0.2470298477431289,20.99768618663945,668.8,80.0,20.0,0.271731413679081,98561.0,0.6374586968374465,0.8651301000764496,0.4225711517534799,19.733232537446312,0.1892542331473706,0.8183245616390536,2.997914465355906,0.0,0.0,0.9126863313731284,4.616265000059041,0.0,0.0,79,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6374586968374466,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,100,repr_mlp_stable_centered_regularized,0.6374437625094879,0.8651045599970831,0.4291243315666589,0.4225874039628652,0.163920259434087,4.021120834308464,0.5257884672493989,1.8342273883834737,1.081190358509896,0.3834586156365222,4.296463995424785,4.725588326991445,1.1297950743124143,1.2231505672866438,-0.2471351497292667,20.9936815392057,668.8,80.0,20.0,0.2776044865397853,98561.0,0.6374437625094879,0.8651045599970831,0.4225874039628652,19.72961611883133,0.1892605259001937,0.8183245616390536,2.997781169601314,0.0,0.0,0.9126863313731284,4.6160121560879865,0.0,0.0,80,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6374437625094879,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,250,repr_mlp_stable,0.6505664479775539,0.7726449906719965,0.1491899594794089,0.5002330492171755,0.4417297883538401,2.550220271960501,0.5635911099040931,1.790742573222494,0.9289808517158468,0.6268627306716916,4.296463995424785,4.445653954904195,1.1297950743124143,1.049395733804379,-3.3024164109677083,8.396582134564717,668.8,200.0,50.0,0.7461371345390216,98561.0,0.6505664479775539,0.7726449906719965,0.5002330492171755,8.692371709926755,0.1346132021645335,0.7967997637012971,2.4055990672429406,0.0,0.0,0.8966802269899662,3.4611739095687866,0.0,0.0,84,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.6505664479775539,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,250,repr_mlp_stable_centered,0.5784839203339538,0.7521198523083159,0.3335399272526999,0.5131260920869054,0.3158374079540994,3.2749217068221,0.8188313467248695,0.499625319216517,0.7007844306363269,0.424844583028776,4.296463995424785,4.630003922677486,1.1297950743124143,0.793443276941329,-0.841413937009547,8.492461398644076,668.8,200.0,50.0,0.6609287429001415,98561.0,0.5784839203339538,0.7521198523083159,0.5131260920869054,7.513107240775171,0.1519889893776041,0.8089162034675045,2.4838067041219807,0.0,0.0,0.907989402361197,3.715007745525387,0.0,0.0,85,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5784839203339538,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,250,repr_mlp_stable_centered_regularized,0.5790315685731303,0.7533996104986496,0.3383069889216449,0.5117004405019334,0.3104282708461408,3.30283318698888,0.819652307184628,0.4923868564132888,0.6978679057920096,0.4220624121942911,4.296463995424785,4.634770984346431,1.1297950743124143,0.7898760981487045,-0.7196441241077323,8.691136218908255,668.8,200.0,50.0,0.6825038507598219,98561.0,0.5790315685731303,0.7533996104986496,0.5117004405019334,7.674677784162465,0.1562188497078144,0.8092749926156655,2.4908935304375373,0.0,0.0,0.9055651924849852,3.69471664587958,0.0,0.0,86,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5790315685731303,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,500,repr_mlp_stable,0.5930657722943243,0.7122583904570557,0.1802905042260804,0.5525717984603041,0.4544732171191437,2.5268138300919647,0.7093616938173333,1.1213886690637431,0.8345657261379903,0.6056313368863044,4.296463995424785,4.476754499650867,1.1297950743124143,0.9426298969158534,-1.6000195804238315,7.599297628402711,668.8,400.0,100.0,1.1980899823986693,98561.0,0.5930657722943243,0.7122583904570557,0.5525717984603041,6.6522817690390665,0.118540348910913,0.811934292849279,2.2922255649765337,0.0,0.0,0.9007242913276584,3.214396302413941,0.0,0.0,90,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5930657722943243,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,500,repr_mlp_stable_centered,0.5527424431874324,0.7095571446710125,0.3104669855139443,0.5591865568386142,0.3612743882225752,3.056053874932488,0.8754467951569199,0.2574214760892755,0.676996301139528,0.4515958554547136,4.296463995424785,4.60693098093873,1.1297950743124143,0.7651011863713794,-0.3957444430187865,7.262047957301585,668.8,400.0,100.0,1.1175430257598054,98561.0,0.5527424431874324,0.7095571446710125,0.5591865568386142,6.118834046279364,0.1363484666611738,0.8011386643752852,2.2355985245535925,0.0,0.0,0.9046114049927052,3.4234735281868307,0.0,0.0,91,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5527424431874324,mlp_learning_curves,mean-task weighted MAE
readouts,chemical_cluster,500,repr_mlp_stable_centered_regularized,0.5521997616548587,0.7087290373394315,0.3088423142661526,0.561690850705091,0.3687727799589406,3.021120755312294,0.8803913125159007,0.2349938043697507,0.7114879179757445,0.4551859891629644,4.296463995424785,4.605306309690938,1.1297950743124143,0.8020062607770355,-1.3173330915764498,7.110311205308086,668.8,400.0,100.0,1.1298822244798066,98561.0,0.5521997616548586,0.7087290373394315,0.561690850705091,7.025385612007625,0.130859085555531,0.7988059307394181,2.2106498530476286,0.0,0.0,0.9051187759011126,3.41884429398713,0.0,0.0,92,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5521997616548587,mlp_learning_curves,mean-task weighted MAE
