split,isoform,recipe,subgroup,fold,n,mae,bias,spearman,pred_sd,y_sd
butina,CYP1A2,additive,all,pooled,1412,0.7354692651148563,0.0002835537861731332,0.26509003246685586,0.2853530604119414,1.0301112449331375
butina,CYP1A2,additive,all,0,275,0.7733829541914495,-0.03342798769352153,0.36484406104844064,0.258472570484037,1.0821370438132905
butina,CYP1A2,additive,all,1,272,0.6818678594335769,0.011534621707039061,0.24385848577296368,0.30806700593498904,0.9514788101191638
butina,CYP1A2,additive,all,2,300,0.7497880862466618,0.11189606990601966,0.26101890021000235,0.2934389368773304,1.0535796022197335
butina,CYP1A2,additive,all,3,285,0.7281883184265994,-0.055740330620808395,0.32824729014499215,0.2679797203827821,1.0360617096249403
butina,CYP1A2,additive,all,4,280,0.7423719126714867,-0.040097033169268735,0.12831012786241808,0.2885525476332997,1.0114325093649605
butina,CYP1A2,additive,MW<215,pooled,22,0.5378667982016779,-0.16663772914287073,0.29983060417843027,0.24960589258889765,0.650216347891422
butina,CYP1A2,additive,MW<215,0,6,0.5634296206652717,-0.22837253607694752,-0.08571428571428573,0.19886948204518848,0.5290750915710384
butina,CYP1A2,additive,MW<215,1,8,0.43804741917582946,-0.22517914290962882,0.4761904761904762,0.25439436622624767,0.5247635148757049
butina,CYP1A2,additive,MW<215,2,1,0.7311979347770858,-0.7311979347770858,,0.0,0.0
butina,CYP1A2,additive,MW<215,3,4,0.46041937293482427,-0.35417627360920534,0.0,0.2930571034869175,0.4606973310317941
butina,CYP1A2,additive,MW<215,4,3,0.7917456855074225,0.5511804492698222,0.5,0.1746162846602509,0.7639480142616965
butina,CYP1A2,additive,MW>=215,pooled,1390,0.7385967861739138,0.0029254733721004508,0.2636570177985987,0.28556030947043776,1.034420348233726
butina,CYP1A2,additive,MW>=215,0,269,0.7780659281734461,-0.029079782153370776,0.3727249748777796,0.25899322014750636,1.0902329659053187
butina,CYP1A2,additive,MW>=215,1,264,0.6892563576232057,0.018707766089362334,0.23454010656822907,0.3094023993576763,0.9600867156088162
butina,CYP1A2,additive,MW>=215,2,299,0.7498502606662925,0.11471578229626414,0.26357433054252427,0.2938676671993426,1.05447077053481
butina,CYP1A2,additive,MW>=215,3,281,0.731999976013671,-0.05149213214410524,0.32560330560633427,0.2657425854440613,1.0397799219405977
butina,CYP1A2,additive,MW>=215,4,277,0.7418371786696535,-0.04650076041590148,0.1259749381471122,0.28954056842322773,1.0119296096113286
butina,CYP1A2,inhibitor,all,pooled,1412,0.6389364601271329,0.0009980125376505417,0.5292682590913435,0.5576747067734152,1.0301112449331375
butina,CYP1A2,inhibitor,all,0,275,0.6704236734530906,-0.05784721290279356,0.5368592943077234,0.5636289884827204,1.0821370438132905
butina,CYP1A2,inhibitor,all,1,272,0.5977384726999941,0.05503378226205455,0.5073508540515268,0.527166154887968,0.9514788101191638
butina,CYP1A2,inhibitor,all,2,300,0.6415322605772006,0.058701817470617285,0.5622920254669496,0.5433189988223557,1.0535796022197335
butina,CYP1A2,inhibitor,all,3,285,0.6459456155281827,-0.047520221125315135,0.5465229359224911,0.5647097310129674,1.0360617096249403
butina,CYP1A2,inhibitor,all,4,280,0.638116886881504,-0.006140334801137204,0.5083468630248564,0.5774552703048044,1.0114325093649605
butina,CYP1A2,inhibitor,MW<215,pooled,22,0.434637625598144,0.10601252102464924,0.35177865612648224,0.2370601198831269,0.650216347891422
butina,CYP1A2,inhibitor,MW<215,0,6,0.3941565403099383,0.13037594803277056,-0.4285714285714286,0.045141296748217936,0.5290750915710384
