lane,split,n_train,method,stratum,prediction_rows,unique_compounds,chemical_groups,effective_n_identity,effective_n_cluster,sparse,weighted_mae,mae,bias,weighted_bias,weight_sum,weight_share
readouts,chemical_cluster,-1,repr_mlp_stable,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.511014238648367,0.6378450021732366,0.24970448417769106,0.018379976311788154,221956.86511208978,1.0
readouts,chemical_cluster,-1,repr_mlp_stable,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,0.9850619491636,1.1311534836976471,0.9722111146506869,0.8227232020508143,36299.730764192434,0.16354407756597578
readouts,chemical_cluster,-1,repr_mlp_stable,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.4183283080940388,0.41641190561375246,-0.07460958392023945,-0.138885418518752,185657.13434789734,0.8364559224340242
readouts,chemical_cluster,-1,repr_mlp_stable,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.2089749256542868,1.2086674152074433,-1.2086674152074433,-1.2089749256542868,5565.977961432507,0.025076845262802072
readouts,chemical_cluster,-1,repr_mlp_stable,"novelty_[0,0.2)",208,39,32,15.180064056421697,7.742842710244153,True,1.0461143100662251,1.0978584871128296,0.29521504366507706,-0.2755445253314661,1019.7514963652806,0.004594367900494084
readouts,chemical_cluster,-1,repr_mlp_stable,"novelty_[0.2,0.35)",23745,2858,1895,2103.400728468768,1189.5775339646748,False,0.4954210095585581,0.6136824223473809,0.21380610406422518,-0.005781164693197935,165118.50162164523,0.743921579259372
readouts,chemical_cluster,-1,repr_mlp_stable,"novelty_[0.35,0.5)",8008,1003,511,742.945581766181,271.45546045887085,False,0.5434478826972486,0.6867307154524661,0.33435435803902713,0.08701654941474604,49036.35525147844,0.2209274095969716
readouts,chemical_cluster,-1,repr_mlp_stable,"novelty_[0.5,0.7)",1431,172,91,121.27225640382227,50.42224772076024,False,0.5761641294073486,0.6876703565089597,0.34263435230953776,0.1449800921633556,6602.051850361735,0.02974475174276611
readouts,chemical_cluster,-1,repr_mlp_stable,"novelty_[0.7,1]",48,6,5,3.234473979325862,2.9019427125586414,True,0.5582431212601072,0.956194566819403,0.9180796558989419,0.5049008385248402,180.20489223906384,0.0008118915003960752
readouts,chemical_cluster,-1,repr_mlp_stable_centered,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.4986425020909763,0.6324869344732043,0.27667196115823434,0.03755417818438226,221956.86511208978,1.0
readouts,chemical_cluster,-1,repr_mlp_stable_centered,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,1.0103600590132398,1.1550834254875704,1.0275796741596435,0.869130400931278,36299.730764192434,0.16354407756597578
readouts,chemical_cluster,-1,repr_mlp_stable_centered,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.39859135345705976,0.39790722706814213,-0.06039059979040491,-0.12503581924093513,185657.13434789734,0.8364559224340242
