lane,split,n_train,method,weighted_mae,mae,bias,spearman,pred_on_observed_slope,pred_on_observed_intercept,observed_on_pred_slope,observed_on_pred_intercept,sd_ratio,iqr_ratio,observed_mean,predicted_mean,observed_sd,predicted_sd,predicted_min,predicted_max,n_test,n_fit,n_calibration,fit_seconds,n_parameters,original_weighted_mae,original_mae,original_spearman,max_absolute_error,ensemble_spread_error_spearman,coverage_80,width_80,unbounded_rows_80,endpoint_boundary_disagreements_80,coverage_90,width_90,unbounded_rows_90,endpoint_boundary_disagreements_90
baselines,chemical_cluster,-1,descriptor_lightgbm_rdkit_mordred,0.44943360623451634,0.5497384577927434,0.19184834903207557,0.7031036437479069,0.49854508362398225,2.346795605604554,1.1167951133163878,-0.7171057203445309,0.6687675315951179,0.5577963369572863,4.296463995424785,4.488312344456862,1.1297950743124145,0.7554598036466742,2.4377942079177615,5.525895183042057,668.8,2140.0,535.2,58.91360366123874,1540.0,0.44943360623451634,0.5497384577927434,0.7031036437479069,3.320129079520926,,0.7968858247630299,1.6322766693139954,0.0,0.0,0.8963209007992983,2.338364343690967,0.0,0.0
baselines,chemical_cluster,-1,native_affine,0.624165994934499,0.8237141057540704,0.3800694975592079,0.383517850066789,0.11019281176535545,4.20280956202345,1.3088662256118329,-1.8242624781215029,0.2925267750165337,0.2586589891472984,4.296463995424785,4.676533492983993,1.1297950743124145,0.3296056237343323,3.652721338272095,6.247054080963135,668.8,2140.0,535.2,0.004006946080771741,2.0,0.6241659949344988,0.8237141057540704,0.383517850066789,3.5811401557922364,,0.8002914798206276,2.70680470123291,0.0,0.0,0.8997011805984444,4.037928123092652,0.0,0.0
baselines,chemical_cluster,-1,weighted_median,0.633816094588317,0.9219654150071461,0.6194360045752139,,-2.126902729689914e-33,4.915900000000001,,,3.0038234307612916e-16,0.0,4.296463995424785,4.915900000000001,1.1297950743124145,3.375077994860476e-16,4.915900000000001,4.915900000000001,668.8,2140.0,535.2,0.005105671220517252,1.0,0.633816094588317,0.9219654150071461,,3.2719,,0.8008025205194991,3.477199999999999,0.0,0.0,0.8999120145359507,4.9342,0.0,0.0
baselines,chemical_cluster,25,descriptor_lightgbm_rdkit_mordred,0.7201607980085774,0.8977254536045974,0.27593085165452413,,0.05288731677288777,4.344189402011251,,,0.16802528041115203,0.19046382400034154,4.296463995424785,4.572394847079311,1.1297950743124145,0.18870538164406625,4.181303742308304,4.960614286718736,668.8,20.0,5.0,0.3553723569388967,229.96,0.7201607980085774,0.8977254536045974,,3.2327159795026215,,0.8215979252257817,3.7069179144542113,0.0,0.0,1.0,inf,668.8,0.0
baselines,chemical_cluster,25,native_affine,0.6689670426908099,0.84710368760475,0.32438969995292927,0.3835180670151614,0.12512762485476991,4.083341215202537,2.663470160592823,-7.92478616045102,0.33150084810232805,0.2906982425680143,4.296463995424785,4.620853695377715,1.1297950743124145,0.3752811284416908,3.4734883642196657,6.421764640808106,668.8,20.0,5.0,0.0042712572400341745,2.0,0.6689670426908098,0.84710368760475,0.3835180670151614,3.676890402984619,,0.8356665145046229,3.633765618515015,0.0,0.0,1.0,inf,668.8,0.0
baselines,chemical_cluster,25,weighted_median,0.6672170008903793,0.9389914893159276,0.581336004575214,,8.438256727309905e-33,4.8778,,,3.0223624127294544e-16,0.0,4.296463995424785,4.8778,1.1297950743124145,3.375077994860476e-16,4.8778,4.8778,668.8,20.0,5.0,0.0037103246993501673,1.0,0.6672170008903793,0.9389914893159276,,3.252542168674699,,0.8368301066029376,4.1724,0.0,0.04,1.0,inf,668.8,0.0
baselines,chemical_cluster,50,descriptor_lightgbm_rdkit_mordred,0.6898499749003676,0.8460158482438813,0.24249794357145685,0.2905509439177484,0.12323842577563023,4.010178377233771,1.0654864421891044,-0.6005560743165755,0.3319537229799654,0.3695103331024743,4.296463995424785,4.538961938996243,1.1297950743124145,0.3759977818650036,3.715811784129195,5.212238871826532,668.8,40.0,10.0,0.6079941281792708,648.84,0.6898499749003675,0.8460158482438813,0.2905509439177484,3.3207995230893816,,0.820205866294317,3.1991170496167594,0.0,0.04,0.9254851731514548,4.618934817809605,0.0,0.02
baselines,chemical_cluster,50,native_affine,0.6441225979934226,0.8353790998877163,0.357952578548705,0.3835178710308329,0.11649035492541868,4.153703408205506,1.4488523118641448,-2.4937496880767394,0.30968272416061515,0.2726591415981485,4.296463995424785,4.654416573973491,1.1297950743124145,0.34976108436433706,3.578753981590271,6.3423493957519534,668.8,40.0,10.0,0.003228882341063581,2.0,0.6441225979934225,0.8353790998877163,0.3835178710308329,3.6242883800506593,,0.8362374801965576,3.3381175319671628,0.0,0.0,0.9263535708851356,4.741195612335206,0.0,0.0
baselines,chemical_cluster,50,weighted_median,0.6553650166916098,0.9381222703547469,0.6137360045752139,,2.3988009923369763e-32,4.9102,,,4.577598087532129e-16,0.0,4.296463995424785,4.9102,1.1297950743124145,5.151434834260726e-16,4.9102,4.9102,668.8,40.0,10.0,0.0047289659001398835,1.0,0.6553650166916098,0.9381222703547469,,3.274542168674698,,0.8334952516491682,4.0462,0.0,0.12,0.923664241024677,5.4052,0.0,0.18
baselines,chemical_cluster,100,descriptor_lightgbm_rdkit_mordred,0.6091327763816488,0.744579152132391,0.21608255061526077,0.5185526416181674,0.2411939940883687,3.476582311126994,1.4383900564103476,-2.242028495139433,0.4260148163735931,0.44654154387552597,4.296463995424785,4.512546546040047,1.1297950743124145,0.4820652079521334,3.310123121592209,5.480363379066099,668.8,80.0,20.0,1.281238110239792,650.62,0.6091327763816488,0.744579152132391,0.5185526416181674,3.356062896496912,,0.8061476598372761,2.6540256544312224,0.0,0.0,0.9203305944165482,3.961789681558577,0.0,0.0
