scope,budget,fold,feature,target,method,adjustment,actual_covariates,n,nuisance_rank,correlation
native_unique,unique,pooled,norm_l2,MW,pearson,none,,3344,1,-0.41638995505307047
native_unique,unique,pooled,norm_l2,MW,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.31377020963572805
native_unique,unique,pooled,norm_l2,MW,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.31377020963572805
native_unique,unique,pooled,norm_l2,MW,spearman,none,,3344,1,-0.31490397784609336
native_unique,unique,pooled,norm_l2,MW,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.19371986891264642
native_unique,unique,pooled,norm_l2,MW,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.19371986891264642
native_unique,unique,pooled,norm_l2,heavy_atoms,pearson,none,,3344,1,-0.421709413603772
native_unique,unique,pooled,norm_l2,heavy_atoms,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.32272659723374225
native_unique,unique,pooled,norm_l2,heavy_atoms,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.08300834208557216
native_unique,unique,pooled,norm_l2,heavy_atoms,spearman,none,,3344,1,-0.31462486802639306
native_unique,unique,pooled,norm_l2,heavy_atoms,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.19752826361059736
native_unique,unique,pooled,norm_l2,heavy_atoms,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.05470047688213311
native_unique,unique,pooled,norm_l2,prepared_formal_charge,pearson,none,,3344,1,0.07085644490985483
native_unique,unique,pooled,norm_l2,prepared_formal_charge,pearson,fold_potency_charge,fold;y_true,3344,6,0.09639194276039068
native_unique,unique,pooled,norm_l2,prepared_formal_charge,pearson,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.1570448276118993
native_unique,unique,pooled,norm_l2,prepared_formal_charge,spearman,none,,3344,1,0.10227387696674971
native_unique,unique,pooled,norm_l2,prepared_formal_charge,spearman,fold_potency_charge,fold;y_true,3344,6,0.12928188546496963
native_unique,unique,pooled,norm_l2,prepared_formal_charge,spearman,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.15963711736289837
native_unique,unique,pooled,norm_l2,prepared_is_charged,pearson,none,,3344,1,0.30243795419786373
native_unique,unique,pooled,norm_l2,prepared_is_charged,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,
native_unique,unique,pooled,norm_l2,prepared_is_charged,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,
native_unique,unique,pooled,norm_l2,prepared_is_charged,spearman,none,,3344,1,0.31328427107234325
native_unique,unique,pooled,norm_l2,prepared_is_charged,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.002129678905997084
native_unique,unique,pooled,norm_l2,prepared_is_charged,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,0.00010381548618945398
native_unique,unique,pooled,norm_l2,y_true,pearson,none,,3344,1,-0.3649195903311086
native_unique,unique,pooled,norm_l2,y_true,pearson,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.29491262432077325
native_unique,unique,pooled,norm_l2,y_true,pearson,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.19934123340157583
native_unique,unique,pooled,norm_l2,y_true,spearman,none,,3344,1,-0.43215375644681897
native_unique,unique,pooled,norm_l2,y_true,spearman,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.3732850636844768
native_unique,unique,pooled,norm_l2,y_true,spearman,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.31928710728257526
native_unique,unique,pooled,norm_l2,native_cached,pearson,none,,3344,1,-0.3576859051526465
native_unique,unique,pooled,norm_l2,native_cached,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.2347346788150908
native_unique,unique,pooled,norm_l2,native_cached,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.13431515889080362
native_unique,unique,pooled,norm_l2,native_cached,spearman,none,,3344,1,-0.5255364769693797
native_unique,unique,pooled,norm_l2,native_cached,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.41564144699523864
native_unique,unique,pooled,norm_l2,native_cached,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.3843559922672592
native_unique,unique,pooled,centered_norm_l2,MW,pearson,none,,3344,1,-0.3475611302002304
native_unique,unique,pooled,centered_norm_l2,MW,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.25697418916412024
native_unique,unique,pooled,centered_norm_l2,MW,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.25697418916412024
native_unique,unique,pooled,centered_norm_l2,MW,spearman,none,,3344,1,-0.15524915942531767
native_unique,unique,pooled,centered_norm_l2,MW,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.08348169418556366
native_unique,unique,pooled,centered_norm_l2,MW,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.08348169418556366
native_unique,unique,pooled,centered_norm_l2,heavy_atoms,pearson,none,,3344,1,-0.36103684249432716
native_unique,unique,pooled,centered_norm_l2,heavy_atoms,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.2744604209247869
native_unique,unique,pooled,centered_norm_l2,heavy_atoms,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.10058699467988372
native_unique,unique,pooled,centered_norm_l2,heavy_atoms,spearman,none,,3344,1,-0.18459647508973903
native_unique,unique,pooled,centered_norm_l2,heavy_atoms,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.11764024922196435
native_unique,unique,pooled,centered_norm_l2,heavy_atoms,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.09719024554961025
native_unique,unique,pooled,centered_norm_l2,prepared_formal_charge,pearson,none,,3344,1,0.047998961646578645
native_unique,unique,pooled,centered_norm_l2,prepared_formal_charge,pearson,fold_potency_charge,fold;y_true,3344,6,0.06559972777871652
native_unique,unique,pooled,centered_norm_l2,prepared_formal_charge,pearson,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.11379793127730199
native_unique,unique,pooled,centered_norm_l2,prepared_formal_charge,spearman,none,,3344,1,0.03391250972834068
