budget,subset,model_a,model_b,weighted_mae_delta,mae_delta,fold_wins_for_a
100,full,native_mw,mw,-0.02038061417275938,-0.029827082788232984,5
100,full,native_mw,native,-0.016219468793477132,-0.0480067858807014,5
100,full,native_mw_interaction,native_mw,-0.01872401100455956,-0.03226045227444374,5
100,full,head_only,native_mw,-0.016126097431116815,0.014086544238159582,5
100,full,head_plus_lora,native_mw,-0.022440882484795144,-0.013070078034769894,5
100,full,head_plus_lora,native_mw_interaction,-0.003716871480235584,0.019190374239673846,2
100,lt215,native_mw,mw,-0.08507346468255328,-0.0991834489490151,3
100,lt215,native_mw,native,-0.5686498986444695,-0.6243775480494449,5
100,lt215,native_mw_interaction,native_mw,-0.1782696306689464,-0.27573740360309795,5
100,lt215,head_only,native_mw,0.21390313632390745,0.22190372578171336,1
100,lt215,head_plus_lora,native_mw,0.0867499563698857,0.06113885821641363,1
100,lt215,head_plus_lora,native_mw_interaction,0.2650195870388321,0.3368762618195116,0
100,gt215,native_mw,mw,-0.01862875553895804,-0.0245366229298144,4
100,gt215,native_mw,native,-0.0012598556293844654,-0.004041587736512975,3
100,gt215,native_mw_interaction,native_mw,-0.014403574216078519,-0.013688184020536398,5
100,gt215,head_only,native_mw,-0.022355204604550538,-0.001765619271921981,5
100,gt215,head_plus_lora,native_mw,-0.025397730301396138,-0.01873068887852003,5
100,gt215,head_plus_lora,native_mw_interaction,-0.010994156085317619,-0.005042504857983632,3
500,full,native_mw,mw,-0.020032123447529582,-0.031762702622269545,5
500,full,native_mw,native,-0.0173320526623697,-0.03761034814308506,5
500,full,native_mw_interaction,native_mw,-0.01756162219913715,-0.039604857447735786,5
500,full,head_only,native_mw,-0.023112365736005502,0.005100075170748397,5
500,full,head_plus_lora,native_mw,-0.03935207244239092,-0.031585369191107104,5
500,full,head_plus_lora,native_mw_interaction,-0.021790450243253767,0.008019488256628682,5
500,lt215,native_mw,mw,-0.14527429574410977,-0.1536422980128367,5
500,lt215,native_mw,native,-0.4070947429010825,-0.4340959914152458,5
500,lt215,native_mw_interaction,native_mw,-0.2999861061517882,-0.4137253618284358,5
500,lt215,head_only,native_mw,0.15682599107704354,0.1391244303713577,0
500,lt215,head_plus_lora,native_mw,0.015793478417065687,-0.030950394070479836,2
500,lt215,head_plus_lora,native_mw_interaction,0.3157795845688539,0.38277496775795594,0
500,gt215,native_mw,mw,-0.016640611416063766,-0.022465803971621234,4
500,gt215,native_mw,native,-0.006777422148370182,-0.007366673390750922,4
500,gt215,native_mw_interaction,native_mw,-0.009913670892146675,-0.011067181381361313,4
500,gt215,head_only,native_mw,-0.02798503035737998,-0.005123218096887205,5
500,gt215,head_plus_lora,native_mw,-0.04084539370784113,-0.031633804692744905,5
500,gt215,head_plus_lora,native_mw_interaction,-0.03093172281569445,-0.02056662331138359,5
