budget,method,subset,n,mae,weighted_mae,spearman,bias,weight_sum,coverage_80,coverage_90
100,descriptor_lightgbm_rdkit_mordred,full,3344,0.745000612973059,0.6102662645055483,0.5005957956381644,0.20569772292405983,22195.68651120898,0.7601674641148325,0.8447966507177034
100,descriptor_lightgbm_rdkit_mordred,lt215,237,1.2415360315501938,1.0518200539535631,0.025583402537394093,1.1995490627325749,585.2039319455,0.4219409282700422,0.6455696202531646
100,descriptor_lightgbm_rdkit_mordred,gt215,3107,0.7071252044752216,0.5983091500448854,0.42563516163340814,0.12988736967828637,21610.48257926348,0.7859671709044094,0.8599935629224332
100,head_only,full,3344,0.790666107582848,0.5894197050700019,0.44362407343041005,0.44173845876446577,22195.68651120898,0.777511961722488,0.8914473684210527
100,head_only,lt215,237,1.344150538867033,1.1651569375569275,0.08443273094865454,1.2809627231968104,585.2039319455,0.48523206751054854,0.7763713080168776
100,head_only,gt215,3107,0.7484466643210675,0.5738289522497909,0.3520004145795644,0.3777229612844318,21610.48257926348,0.7998068876729965,0.9002252977148375
100,head_plus_lora,full,3344,0.7635094853099186,0.5831049200163235,0.49427391570382956,0.3931617019517267,22195.68651120898,0.7888755980861244,0.8974282296650717
100,head_plus_lora,lt215,237,1.1833856713017332,1.0380037576029058,0.08591437069938314,1.0297804507323962,585.2039319455,0.5569620253164557,0.810126582278481
100,head_plus_lora,gt215,3107,0.7314815947144695,0.5707864265529453,0.41013060863937684,0.3446008253952354,21610.48257926348,0.8065658191181204,0.9040875442549082
100,mw,full,3344,0.8064066461329215,0.625926416673878,0.31844147698098035,0.3687063878882796,22195.68651120898,0.7544856459330144,0.8690191387559809
100,mw,lt215,237,1.2214302620343347,1.0363272659155733,0.09115223570622666,1.1919336145482144,585.2039319455,0.5232067510548524,0.8016877637130801
100,mw,gt215,3107,0.7747489065228039,0.6148129123932995,0.1921927120064482,0.305911134358056,21610.48257926348,0.7721274541358223,0.8741551335693595
100,native,full,3344,0.8245863492253899,0.6217652712945958,0.3770622505913984,0.3993331615718569,22195.68651120898,0.7769138755980861,0.8917464114832536
100,native,lt215,237,1.7466243611347645,1.5199036998774895,0.04281835205391293,1.745714245307726,585.2039319455,0.3206751054852321,0.6244725738396625
100,native,gt215,3107,0.7542538713295025,0.5974440124837259,0.2986955687272843,0.2966320618469129,21610.48257926348,0.8117154811715481,0.9121338912133892
100,native_continuous,full,3344,0.9141240809370189,0.6272246217981062,0.38687161269746456,0.7126681299111186,22195.68651120898,0.8005382775119617,0.8932416267942583
100,native_continuous,lt215,237,2.069383531159992,1.8340966011725874,0.027688678116217252,2.069383531159992,585.2039319455,0.29957805907172996,0.6413502109704642
100,native_continuous,gt215,3107,0.8260016188504901,0.5945429718120712,0.3080708264337624,0.6091787349655174,21610.48257926348,0.8387512069520437,0.9124557450917283
100,native_mw,full,3344,0.7765795633446885,0.6055458025011187,0.4214718706378023,0.34627217331556165,22195.68651120898,0.7535885167464115,0.8758971291866029
100,native_mw,lt215,237,1.1222468130853196,0.9512538012330201,0.07912866798947489,1.069307175392404,585.2039319455,0.5358649789029536,0.8607594936708861
100,native_mw,gt215,3107,0.7502122835929895,0.5961841568543415,0.3215706833390389,0.29111951947191456,21610.48257926348,0.770196330865787,0.8770518184744126
100,native_mw_interaction,full,3344,0.7443191110702447,0.5868217914965591,0.4219989276615789,0.31465035732057567,22195.68651120898,0.7592703349282297,0.8696172248803827
100,native_mw_interaction,lt215,237,0.8465094094822216,0.7729841705640736,0.11154308725161204,0.6179712533875532,585.2039319455,0.6877637130801688,0.869198312236287
100,native_mw_interaction,gt215,3107,0.7365240995724531,0.5817805826382629,0.31977635980587155,0.2915132307135999,21610.48257926348,0.76472481493402,0.8696491792726102
100,repr_ridge_stable,full,3344,0.7662503089572238,0.6186101546473791,0.4604780782076697,0.24146230335984958,22195.68651120898,0.8038277511961722,0.8971291866028708
100,repr_ridge_stable,lt215,237,1.3879179477631614,1.2452923999272851,0.020418411143445215,1.0348131426278482,585.2039319455,0.5443037974683544,0.7510548523206751
100,repr_ridge_stable,gt215,3107,0.7188298936379424,0.6016398295899394,0.3973627092292964,0.1809460018128539,21610.48257926348,0.8236240746700998,0.9082716446733183
500,descriptor_lightgbm_rdkit_mordred,full,3344,0.5996355491166773,0.5005882644475288,0.6568631517488387,0.1696963755822231,22195.68651120898,0.7787081339712919,0.8785885167464115
500,descriptor_lightgbm_rdkit_mordred,lt215,237,0.6728262243647153,0.604453579649516,0.21825568143620114,0.5402413386942405,585.2039319455,0.6624472573839663,0.890295358649789
500,descriptor_lightgbm_rdkit_mordred,gt215,3107,0.5940526105798942,0.49777562985568086,0.5927229937284727,0.14143143954825205,21610.48257926348,0.7875764402961055,0.877695526231091
500,head_only,full,3344,0.7932207027253083,0.577255604876789,0.47263051257899164,0.4698594803540598,22195.68651120898,0.7616626794258373,0.8905502392344498
500,head_only,lt215,237,1.507910830059132,1.3196922187966709,0.07882034989105738,1.4531542293934883,585.2039319455,0.31645569620253167,0.6835443037974683
500,head_only,gt215,3107,0.7387045906628315,0.5571506940265739,0.38657293240388024,0.3948543771927001,21610.48257926348,0.7956227872545865,0.9063405214032829
500,head_plus_lora,full,3344,0.7565352583634528,0.5610158981704035,0.5292908557846769,0.42068885922246396,22195.68651120898,0.7595693779904307,0.8935406698564593
500,head_plus_lora,lt215,237,1.3378360056172944,1.178659706136693,0.06856651933140592,1.1891101528119437,585.2039319455,0.38396624472573837,0.70042194092827
500,head_plus_lora,gt215,3107,0.7121940040669738,0.5442903306761128,0.4521709126809079,0.3620741676934306,21610.48257926348,0.7882201480527841,0.9082716446733183
500,mw,full,3344,0.8198833301768295,0.620400094060324,0.342133386052969,0.3973362528681083,22195.68651120898,0.7586722488038278,0.8851674641148325
