record_id,y_pred,affinity_module,affinity_module2,y_true,assay_se,weight,lower_80,upper_80,lower_90,upper_90,budget,fold,method,chemical_group,nearest_eligible_similarity,radius_80,radius_90,row_index,role
nesso_00dce94c2ecb99cae04c,5.327427864074707,,,4.73,0.0459780654225468,10.0,3.717135467529297,6.937720260620117,2.922404022216797,7.7324517059326165,500,0,native_continuous,139,0.29333333333333333,1.6102923965454101,2.40502384185791,9,test
nesso_00ffdeb4a5ae34db60a5,6.276876926422119,,,4.86,0.108,9.25925925925926,4.666584529876709,7.887169322967529,3.871853084564209,8.681900768280029,500,0,native_continuous,331,0.1780821917808219,1.6102923965454101,2.40502384185791,13,test
nesso_012851a15babc0f24b94,4.7736968994140625,,,4.86,0.128,7.8125,3.1634045028686524,6.383989295959473,2.3686730575561525,7.178720741271972,500,0,native_continuous,1969,0.32857142857142857,1.6102923965454101,2.40502384185791,14,test
nesso_013e7d360dd9dcf37a34,4.791618347167969,,,5.74,0.0884,10.0,3.1813259506225586,6.401910743713379,2.386594505310059,7.196642189025878,500,0,native_continuous,516,0.3287671232876712,1.6102923965454101,2.40502384185791,15,test
nesso_020daf20250e1ed79249,5.514037132263184,,,4.72,0.182,5.4945054945054945,3.9037447357177735,7.124329528808594,3.1090132904052736,7.919060974121093,500,0,native_continuous,1965,0.27710843373493976,1.6102923965454101,2.40502384185791,27,test
nesso_02515970249133cc7bb7,4.880999565124512,,,3.76,0.188,5.319148936170213,3.2707071685791016,6.491291961669922,2.4759757232666018,7.286023406982421,500,0,native_continuous,1962,0.26506024096385544,1.6102923965454101,2.40502384185791,31,test
nesso_030dc4795f3b2e2b36e6,5.201016426086426,,,5.19,0.0653,10.0,3.5907240295410157,6.811308822631836,2.795992584228516,7.606040267944335,500,0,native_continuous,1959,0.25925925925925924,1.6102923965454101,2.40502384185791,38,test
nesso_040e1cf62f3a4de7fb6f,4.937189102172852,,,2.01,0.645,1.5503875968992247,3.3268967056274414,6.547481498718262,2.5321652603149416,7.342212944030761,500,0,native_continuous,146,0.3,1.6102923965454101,2.40502384185791,52,test
nesso_04646ee5e59068fb95de,4.792555809020996,,,3.43,0.228,4.385964912280701,3.182263412475586,6.402848205566406,2.387531967163086,7.197579650878906,500,0,native_continuous,5,0.3291139240506329,1.6102923965454101,2.40502384185791,56,test
nesso_04d830517677d42d485c,5.372729778289795,,,4.39,0.254,3.937007874015748,3.762437381744385,6.983022174835205,2.967705936431885,7.777753620147704,500,0,native_continuous,1951,0.2777777777777778,1.6102923965454101,2.40502384185791,62,test
nesso_050a9974feb24a028482,4.754015922546387,,,4.75,0.116,8.620689655172413,3.1437235260009766,6.364308319091797,2.3489920806884768,7.159039764404296,500,0,native_continuous,290,0.3384615384615385,1.6102923965454101,2.40502384185791,63,test
nesso_051c0fba3320972d67e5,4.833257675170898,,,4.06,0.23,4.3478260869565215,3.2229652786254883,6.443550071716309,2.4282338333129885,7.238281517028808,500,0,native_continuous,317,0.3013698630136986,1.6102923965454101,2.40502384185791,64,test
nesso_0543135cb070bc0ee953,4.937005519866943,,,1.76,0.539,1.8552875695732838,3.3267131233215332,6.5472979164123535,2.5319816780090334,7.342029361724853,500,0,native_continuous,1949,0.32857142857142857,1.6102923965454101,2.40502384185791,68,test
nesso_05d03d8f54efa7eace00,5.548844814300537,,,5.25,0.0511,10.0,3.938552417755127,7.159137210845947,3.143820972442627,7.953868656158447,500,0,native_continuous,170,0.3142857142857143,1.6102923965454101,2.40502384185791,76,test
nesso_066ec041acb34af05398,4.7536234855651855,,,4.87,0.0897,10.0,3.1433310890197754,6.363915882110596,2.3485996437072756,7.158647327423095,500,0,native_continuous,31,0.3333333333333333,1.6102923965454101,2.40502384185791,83,test
nesso_06938e368952147e38e8,4.682807922363281,,,2.86,0.276,3.623188405797101,3.072515525817871,6.293100318908691,2.2777840805053713,7.087831764221191,500,0,native_continuous,9,0.3333333333333333,1.6102923965454101,2.40502384185791,85,test
nesso_06aac10cbd954ec3ac1d,4.912839889526367,,,3.35,0.164,6.097560975609756,3.302547492980957,6.523132286071777,2.5078160476684572,7.317863731384277,500,0,native_continuous,1943,0.3235294117647059,1.6102923965454101,2.40502384185791,87,test
nesso_06c317714ef4e61868af,5.5455002784729,,,3.91,0.237,4.219409282700422,3.9352078819274903,7.1557926750183105,3.1404764366149904,7.95052412033081,500,0,native_continuous,1942,0.34375,1.6102923965454101,2.40502384185791,88,test
nesso_06dcc01483ef97f90ad3,5.024133205413818,,,4.66,0.209,4.784688995215311,3.4138408088684082,6.6344256019592285,2.6191093635559084,7.429157047271728,500,0,native_continuous,1941,0.2857142857142857,1.6102923965454101,2.40502384185791,90,test
nesso_06f54d1c968931d1e785,5.257615089416504,,,4.98,0.14,7.142857142857142,3.647322692871094,6.867907485961914,2.852591247558594,7.662638931274413,500,0,native_continuous,78,0.3235294117647059,1.6102923965454101,2.40502384185791,94,test
nesso_07612df3b850c91e1513,5.156394958496094,,,5.96,0.062,10.0,3.5461025619506836,6.766687355041504,2.751371116638184,7.561418800354003,500,0,native_continuous,1937,0.3108108108108108,1.6102923965454101,2.40502384185791,101,test
nesso_078f081254ee3667b352,4.830117225646973,,,4.32,0.0782,10.0,3.2198248291015625,6.440409622192383,2.4250933837890627,7.235141067504882,500,0,native_continuous,1936,0.30303030303030304,1.6102923965454101,2.40502384185791,103,test
nesso_0797e74304dbe584782d,4.773036003112793,,,4.14,0.188,5.319148936170213,3.162743606567383,6.383328399658203,2.368012161254883,7.1780598449707025,500,0,native_continuous,375,0.32653061224489793,1.6102923965454101,2.40502384185791,104,test
nesso_07bb767a30efccdd941f,5.512042999267578,,,4.92,0.0873,10.0,3.901750602722168,7.122335395812988,3.107019157409668,7.917066841125488,500,0,native_continuous,1933,0.26881720430107525,1.6102923965454101,2.40502384185791,111,test
nesso_07c1859e34ddcce0a429,5.076837539672852,,,4.58,0.127,7.874015748031496,3.4665451431274414,6.687129936218262,2.6718136978149416,7.481861381530761,500,0,native_continuous,1932,0.3333333333333333,1.6102923965454101,2.40502384185791,113,test
nesso_07e8177b23aee02ad895,5.440714359283447,,,4.97,0.134,7.462686567164178,3.830421962738037,7.051006755828857,3.0356905174255373,7.845738201141357,500,0,native_continuous,1930,0.273972602739726,1.6102923965454101,2.40502384185791,116,test
