dataset,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope,predicted_active_count,active_recall_at_6
nested_development,mean,55.0,2.0124270297078835,2.030118305862714,10.38086054028676,0.17695563939612005,-0.0070628866957244095,-2.0124270297078835,-1.4459292742447312,1.8050856780976114,0,0.0
nested_development,frozen_nesso,55.0,0.9226510130339539,1.0030545979134553,4.759383248320845,0.4485377586581392,0.17679637980866608,-0.9222599948521357,4.796510944578997,0.2806551262352956,5,0.09090909090909091
nested_development,affine_frozen_nesso,55.0,1.5450222888569376,1.616273807414219,7.969809923784728,0.453594618132415,0.18661038293273902,-1.5450222888569376,5.207080248722091,0.2311514986362477,1,0.01818181818181818
nested_development,fine_tuned_nesso,55.0,1.348632258614731,1.3992231956059644,6.956755792950988,0.25367301725118085,0.09276397805879195,-1.348632258614731,5.287861351986067,0.2057096851738745,1,0.01818181818181818
nested_development,nested_2d_lightgbm,55.0,1.2449852063224587,1.345626091190778,6.42210505562012,0.09161839980905695,0.2610138941130173,-1.2449852063224587,6.033973472127702,0.054135265811097344,0,0.0
historical_lockbox_primary,mean,8.0,2.05270554875753,2.0648380856376978,11.364459785508794,,,-2.05270554875753,6.2925,,0,0.0
historical_lockbox_primary,frozen_nesso,8.0,0.9970452750000001,1.092563518870616,5.519973840830439,-0.3576795665750361,-0.2380952380952381,-0.9970452750000001,7.636178903154481,-0.2537419301898539,0,0.0
historical_lockbox_primary,fine_tuned_nesso,8.0,1.441483925,1.5511810368792824,7.980533840830433,-0.5708551818237618,-0.4523809523809524,-1.441483925,7.783261386245091,-0.3073091004434762,0,0.0
historical_lockbox_primary,established_2d_lightgbm,8.0,1.2953236651596165,1.3998612936862371,7.171342090849073,-0.6106688355308184,-0.7857142857142858,-1.2953236651596165,8.166656486172235,-0.37504309645941253,0,0.0
public_challenge,mean,31.0,2.002250479860242,2.018227324026479,9.472567868585092,,,-2.002250479860242,6.2659677419354844,,0,0.0
public_challenge,frozen_nesso,31.0,1.039810848387097,1.1262235565751406,4.9193040186087655,-0.43613168751513454,-0.47635375780510936,-1.039810848387097,8.512853812238832,-0.4299308490101197,0,0.0
public_challenge,fine_tuned_nesso,31.0,1.2274183064516129,1.2968885859761157,5.806867486338789,-0.4956122393290986,-0.5644852532161307,-1.2274183064516129,9.010162980517006,-0.544639935306695,0,0.0
public_challenge,established_2d_challenge,31.0,0.860632233718037,0.9450098368142108,4.0716170757792165,0.019177977183761134,-0.09821519053814065,-0.860632233718037,6.178899677859772,0.01610780014364425,0,0.0
