n,threshold,proxy_positive_count,proxy_positive_prevalence,roc_auc,average_precision,brier_score,proxy_positive_binder_positive,proxy_positive_binder_negative,proxy_negative_binder_positive,proxy_negative_binder_negative,proxy_sensitivity_at_released_cutoff,proxy_specificity_at_released_cutoff,binder_positive_fraction_at_released_cutoff,cohort,bootstrap_unit,interpretation
3344.0,4.0,2308.0,0.6901913875598086,0.7001973578555034,0.7842010550446812,0.4014185541053203,203.0,2105.0,66.0,970.0,0.08795493934142114,0.9362934362934363,0.08044258373205741,development_all,family,functional-potency proxy; not binding truth
3344.0,5.0,1051.0,0.31429425837320574,0.6559875067584585,0.40459743941439996,0.21635200374127084,107.0,944.0,162.0,2131.0,0.10180780209324453,0.9293501962494548,0.08044258373205741,development_all,family,functional-potency proxy; not binding truth
3344.0,6.0,56.0,0.01674641148325359,0.7496143986791797,0.05558602578142941,0.08941931981241455,12.0,44.0,257.0,3031.0,0.21428571428571427,0.9218369829683698,0.08044258373205741,development_all,family,functional-potency proxy; not binding truth
3072.0,4.0,2058.0,0.669921875,0.7035207292271656,0.7707689609628793,0.3900745147504679,188.0,1870.0,66.0,948.0,0.0913508260447036,0.9349112426035503,0.08268229166666667,development_emax_qualified,family,functional-potency proxy; not binding truth
3072.0,5.0,902.0,0.2936197916666667,0.6600153780130177,0.385004887972656,0.20635747973624685,96.0,806.0,158.0,2012.0,0.10643015521064302,0.9271889400921659,0.08268229166666667,development_emax_qualified,family,functional-potency proxy; not binding truth
3072.0,6.0,53.0,0.017252604166666668,0.7491609742073784,0.05807146644879931,0.08978306067294428,12.0,41.0,242.0,2777.0,0.22641509433962265,0.9198410069559457,0.08268229166666667,development_emax_qualified,family,functional-potency proxy; not binding truth
272.0,4.0,250.0,0.9191176470588235,0.6016363636363636,0.9396227860943915,0.5295394691718878,15.0,235.0,0.0,22.0,0.06,1.0,0.05514705882352941,development_lower_emax,family,functional-potency proxy; not binding truth
272.0,5.0,149.0,0.5477941176470589,0.623015223440825,0.6355909113024878,0.3292313336803659,11.0,138.0,4.0,119.0,0.0738255033557047,0.967479674796748,0.05514705882352941,development_lower_emax,family,functional-potency proxy; not binding truth
272.0,6.0,3.0,0.011029411764705883,0.7657992565055762,0.03000228608511611,0.0853111877405495,0.0,3.0,15.0,254.0,0.0,0.9442379182156134,0.05514705882352941,development_lower_emax,family,functional-potency proxy; not binding truth
790.0,4.0,582.0,0.7367088607594937,0.6961075865715041,0.829882860033232,0.43313990462116214,47.0,535.0,9.0,199.0,0.08075601374570447,0.9567307692307693,0.07088607594936709,validation_all,family,functional-potency proxy; not binding truth
790.0,5.0,281.0,0.3556962025316456,0.6270196953065461,0.4372211926318968,0.23999143696913403,25.0,256.0,31.0,478.0,0.08896797153024912,0.9390962671905697,0.07088607594936709,validation_all,family,functional-potency proxy; not binding truth
790.0,6.0,9.0,0.01139240506329114,0.6965428937259923,0.03836502132144276,0.08187633286423489,3.0,6.0,53.0,728.0,0.3333333333333333,0.9321382842509603,0.07088607594936709,validation_all,family,functional-potency proxy; not binding truth
714.0,4.0,511.0,0.7156862745098039,0.7032574012127288,0.8179566437230783,0.41769341207072386,44.0,467.0,9.0,194.0,0.08610567514677103,0.9556650246305419,0.0742296918767507,validation_emax_qualified,family,functional-potency proxy; not binding truth
714.0,5.0,239.0,0.33473389355742295,0.6372164721426998,0.4273487250758677,0.22669853476512206,24.0,215.0,29.0,446.0,0.100418410041841,0.9389473684210526,0.0742296918767507,validation_emax_qualified,family,functional-potency proxy; not binding truth
714.0,6.0,8.0,0.011204481792717087,0.7275141643059491,0.0430532668824437,0.08288427410852885,3.0,5.0,50.0,656.0,0.375,0.9291784702549575,0.0742296918767507,validation_emax_qualified,family,functional-potency proxy; not binding truth
76.0,4.0,71.0,0.9342105263157895,0.619718309859155,0.9675350058807968,0.578255637266069,3.0,68.0,0.0,5.0,0.04225352112676056,1.0,0.039473684210526314,validation_lower_emax,family,functional-potency proxy; not binding truth
76.0,5.0,42.0,0.5526315789473685,0.5756302521008403,0.5804426707351784,0.3648747550436676,1.0,41.0,2.0,32.0,0.023809523809523808,0.9411764705882353,0.039473684210526314,validation_lower_emax,family,functional-potency proxy; not binding truth
76.0,6.0,1.0,0.013157894736842105,0.43999999999999995,0.023255813953488372,0.07240699012178907,0.0,1.0,3.0,72.0,0.0,0.96,0.039473684210526314,validation_lower_emax,family,functional-potency proxy; not binding truth
513.0,4.0,413.0,0.8050682261208577,0.7320338983050847,0.9128571018924612,0.44412595627566237,41.0,372.0,0.0,100.0,0.09927360774818401,1.0,0.07992202729044834,challenge_all,compound,functional-potency proxy; not binding truth
513.0,5.0,255.0,0.49707602339181284,0.7416324669402644,0.7128709576554374,0.27282882083775645,33.0,222.0,8.0,250.0,0.12941176470588237,0.9689922480620154,0.07992202729044834,challenge_all,compound,functional-potency proxy; not binding truth
513.0,6.0,31.0,0.06042884990253411,0.7011109623878998,0.1161973670399861,0.10622219167571721,5.0,26.0,36.0,446.0,0.16129032258064516,0.9253112033195021,0.07992202729044834,challenge_all,compound,functional-potency proxy; not binding truth
