dataset,cohort,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
development,all,direct_affinity,3344.0,0.9149869610508075,1.2704668671600987,0.9912950204797333,0.37890161856622906,0.3853881756150498,0.7130316430767135,-1.9008615471025123,1.2371152721997782
development,all,affinity_only_linear,3344.0,0.8393458962515085,1.0510133688820744,0.9093456440719898,0.37298991118720515,0.3832577417566899,0.0026431219032925224,0.03524239792743727,0.9911876012550357
development,all,binder_logit_only_linear,3344.0,0.8557936720764827,1.0703419338746931,0.9271651310890933,0.3273644185395178,0.33466567941157516,0.0016834798035435948,0.04988299677753647,0.9880026507725095
development,all,continuous_plus_binary_linear,3344.0,0.8321331401977538,1.0448197169682492,0.9015313587713437,0.38632921544666843,0.3961897042582904,0.0028127982766377392,0.04922406834590604,0.9878963909648653
development,all,continuous_plus_binary_polynomial2,3344.0,0.7736164716108205,0.9997258382929437,0.8381345185380448,0.4703293709246537,0.44713846479493125,-0.0009108093201564074,0.10403950333690712,0.9759918015545709
development,all,mean_repr_384d_ridge,3344.0,0.6327901131780221,0.8989032266181498,0.6855635270275162,0.6268224996832585,0.6537080648901005,-0.011661756342822297,0.8395973183606456,0.806774291883642
development,all,mean_repr_plus_readouts_386d_ridge,3344.0,0.6327705975106406,0.898816657556815,0.685542383793,0.6268709914184276,0.653668480901868,-0.011641747540828383,0.8386376676858748,0.8069944891736183
development,all,concat_repr_768d_ridge,3344.0,0.6262034641223359,0.9373871946942732,0.6784275647805232,0.612333767280422,0.6637833257086054,-0.009319897050636817,1.2320659669183296,0.7147882931764014
development,all,concat_repr_plus_member_readouts_772d_ridge,3344.0,0.6262152052813594,0.9375584027162666,0.6784402851284301,0.6122335790803267,0.6637746846509466,-0.009322966940301694,1.233143393843341,0.7145374895522312
development,all,mean_repr_384d_mlp32_fixed,3344.0,0.6647458055482472,0.9607371899038796,0.7201842594215676,0.5878001763116499,0.6228758981804767,-0.03774186553521049,1.3174178352144639,0.6995170337906893
