dataset,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope,active_threshold,active_n,active_mae,predicted_above_6,active_predicted_above_6,prediction_minimum,prediction_maximum
nested_development,mse,3344.0,0.6545751995228046,0.8577414582407873,0.7091654454521272,0.6557296400580921,0.6267132716998887,-0.06551547042391118,0.03546653178270092,1.0071021613934825,6.0,55,1.4703115993240707,0,0,0.4928867022196452,5.875296115875244
nested_development,mae,3344.0,0.6292819272977046,0.8720718743465727,0.6817627655499076,0.6679869542796079,0.6401773048320789,0.2142966800044486,-0.6259674885243718,1.0912639963052697,6.0,55,1.2386120964947214,0,0,1.0926513671875,5.62793493270874
nested_development,huber_0.25,3344.0,0.6329270512007753,0.868159263425028,0.6857118854040265,0.6531303093334552,0.6279313065786736,0.1339116123304871,-0.14265330270082124,1.0019731225183472,6.0,55,1.2963536460155034,0,0,0.8295658429463705,5.922075430552165
nested_development,huber_0.5,3344.0,0.6348719836184014,0.8546295464571204,0.6878190212462117,0.6606005062547874,0.6254036879576071,0.07045055718612842,-0.36632681538552386,1.0677539457799987,6.0,55,1.3562563197946151,0,0,0.9254337946573893,5.555085976918538
nested_development,huber_1,3344.0,0.6272571298560381,0.8457801515210239,0.6795691041024275,0.6679096553797246,0.6378162927819033,0.06244890056258011,-0.22386131087902825,1.0370303570225001,6.0,55,1.3339929229246092,0,0,0.830589771270752,5.654290835062663
nested_development,huber_2,3344.0,0.6344918694126851,0.8467519016013213,0.6874072062855839,0.667783774671693,0.6338619306787184,0.03969631109516034,-0.4607780195007947,1.0971091626864817,6.0,55,1.3879931517486466,0,0,1.1229902903238933,5.711740652720134
nested_development,global_selector,3344.0,0.6223748557171676,0.8469320930044235,0.6742796581884429,0.6685173422104236,0.6371424686753149,0.0848689684552707,-0.20658164791906478,1.0277797757549072,6.0,55,1.3343191604586404,0,0,0.830589771270752,5.555085976918538
retrospective_lockbox_790,mse,790.0,0.6039490810386239,0.7989680421257113,0.7176781220647238,0.667175078185455,0.6063345447937817,-0.0669781374830737,-0.6164219311526411,1.1569613118063138,6.0,9,1.4118499755859375,0,0,1.9254446029663086,5.631560643513997
retrospective_lockbox_790,mae,790.0,0.6026837080782476,0.8023656874892974,0.7161744680011185,0.6579036138590889,0.5957647722345709,-0.06897993779886624,-0.08391880466186594,1.0351334853712069,6.0,9,1.416599300172594,0,0,1.5665597915649414,5.36295207341512
retrospective_lockbox_790,huber_0.25,790.0,0.6057724582535304,0.8065442695596522,0.7198448576000429,0.6535823715208846,0.5888603621097742,-0.07284522577680114,-0.048822271339398635,1.0279819384877649,6.0,9,1.4141701857248943,0,0,1.7247455914815266,5.614919344584147
retrospective_lockbox_790,huber_0.5,790.0,0.6014697666248691,0.8043501990786108,0.714731930459611,0.6544999414853008,0.5912643411061244,-0.055101343227338194,-0.08140996367290265,1.0312682199780596,6.0,9,1.3779166186297382,0,0,1.7206796010335286,5.687965075174968
retrospective_lockbox_790,huber_1,790.0,0.5747659212305576,0.8011516449583551,0.6829995109292458,0.6703948889143326,0.6083765864545654,0.11516240278879801,-0.8037749289766852,1.1518078400991585,6.0,9,1.2291836385373718,0,0,1.9750148455301921,5.5790947278340655
retrospective_lockbox_790,huber_2,790.0,0.5860933391313513,0.7910916707244747,0.6964599834460737,0.6706151625899092,0.6080321855737434,0.005846315416102683,-0.5632284002914462,1.1259118580129364,6.0,9,1.2979952141090676,0,0,1.8679676055908203,5.672375043233235
retrospective_lockbox_790,global_selector,790.0,0.5747659212305576,0.8011516449583551,0.6829995109292458,0.6703948889143326,0.6083765864545654,0.11516240278879801,-0.8037749289766852,1.1518078400991585,6.0,9,1.2291836385373718,0,0,1.9750148455301921,5.5790947278340655
nested_development,published_historical_ft,3344.0,0.6329507983947217,0.860099040900178,0.6857376130658528,0.6576018969174745,0.625215523785095,0.09665846527102673,-0.39056932018885776,1.066902368028678,6.0,55,1.348632258614731,1,1,1.3080102602640789,6.070027192433675
retrospective_lockbox_790,published_historical_ft,790.0,0.5968595563291139,0.808844329818246,0.7092535761227006,0.648352741213547,0.5812074216182777,-0.007891130759493672,-0.26916105410250685,1.0627805382913673,6.0,9,1.4182051333333332,0,0,1.6729879,5.520433
