dataset,pool_variant,representation,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
nested_development,all_pairs,ridge_member1_384d,3344.0,0.6807906163430436,0.9237350711405838,0.7375671749411014,0.5900436479276651,0.5806148531851989,0.0021012393212667454,0.6975665914854544,0.8372325573825248
lockbox_all_790,all_pairs,ridge_member1_384d,790.0,0.6464533277946182,0.8440106853224607,0.768186300567386,0.6091387965869607,0.5543003056924753,-0.06128772922709018,0.21676041108931382,0.964338101596441
nested_development,all_pairs,ridge_member2_384d,3344.0,0.6248929336789175,0.8726289858224755,0.6770077387523407,0.6483313633570837,0.6621509077254902,-0.0014945898462311443,0.6602144600728183,0.846630202462893
lockbox_all_790,all_pairs,ridge_member2_384d,790.0,0.6062774514065512,0.813821121121129,0.7204449455033017,0.6503178351464596,0.6103895548395794,-0.0765076702455931,0.540553413122469,0.8931855562895454
nested_development,all_pairs,ridge_mean_384d,3344.0,0.6327893414750589,0.89895093414691,0.6855626909660888,0.6267899185584018,0.6537124795131735,-0.01166902705042544,0.840021112755163,0.8066767544840042
lockbox_all_790,all_pairs,ridge_mean_384d,790.0,0.5963026500170745,0.78868989493072,0.7085917993459181,0.6714364278453089,0.6191232241944308,-0.059694614168963864,-0.039030570986541266,1.022637040739586
nested_development,all_pairs,ridge_concat_768d,3344.0,0.6262024466987568,0.9374089759972086,0.6784264625058783,0.6123212865832875,0.6637836684161205,-0.009321811149124504,1.2322060161535633,0.7147559451030993
lockbox_all_790,all_pairs,ridge_concat_768d,790.0,0.5915508216544042,0.7816021510574077,0.7029451589870482,0.6802418977754173,0.6233504773001097,-0.07003868278068832,0.2673486588245382,0.9546505489380216
nested_development,ligand_ligand_only,ridge_member1_384d,3344.0,0.6597009652988223,0.8809245528831926,0.7147186897126535,0.6293005620142154,0.6074214094662181,0.002158117879206155,0.18434737421555877,0.9566128111538824
lockbox_all_790,ligand_ligand_only,ridge_member1_384d,790.0,0.6389962165446221,0.8329598550582726,0.7593249482349653,0.62375245533521,0.5846886938716245,-0.07230503516861156,0.25577161760571016,0.9578103189063101
nested_development,ligand_ligand_only,ridge_member2_384d,3344.0,0.5923411508406173,0.7986160114616789,0.6417412031524384,0.7094560839512396,0.6831054620926742,0.0072435887291106065,0.10303204760424171,0.9743766461861972
lockbox_all_790,ligand_ligand_only,ridge_member2_384d,790.0,0.6085060429995574,0.8031627310807423,0.7230932009267015,0.6680295815103352,0.6204205408194037,-0.0719598898706557,0.7398031877347194,0.8464360143931449
nested_development,ligand_ligand_only,ridge_mean_384d,3344.0,0.6062359481361093,0.8151269350904939,0.6567947984012472,0.6945392610342145,0.6724765256062223,0.003231860377104961,0.08320602313883947,0.979896783780557
lockbox_all_790,ligand_ligand_only,ridge_mean_384d,790.0,0.5942057867895199,0.7796499088801805,0.7061000779233273,0.6832000501038971,0.6310706938668769,-0.07057538201537314,0.35609191406482055,0.93436918068337
nested_development,ligand_ligand_only,ridge_concat_768d,3344.0,0.5989139088224122,0.8061819077740195,0.648862115838111,0.7024883196065661,0.6794802152794768,0.004139492656826426,-0.00140367740986739,0.999363854413269
lockbox_all_790,ligand_ligand_only,ridge_concat_768d,790.0,0.6064172815854036,0.7896364182011958,0.7206111069618044,0.6714005891589977,0.6240931806999919,-0.06433038729655592,0.259272894451143,0.9552533916574447
nested_development,receptor_ligand_only,ridge_member1_384d,3344.0,0.6883214740977283,0.9292674323858782,0.7457260909802836,0.577893956582527,0.5659730095634471,0.004952110405574447,0.5370793360618068,0.8739879193832806
lockbox_all_790,receptor_ligand_only,ridge_member1_384d,790.0,0.6483094021157373,0.84860040374389,0.7703918903679409,0.6049877221859891,0.5389819264867047,-0.06479989806308023,0.36289913913911487,0.9315676817851682
nested_development,receptor_ligand_only,ridge_member2_384d,3344.0,0.6274666141352968,1.0425132604498366,0.679796058946308,0.5467406503156245,0.6646715912318882,0.016728229024640565,1.756650685684557,0.5888484942275736
lockbox_all_790,receptor_ligand_only,ridge_member2_384d,790.0,0.629579317684415,1.1840526457169285,0.7481347626682542,0.4537510052370397,0.6135251483996489,-0.09491117712817615,2.667595736470714,0.405298042676719
nested_development,receptor_ligand_only,ridge_mean_384d,3344.0,0.6310902940161162,0.8473378886584784,0.6837219463901503,0.6642232609658137,0.642163372587209,-0.0072083463408109845,0.17290825985021924,0.9613686839547932
lockbox_all_790,receptor_ligand_only,ridge_mean_384d,790.0,0.5964354244183889,0.7899958073076363,0.7087495763605463,0.6698514636695873,0.6233409545548487,-0.057757152364223824,-0.01735855745353795,1.0172158939895062
nested_development,receptor_ligand_only,ridge_concat_768d,3344.0,0.6269800641419304,1.016353084564339,0.6792689316689045,0.5666941468926912,0.663795314144613,0.012303453504571328,1.647465829161163,0.6147933063739932
lockbox_all_790,receptor_ligand_only,ridge_concat_768d,790.0,0.6135484610207473,1.0457904850121094,0.7290851515889818,0.5166085544645048,0.6245003039179078,-0.08445466186426863,2.176967820703063,0.5174608592179716
