dataset,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
nested_development,ridge_member1_384d,3344.0,0.6807906163433151,0.923735071143059,0.7375671749413955,0.59004364792553,0.5806148531851989,0.002101239321510047,0.6975665915105951,0.8372325573766286
lockbox_all_790,ridge_member1_384d,790.0,0.6464558984901332,0.8440208209080785,0.7681893553479751,0.6091262874412916,0.5542882334071829,-0.061284540454043614,0.21680562556033886,0.9643270250850996
nested_development,ridge_member2_384d,3344.0,0.6248929336789177,0.8726289858224751,0.6770077387523409,0.6483313633570837,0.6621509077254902,-0.001494589846230849,0.6602144600728108,0.8466302024628943
lockbox_all_790,ridge_member2_384d,790.0,0.6062777504860599,0.8138202636658898,0.7204453009021704,0.650318517353357,0.6103895548395794,-0.07650749852385702,0.5405415478715183,0.8931882521379975
nested_development,ridge_mean_384d,3344.0,0.632789341475056,0.8989509341469002,0.6855626909660857,0.626789918558408,0.6537124795131735,-0.011669027050423721,0.840021112755062,0.8066767544840273
lockbox_all_790,ridge_mean_384d,790.0,0.5963022951053668,0.7886897776260675,0.7085913776011455,0.6714365486223564,0.6191216627130073,-0.0596946696993671,-0.039028652068624436,1.022636613765215
nested_development,ridge_concat_768d,3344.0,0.6262024466987571,0.9374089759972036,0.6784264625058787,0.6123212865832901,0.6637836684161205,-0.009321811149122996,1.2322060161535298,0.7147559451031071
lockbox_all_790,ridge_concat_768d,790.0,0.5915511738499508,0.7816023810172738,0.7029455775041822,0.6802416327562995,0.6233477292528274,-0.07003853278824046,0.2673465538366042,0.9546509998348348
nested_development,random_one_hidden_twin_mlp,3344.0,0.6051037508748823,0.8387759775685661,0.6555681781814726,0.6781673046921766,0.6557247981975775,0.09946210383660505,0.04225261588267158,0.9677623219693111
lockbox_all_790,random_one_hidden_twin_mlp,790.0,0.5846194876067434,0.7924141305422105,0.6947085924305204,0.6702257162830784,0.6022361012941447,-0.029888527533393116,0.49149836437714645,0.8948743411963598
nested_development,random_two_hidden_twin_mlp,3344.0,0.5984127841379352,0.8979331104868714,0.6483191983698762,0.6341637679414202,0.6647006465855778,0.08767143170661353,0.7809572983936237,0.801870382812817
lockbox_all_790,random_two_hidden_twin_mlp,790.0,0.5614891150329686,0.7830220312173601,0.6672225627757414,0.6830527150503507,0.61287160209213,0.10285051077227049,0.16241964015835486,0.9413607998223489
